	random_trimmed_F1_S1_R1_001.fastq	random_trimmed_F2_S2_R1_001.fastq	random_trimmed_F3_S3_R1_001.fastq	random_trimmed_F4_S4_R1_001.fastq	random_trimmed_M1_S5_R1_001.fastq	random_trimmed_M2_S6_R1_001.fastq	random_trimmed_M4_S7_R1_001.fastq
miRNA	8933283.37877791	2330834.08728412	9117169.95018912	14222027.3157621	15130891.5906035	6945702.68745442	11503951.309404
tRNA	5849996.99999989	34477.9999999999	7404005.99999986	724382.999999998	2246245.00000002	1133865.00000001	261036.999999999
snoRNA	558821.132720797	182219.083745431	450846.059225892	728361.224879361	872531.325704574	559590.836348917	782878.270015187
retained_intron	521900.195808335	141480.237923376	294325.925228597	556708.411728402	716052.916716965	399447.01527988	483598.307663219
misc_RNA	200545.572681102	16387.5886532189	178217.108831112	115379.789835575	161914.759791505	101651.910641207	114637.863340642
protein_coding	79835.8292322101	15213.2924616374	79985.4196961544	115475.730005199	95066.0492653568	58599.2245304944	135669.571273338
Mt_tRNA	24138	11427	23092.25	82341	41525.75	32152	50656.5
piRNA	24917	6576	26003	37010	40714	21811	36873
processed_transcript	25890.0876638681	7011.69703050857	24306.8312174001	37322.6079472568	33944.6822457944	19227.087214075	38069.8546872684
antisense	28285.4679789389	6275.94428004317	16191.9683662136	19617.1682339305	29724.6793465988	12081.8114515991	27707.7177428191
lincRNA	19411.2979478171	3505.46697120989	17728.617698393	24038.4527448723	20783.9794194162	12483.2961864014	22858.586499652
Mt_rRNA	8509.66428571429	1391.25	5842.86587301587	17542.1551587302	10166.6214285714	7909.19246031746	18852.9666666667
nonsense_mediated_decay	6365.34488046387	1299.93808931252	5877.24916796059	8405.0715523647	6642.84848386429	4546.95831983058	10256.8795309914
snRNA	6470.46213357888	891.082216914465	4993.16524265307	10537.9508944193	6180.65057958799	3721.90912316481	10601.8434302145
scaRNA	3244.25	767.166666666667	3801.33333333333	4303.73333333333	5156.23333333333	2408.33333333333	3932.13333333333
sense_intronic	1728.67133300225	557.600825896893	2753.81220666376	3615.58653991062	3196.92587216706	2201.00367679286	3629.61325233184
TEC	1979.05900814871	552.501008776462	2662.44405358081	3712.54086778275	3329.49282371282	2285.70294198972	3615.78666648533
ribozyme	3221.5	262.5	2702.5	1948	1982	991	1688.5
processed_pseudogene	1615.40186457943	148.85132016528	1357.02914382408	1981.97645784217	1660.56527797562	868.214288203545	1849.72126765655
unprocessed_pseudogene	713.953273718692	131.573867798868	585.186102534767	1379.7522673408	891.136375281925	815.761603270665	1649.31498847987
non_coding	155.207844949032	23.5601031449867	158.438166680146	504.824636025392	238.737325815057	123.513531291741	625.655635258503
vaultRNA	308	26	363	44.5	129.5	53.5	264
sense_overlapping	55.9330086580087	20.6954545454545	119.779448575609	150.147270877844	94.8923232323232	74.6464565526007	308.394116535023
transcribed_unprocessed_pseudogene	59.5651502121703	7.24768148518149	89.0384253968235	101.767374031157	64.1048911906807	49.9910037823598	209.854643750642
transcribed_processed_pseudogene	74.1890801274579	4.89649304513856	52.1070853326577	85.9141500914867	56.3084681521497	30.3916831720102	82.9044547654465
macro_lncRNA	26.9412976729153	11	43.2207289614411	59.1778388278388	55.654699004699	17.3934635539899	113.591935963647
non_stop_decay	40.5394827394827	4.19444444444444	36.0097402597403	44.9000416250416	30.0813880563881	18.8482683982684	66.5142404054169
sRNA	67.5	1	94	14.5	38.5	13	34.5
unitary_pseudogene	30.3333333333333	3	39.1764468864469	41.0333333333333	34.5333333333333	15.8666666666667	29.2000439174352
rRNA	50.6	2	28.05	116.732142857143	14	10.7321428571429	57.7898550724638
3prime_overlapping_ncrna	24.2424242424242	0.543478260869565	9.5	18.9920745920746	18.230303030303	8.6719298245614	37.7333340635972
IG_C_gene	12.8727272727273	0	549.132534132534	19.9	0	10.8	0
IG_V_gene	12.4	0	165.870100732601	15.9	0	5.2	0
TR_V_gene	0	0	3	3	10	3	1
polymorphic_pseudogene	1.33333333333333	0	1.65	2.09848484848485	1.25	0	0.5
exogenous_genomes	0	0	1	14	8	1	0
pseudogene	0.8	0	4.65	14.9444444444444	0	0.5	6.02197802197802
IG_C_pseudogene	23.2727272727273	0	67.0026806526807	3.2	0	0	0
IG_J_gene	0	0	6.33333333333333	0	0	0	0
IG_V_pseudogene	0	0	13.3257326007326	0	0	1	0
TR_C_gene	0	0	4	4	0	2	0
TR_V_pseudogene	0	1	0	0	0	0	4
transcribed_unitary_pseudogene	0	0	0	0	0	0	0.6
