	random_trimmed_F1_S1_R1_001.fastq	random_trimmed_F2_S2_R1_001.fastq	random_trimmed_F3_S3_R1_001.fastq	random_trimmed_F4_S4_R1_001.fastq	random_trimmed_M1_S5_R1_001.fastq	random_trimmed_M2_S6_R1_001.fastq	random_trimmed_M4_S7_R1_001.fastq
SNHG1:retained_intron	153549.333333333	49360.2833333333	102474.772222222	188679.483333333	235325.283333332	128225.766666667	163188.866666666
GAS5:retained_intron	147911.612604882	16026.8481781377	48713.8796720061	127668.745614035	206851.543811452	87506.7916666665	81621.4647435898
LRRC75A-AS1:retained_intron	53944.0138888884	39201.4166666661	45770.4527777772	73021.272627903	71606.4166666683	69121.6151515165	90412.8333333351
SNORD30:snoRNA	49651.5	19654	48007	54595.5	64756.5	41678	51904.5
SNORD104:snoRNA	44592	7297	33024	56672	78933	46323	85302
RNY4:misc_RNA	40386.7317997532	1416.60454604172	36743.6774899588	13146.791083283	20953.4651342827	14343.788683243	10546.3335560686
RNY4P10:misc_RNA	37092.2687373254	834.469173081347	34603.8747897995	9152.66166176321	17489.5405613067	12080.4006283169	6914.38868704869
Y_RNA.295:misc_RNA	33962.8520706588	709.552506414681	32764.3408219559	7583.69651024804	15396.8662023323	10667.2172949836	5863.05650811651
SNORD69:snoRNA	33736	6536	19055	36562	38778	27013	32709
RPL13:retained_intron	33527.2564935066	1441.83333333333	6995.79378954382	22646.8004495504	32432.0075757577	11460.6017316018	12084.2220279721
RNY4P7:misc_RNA	32536.9587561302	600.143974173974	31431.5871487067	6039.40725247824	13859.2465972514	9667.40614993088	4780.45757029105
SNORD49A:snoRNA	26892.9999999997	19489.9999999997	22790.333333333	36367.0000000006	35687.3333333341	34396.0000000006	45058.6666666675
SNORD100:snoRNA	25819	5996	17081	49688	52423	24265	53432
LRRC75A-AS1:antisense	21196.9444444444	4577.26666666664	10898.2555555556	9379.70294681091	20115.8333333333	6334.80151515153	17629.5785714285
SNORD71:snoRNA	20673	5706	26276	33777	37244.2	18936	33969.125
RPL23A:retained_intron	19728.4166666667	633.5	2302.42838345865	7622.32091592618	10867.7777777778	4021.5	5898.58585858586
SNORD42A:snoRNA	19716.5	633.5	2298.5	7615.5	10857	4019.5	5889
SNORD48:snoRNA	18619	6805.5	13329	37312	31469	30379.5	32116
RPL4:retained_intron	16989.6333333332	6878.61111111117	16502.28009213	23754.2152292155	16991.4819624819	16852.0692640691	13442.5498057497
SNORD82:snoRNA	15946	3685	17588	22596	31677	12595	14254
SNORD26:snoRNA	15174	1503.5	5221	9505.5	17324.5	4068.5	9736.5
RNY1:misc_RNA	13620.3732035343	1236.81059247549	9517.81868158827	11588.8400338568	16902.0302078834	10967.5471783693	12749.2042043088
SNHG6:retained_intron	12912.5	2906.25	4815.25	10293.25	18585.75	11845	11365.25
SNORD87:snoRNA	12912.5	2906	4813.5	10290	18584.5	11843.5	11359.5
SNHG5:retained_intron	12905.0333333334	7188.63333333333	7973.24285714285	11246.9523809524	15035.7857142857	10851.7380952381	13085.6
SNORD42B:snoRNA	11495.5	3830.5	9278	16424	21822.5	13741.5	13600
SNORD99:snoRNA	11254	3641	9645	17259	14358	9714	23015
RPL17:retained_intron	11086.7451058201	785.827545787546	3264.18465909091	7434.01935640227	8964.0426326362	4300.85106732349	6902.5023809524
RBMX:retained_intron	10896.9444444444	2311.5	7712.5	11886.5833333333	20024.5	7636.5	10398.75
SNORD63:snoRNA	10788	6279	16753	22312	27855	19944	25056
EIF4A2:retained_intron	10353.3898268398	4572.70000000002	14931.8680652679	21401.0320802004	23884.0435897434	15184.0779220778	20937.7453103912
MT-TH:Mt_tRNA	10291	7277	11121	56667	20383	20698	28528
SNORD66:snoRNA	9610.5	1853	8246.5	13095	12830.8333333333	6222	12765
SNORD59A:snoRNA	8655	6090	7326	14144	20807	15068	19921
SNORD6:snoRNA	8251	2797	8866	9921	12950	6284	7346
GAS5:lincRNA	7760.8040617849	1631.65182186235	8085.20366132723	10460.4210526316	8374.20618854829	4851.29166666667	8330.86858974359
GNB2L1:processed_transcript	7692.52982456138	3200.73921568628	8893.76636652817	12767.1333333333	12806.9	7531.96666666665	15627.6148040555
SNORD18A:snoRNA	7421.99999999995	2675.33333333336	6818.66666666661	10089.3333333335	6230.99999999995	6589.99999999994	5011.66666666663
SNORD83A:snoRNA	7180.33333333333	2360.33333333333	4312.33333333333	4910.33333333333	4715.33333333333	3378.66666666667	5154.33333333333
RPL13A:retained_intron	6878.02246944231	2260.70000000001	5360.08965318436	8365.59991615373	10133.7572995632	5515.73730158732	10063.7570028011
SNORD41:snoRNA	6663	107	892	3027	3918	1406	1765
SNORD1B:snoRNA	6186	3863	10272	10864	19142	33695	11481
RPL21:retained_intron	5976.14482758621	1942.61764705882	4938.17142857143	6314.17161024075	8669.43269230769	4523.52840909091	6151.33822678504
SNORD102:snoRNA	5909	1900.5	4869	6250.5	8546	4463	6081.5
MT-RNR2:Mt_rRNA	5648.66428571429	790.25	2971.86587301587	9583.65515873016	5725.62142857143	4986.69246031746	10684.9666666667
SNORD19.1:snoRNA	5546	2796	5262	6515	8704	6537	7159
GNB2L1:protein_coding	5212.90994152045	2084.2637254902	6278.72440129099	8996.83461538459	8731.02657378739	5043.22045454545	10167.953319771
SNORD127:snoRNA	5088	2627	3810	7075	12841	8839	7268
SNORD12B:snoRNA	4794	3059	2390	5168	6234	6596	7498
AL022326.1:miRNA	4772.66666666666	6475.83333333333	9400.00000000002	14771.8333333334	27118.8333333333	12859	9668.50000000002
SNORD43:snoRNA	4748.66666666666	6461.33333333333	9391.50000000002	14746.3333333334	27107.3333333333	12846	9644.50000000002
NOP56:processed_transcript	4717.96904761905	703.625	2224.5	5507.08658008657	5924.62445887445	3329.73333333334	4545.10833333334
AC034205.1:miRNA	4561.23333333333	1412.8	3803.03333333333	3956.6	3463.9	1244.6	5407.2
AC023050.1:miRNA	4511.23333333333	1400.8	3771.03333333333	3918.6	3379.9	1194.6	5301.2
SNORD123:snoRNA	4430	476	1167	3134	3886	1498	1907
SNORD60:snoRNA	4310.5	597	1760.5	2943.5	3778.5	1725.5	2954.5
SNORD114-1:snoRNA	4284	903	2908	6629	7147	4334	9062
snoR1.1:snoRNA	4265.5	575	1694.5	2842.5	3705.5	1674.5	2887.5
SNORD105B:snoRNA	3851	599	2237	4041	3973	2348	5161
MT-TS2:Mt_tRNA	3850	817	3220.25	4944	4673	2172	4133
SNORD95:snoRNA	3843.79999999999	1599.35	4445.29999999998	6382.54999999998	6402.44999999998	3765.14999999999	7808.74999999998
MT-TE:Mt_tRNA	3723	552	1894	5155	2879.75	1914	4948
SNORD50A:snoRNA	3636.66666666667	3222.83333333333	2007.5	2956.33333333333	4011.83333333333	3781.16666666667	3910.33333333333
RABGGTB:processed_transcript	3612.89999999999	887.899999999999	2929.83333333333	5269.20476190477	3910.89999999999	1701.85	3179.76666666666
SNORD90:snoRNA	3476	1717	4950	5235	8714	4949	5518
SNORD116-8:snoRNA	3383.4	1130.26666666667	1596.86666666667	3426.5	4678.13333333333	3757.83333333333	6650.84285714286
SNORD50B:snoRNA	3272.60000000002	1019.4	1973.99999999999	2877.26666666667	3835.00000000003	2273	3032.00000000002
RMRP:lincRNA	3261	253	2693.5	1944	1986.5	997	1671.5
AC017104.3:miRNA	3237.5	423.5	2116.5	3805	7499	3064	3430.5
SNORD20:snoRNA	3237.5	422.5	2115.5	3803	7498	3064	3429.5
RMRP:ribozyme	3163	248	2645.5	1824	1920.5	963	1567.5
SNORD27:snoRNA	2960.93333333329	193	1126.40000000001	2095.60000000001	2357.4	992.800000000009	1575.20000000001
NOP56:retained_intron	2938.9761904762	705.916666666666	1671	3605.55952380952	4038.1645021645	2247.11666666667	2888.81666666666
SNORD12C:snoRNA	2926	609	1130	2693	3187	2154	2440
DDX39B:retained_intron	2872	1032	2710.63156565657	5773.52790325616	6264.75	3463.5	4725.07692307692
SNORD84:snoRNA	2869	1032	2706	5765.5	6264.75	3463.5	4721.5
MT-RNR1:Mt_rRNA	2861	601	2871	7958.5	4441	2922.5	8168
SNORD53_SNORD92.1:snoRNA	2816.5	1403.5	2497	3308	4455	2932	3791.5
SNORD114-12:snoRNA	2706	1343.16666666667	2223.38571428571	4264.78181818182	7041.33333333333	3572.45238095238	6480.68051948052
SNORD101:snoRNA	2680	1761	3359	4274	5366	2683	3195
