	random_trimmed_F1_S1_R1_001.fastq	random_trimmed_F2_S2_R1_001.fastq	random_trimmed_F3_S3_R1_001.fastq	random_trimmed_F4_S4_R1_001.fastq	random_trimmed_M1_S5_R1_001.fastq	random_trimmed_M2_S6_R1_001.fastq	random_trimmed_M4_S7_R1_001.fastq
hsa-let-7a-5p	1162701.16666667	426409.166666667	1234184.66666667	2408834.66666667	2445077.33333333	1324621	2003352.33333333
hsa-miR-26a-5p	916328	358444	1732850	1637070	1922586	1043705	1547720
hsa-miR-143-3p	596570	82657	349149	1185716	1627635	156630	391004
hsa-miR-451a	591061	342	3655	11169	158594	13647	11662
hsa-miR-21-5p	514934	116598	519987	584924	379388	207631	359324
hsa-let-7f-5p	490784	166076.5	631891	978020.5	1123294.5	551088.5	744632
hsa-let-7b-5p	417990.233333333	133567.666666667	377400.4	828694.233333333	782503.866666667	386339.533333333	735094.333333333
hsa-miR-125b-5p	267033	23503	137675	267222	255226	107308	183507
hsa-let-7g-5p	265762.5	58993	317497	427830	436467.5	186709.5	273188
hsa-let-7c-5p	235232.566666667	60196.6666666667	156417.316666667	343477.066666667	345515.45	204525.283333333	359717.666666667
hsa-miR-125a-5p	211271	31235	98025	301118	202798	126436	215182
hsa-miR-199a-3p|hsa-miR-199b-3p	173387	15432	71825	119675	116358	29008	62877
hsa-miR-10a-5p	160245	28043.5	74164	139790	103507	43483	114678
hsa-miR-100-5p	159802.5	18324	120256.5	122304	148273	63776.5	109907.5
hsa-miR-26b-5p	150766	52579.5	240483	239381.5	267595	141134.5	217070
hsa-miR-30d-5p	138467.5	32726.5	187216.5	209397.5	223392.5	129773.5	195021.5
hsa-let-7i-5p	123042	32089	117719.5	188473	214279.5	78516	130454.5
hsa-miR-27b-3p	120332	98622.5	308215.5	355818.5	474209.5	274296	447806.5
hsa-miR-30a-5p	115865.5	26846.5	141872.5	160011.5	221820.5	101874.5	161987.5
hsa-miR-99a-5p	110229	15566.5	70183	112065	134396	45084.5	79258
hsa-miR-23a-3p	88319.6666666667	18484	79586.6666666667	136344	132888	49444.8333333333	120825
hsa-miR-146b-5p	82591	5355	25672.5	52118	36656	9199	21187
hsa-miR-16-5p	81485	15596.5	74331	88462	116796	40593	55534
hsa-miR-10b-5p	79849.5	18779	50102.5	147248	93139	36643	76210.5
hsa-miR-23b-3p	69798	35501.5	124621.5	200774.5	202159	139560	276497
hsa-miR-30c-5p	68382.5	13457	69915	109465	118029.5	69656	111357
hsa-miR-140-3p	67921	8438	83173	64916	78927	21429	40699
hsa-miR-486-5p	62295	76	805	1803	14811	1564	2298
hsa-miR-126-3p	61651	15350	58315	123699	132044	35414	49420
hsa-miR-191-5p	61602	10893	43756	86611	77575	41082	72102
hsa-miR-24-3p	60363	43333	117474	179565	247635	109559	168896
hsa-miR-92a-3p	58723.5	5630	26132	47483.5	48665.5	21463	38306
hsa-miR-29a-3p	49773	11563	81053.5	64943.5	91404	27743.5	43363
hsa-miR-320a	47251.5833333333	5635.16666666667	20248.2	38153.5333333333	41432.1666666667	15482.5	59849.9166666667
hsa-miR-99b-5p	40094	4228	21112	43728	42989	22019	37782
hsa-miR-335-5p	35885	8273	23569	58822	43394	14172	20968
hsa-let-7e-5p	34999.5	14736	27682.5	87446.5	63827.5	43479.5	99141
hsa-let-7d-5p	34226	11778	47015	73174	72294.5	39796.5	69064
hsa-miR-181a-5p	32870	8225	29873	41237	60306	25222	42078
hsa-miR-25-3p	32714	4093	17080	26304.5	31476.5	11892	19422
hsa-miR-101-3p	30470	8030	44651	35137	43078	13990	26386
hsa-miR-151a-5p|hsa-miR-151b	28983.5	6888.5	33764.5	53579.5	42295.5	17764.1666666667	41294
hsa-miR-151a-3p	27771	6883	30192	38894	43265	17784	31964
hsa-miR-103a-3p	27452.5	12557.5	55494	77442	56261.5	36182	81949.5
hsa-miR-27a-3p	24878	9809.5	41568	42626.5	63220.5	21636.5	33503.5
hsa-miR-22-3p	23586	5189	15240	39479	45370	9996	16107
hsa-miR-148a-3p	23527	2988	12978	22787	18809	4369	7823
hsa-miR-186-5p	22914	3932	28958	26505	32805	11437	20849
hsa-miR-152-3p	22320	3097	13245	19004	19273	7550	14648
hsa-miR-196a-5p	21454	3037	5494	15985	13876	4522	4399
hsa-miR-98-5p	17199.8333333333	10447	30633.5	54508.1666666667	50356.3333333333	35307.5	48341
hsa-miR-1-3p	16767	6426	22905	107122	153817	29161	31996
hsa-miR-30e-5p	16537	4439	27877	25823	34427	11820	15077
hsa-miR-195-5p	16482	4054	11880	13587	19659	5201	9194
hsa-miR-30b-5p	15937	2961	27730.3333333333	20846.3333333333	28730	15350.8333333333	17850.5
hsa-miR-574-3p	15168	1451	7487	16554	15350	6991	10233
hsa-miR-214-3p	14218	680	3607	10043	6972	2012	5234
hsa-miR-423-3p	13760	1927	9528	16573	12845	4953	13699
hsa-miR-199a-5p	13154	1193.5	5614	10805	11125.5	2203.5	4864
hsa-miR-423-5p	12840	1884	4580	16823	14913	5194	16158
hsa-miR-145-5p	12323	785	4879	14666	19835	3003	8876
hsa-miR-28-3p	12316	1434	10144	12875	14421	4288	9918
hsa-miR-374a-5p	11686	2874	13130.5	11967.5	20789.5	7073	6595.5
hsa-miR-338-5p	11147	7322	36703	30807	79750	40465	59386
hsa-miR-204-5p	10261	4306	9323	19537	30331	25580	29134
hsa-miR-145-3p	10093	1267	4643	14447	17011	2575	6535
hsa-miR-221-3p	10079	2300	7872	14440	14333	5972	12557
hsa-miR-374b-5p	9638.5	2085.5	8649	10129.5	14878	6946	10461
hsa-miR-146a-5p	9061	4751	27401.5	28276	32292	18224	21399
hsa-miR-93-5p	8922	904	5042	6872	6654	2868	5227
hsa-miR-9-5p	8619	10799	70522	71544	63844	59002	95553
hsa-miR-361-5p	8616	2120	8057	13468	9349	5057	9161
hsa-miR-28-5p	8029	1530	8889	13007	13270	3640	7575.33333333333
hsa-miR-92b-3p	7819.5	1000	2922	7191	4670	4306	9442
hsa-miR-223-3p	7611	810	7997	6879	7869	3576	4971
hsa-miR-222-3p	6930	1820	4468	11567	10083	3950	8179
hsa-miR-335-3p	6664	1565	3012	18603	10218	2260	3123
hsa-miR-126-5p	6550	1106	5162	9163	8859	2613	4024
hsa-miR-224-5p	6338	363	1637	9474	6212	638	2187
hsa-miR-128-3p	6314	2896	7075	14049	10286	8167	17645
hsa-miR-182-5p	6292	20256	67711.5	138033	65537	70927	149884
hsa-miR-361-3p	6087	977	5640	7685	6900	3477	5250
hsa-let-7d-3p	5752	653	2794	6354	5603	3222	6265
hsa-miR-15b-5p	5494	472	2249	3181	3831	1394	2399
hsa-miR-181b-5p	5408	1476.5	5861.5	8533	12115	5224	8648.5
hsa-miR-378a-3p	5285	389.166666666667	2406.83333333333	5734.33333333333	6238.5	1148.5	3515.83333333333
hsa-miR-218-5p	5196	1765.5	6810	7503	12020	4059.5	6513
hsa-miR-148b-3p	5010	1059	4098	6850	6715	3655	6447
hsa-miR-30e-3p	4972.5	813.5	7146.5	7036	8553.5	3213.5	4189
hsa-miR-574-5p	4882	1647	3657	7950	8690	3804	9777
hsa-miR-16-2-3p	4595	158	666	1025	1811	577	762
hsa-miR-144-5p	4362	4	58	125	2253	120	86
hsa-miR-125b-2-3p	4328	448	2294	3324	3523	1343	2535
hsa-miR-193a-5p	4273	520	1987	7898	4941	1526	4891
hsa-miR-155-5p	4192	1266	10581	9088	6832	3141	7335
hsa-miR-30a-3p	3911.5	1092.5	5516.5	6215	8596.5	4808.5	6842.5
hsa-miR-197-3p	3695	100	1290	1884	1810	836	1181
hsa-miR-425-5p	3625	436	1714	3200	3174	1265	2902
hsa-miR-183-5p	3553	33619	110875.5	251292.5	103718	124209	249490
