	random_trimmed_F1_S1_R1_001.fastq	random_trimmed_F2_S2_R1_001.fastq	random_trimmed_F3_S3_R1_001.fastq	random_trimmed_F4_S4_R1_001.fastq	random_trimmed_M1_S5_R1_001.fastq	random_trimmed_M2_S6_R1_001.fastq	random_trimmed_M4_S7_R1_001.fastq
hsa-let-7a-5p	70363.584359067	151085.484294628	68993.8372491447	141125.643994634	123775.563443643	139425.614729747	144298.14527982
hsa-miR-26a-5p	55453.7351273336	127004.036418472	96870.4069222329	95910.5086004086	97325.8236762761	109857.243106904	111479.704142148
hsa-miR-143-3p	36102.830825767	29287.0647527694	19518.2535744529	69467.1728244009	82394.7105717693	16486.4017972841	28163.3694973229
hsa-miR-451a	35769.440787684	121.177591074526	204.323130854235	654.354713334166	8028.4011639091	1436.44209492138	839.994514321539
hsa-miR-21-5p	31162.4370793629	41313.0548658118	29068.5011883724	34268.7596331161	19205.5125715547	21854.6133663532	25881.511650152
hsa-let-7f-5p	29700.9432656574	58844.2988423643	35324.1990365563	57298.9814587195	56863.8086637117	58005.9148111	53634.6077163674
hsa-let-7b-5p	25295.6579795434	47325.7546552982	21097.5735468237	48550.4501293321	39612.1855423915	40664.9350488959	52947.6254080646
hsa-miR-125b-5p	16160.1274349985	8327.59334217717	7696.3576033808	15655.6518225967	12920.1402036638	11294.9167085677	13217.7047967418
hsa-let-7g-5p	16083.2401517557	20902.4258194723	17748.8320319636	25065.1425378956	22095.011066046	19652.4793230544	19677.2784581095
hsa-let-7c-5p	14235.6497294159	21328.9095245114	8744.09736283219	20123.1835881034	17490.8044499072	21527.7149890615	25909.8668071123
hsa-miR-125a-5p	12785.5594002223	11067.1989976983	5479.82897455168	17641.5061840592	10266.1115757118	13308.2723465582	15499.2025022069
hsa-miR-199a-3p|hsa-miR-199b-3p	10492.9204089835	5467.8730569067	4015.1871063216	7011.36183349148	5890.31553923941	3053.29466472334	4528.92600557326
hsa-miR-10a-5p	9697.60149802208	9936.38530789029	4145.94272959603	8189.8330537186	5239.76770415488	4576.88954447618	8260.06610473036
hsa-miR-100-5p	9670.82257410636	6492.5677744141	6722.62232163401	7165.38623508119	7505.92787732382	6712.92220024573	7916.45490334373
hsa-miR-26b-5p	9123.95761147491	18629.9916663832	13443.5675724265	14024.569147641	13546.288065477	14855.3921627964	15635.1920102707
hsa-miR-30d-5p	8379.6850786444	11595.6679365511	10465.8444398282	12267.905907905	11308.653587201	13659.5675390401	14047.0751307458
