	random_trimmed_F1_S1_R1_001.fastq	random_trimmed_F2_S2_R1_001.fastq	random_trimmed_F3_S3_R1_001.fastq	random_trimmed_F4_S4_R1_001.fastq	random_trimmed_M1_S5_R1_001.fastq	random_trimmed_M2_S6_R1_001.fastq	random_trimmed_M4_S7_R1_001.fastq
hsa_piR_016658|gb|DQ592931|Homo_sapiens:6:80508363:80508389:Plus	8071	1617.5	3216	9954.5	11432.5	5467	10835
hsa_piR_017033|gb|DQ593538|Homo_sapiens:20:17891355:17891384:Minus	1444	548	2779	2860	3442	1555	1841
hsa_piR_016659|gb|DQ592932|Homo_sapiens:14:22388242:22388267:Plus	1358	134.5	438	1044.5	1167.5	639	1059
hsa_piR_001101|gb|DQ571419|Homo_sapiens:1:45016687:45016714:Plus	1178	318	1415	1588	1498	1004	1700
hsa_piR_019167|gb|DQ596309|Homo_sapiens:14:100434012:100434039:Plus	1173	416	1428	1911	2054.5	1292.5	2900
hsa_piR_000586|gb|DQ570728|Homo_sapiens:5:137924634:137924661:Minus	1122	280	1617	1756	2064	1243	1617
hsa_piR_018780|gb|DQ595807|Homo_sapiens:17:72068837:72068864:Plus	1035	797	3177	2384	4571	2789	2649
hsa_piR_001152|gb|DQ571500|Homo_sapiens:2:206734890:206734919:Plus	1028	353	1046	1264	1268	790	1166
hsa_piR_020813|gb|DQ598646|Homo_sapiens:1:31213600:31213629:Minus	808	302.5	1654.5	1450	1512	846.5	1338.5
hsa_piR_002158|gb|DQ572892|Homo_sapiens:16:70349813:70349841:Minus	734	357	1431	2099	2149	903	1631
hsa_piR_020009|gb|DQ597484|Homo_sapiens:7:145325417:145325443:Plus	731	67	391	795	1038	402	527
hsa_piR_019420|gb|DQ596670|Homo_sapiens:2:101255914:101255940:Minus	675	11	122	118	206	65	124
hsa_piR_020450|gb|DQ598104|Homo_sapiens:9:133350930:133350959:Plus	535	50	264	637	841	315	551
hsa_piR_017458|gb|DQ594126|Homo_sapiens:1:31213602:31213628:Minus	425	218.5	1116.5	915	896	555.5	804.5
hsa_piR_000805|gb|DQ571003|Homo_sapiens:1:212438966:212438997:Plus	389	25	292	1091	461	196	1085
hsa_piR_001159|gb|DQ571511|Homo_sapiens:17:16284116:16284145:Plus	292	106	330	499	413	260	281
hsa_piR_000796|gb|DQ570994|Homo_sapiens:9:139028023:139028048:Minus	232	94	226	588	437	472	769
hsa_piR_020814|gb|DQ598650|Homo_sapiens:22:38039828:38039859:Minus	228	24	178.5	163	193.5	122	151
hsa_piR_001207|gb|DQ571591|Homo_sapiens:16:88155360:88155385:Plus	210	27	198	228	179	110	187
hsa_piR_019168|gb|DQ596311|Homo_sapiens:14:100479543:100479573:Plus	196.5	49.5	219	330	174	195	446.5
hsa_piR_014620|gb|DQ590013|Homo_sapiens:5:93930930:93930956:Minus	187	5	66	143	123	31	147
hsa_piR_018292|gb|DQ595186|Homo_sapiens:18:45269646:45269676:Minus	165	2	222	60	40	30	5
hsa_piR_020828|gb|DQ598675|Homo_sapiens:2:149355860:149355890:Minus	152	155	92	409	383	195	534
hsa_piR_000045|gb|DQ569993|Homo_sapiens:10:70184970:70184999:Plus	150	95	611	536	454	198	437
hsa_piR_020365|gb|DQ597975|Homo_sapiens:11:108979133:108979162:Plus	134	50	178	407	284	135	226
hsa_piR_019825|gb|DQ597218|Homo_sapiens:1:227740227:227740256:Plus	128	4	129.833333333333	17	44.25	22	8
hsa_piR_016975|gb|DQ593415|Homo_sapiens:19:54685976:54686003:Plus	122	4	443	94	124	74	42
hsa_piR_000329|gb|DQ570392|Homo_sapiens:14:100434013:100434038:Plus	101	27	92	137	124.5	99.5	125
hsa_piR_004153|gb|DQ575660|Homo_sapiens:3:156861576:156861607:Plus	93	1	59.5	16	26	16	13
hsa_piR_017178|gb|DQ593744|Homo_sapiens:18:45271685:45271715:Minus	90	1	89	38	73	11	8
hsa_piR_001170|gb|DQ571526|Homo_sapiens:11:10488300:10488331:Minus	89	15	212.5	179	225	137	140
hsa_piR_000801|gb|DQ570999|Homo_sapiens:17:72069314:72069345:Plus	83	59	224	307	493	297	345
hsa_piR_019224|gb|DQ596390|Homo_sapiens:14:100485960:100485990:Plus	80.5	16.5	84	157	151.5	66	230
hsa_piR_019201|gb|DQ596354|Homo_sapiens:14:100485925:100485955:Plus	80	10	47	116	82	130	151
hsa_piR_001346|gb|DQ571858|Homo_sapiens:17:24073766:24073794:Plus	75	51	198	209	216	100	131
hsa_piR_000552|gb|DQ570687|Homo_sapiens:22:38045003:38045030:Minus	71	15	72	100	84	68	86
hsa_piR_012681|gb|DQ587153|Homo_sapiens:20:2585585:2585613:Plus	69	7	115	59	77	33	64
hsa_piR_000441|gb|DQ570540|Homo_sapiens:2:232033329:232033357:Minus	69	31	91	162	197	64	75
hsa_piR_010894|gb|DQ584698|Homo_sapiens:8:68660258:68660288:Minus	68	10	34	116	49	38	69
hsa_piR_019169|gb|DQ596314|Homo_sapiens:14:100466011:100466041:Plus	64	28	67	262	142	91	335
hsa_piR_008488|gb|DQ581533|Homo_sapiens:12:117916274:117916302:Plus	60	4	46	117	40	50	203
hsa_piR_017104|gb|DQ593636|Homo_sapiens:6:133179659:133179687:Plus	55.5	20	92.5	115.5	81.5	34	95
hsa_piR_018165|gb|DQ595023|Homo_sapiens:14:102873935:102873963:Plus	52	8	20	34	67	25	15
hsa_piR_019521|gb|DQ596805|Homo_sapiens:11:10487516:10487542:Minus	50	16	66	184	39	25	189
hsa_piR_012753|gb|DQ587269|Homo_sapiens:2:232029453:232029478:Minus	49	6	69	84	113	29	125
hsa_piR_020619|gb|DQ598378|Homo_sapiens:1:28778863:28778894:Minus	46	6	50	118	45	40	139
hsa_piR_020008|gb|DQ597482|Homo_sapiens:11:10487020:10487050:Minus	45	0	16	36	19	4	45
hsa_piR_019628|gb|DQ596932|Homo_sapiens:17:18097952:18097978:Minus	41	10	15	22	17	15	28
hsa_piR_015254|gb|DQ590835|Homo_sapiens:3:114834325:114834352:Plus	39	6	37	120	69	30	114
hsa_piR_017061|gb|DQ593574|Homo_sapiens:17:2180331:2180362:Minus	38	2	38	42	22	12	32
hsa_piR_001042|gb|DQ571335|Homo_sapiens:11:93104320:93104349:Minus	36	11	63	49	43	25	35
hsa_piR_000560|gb|DQ570698|Homo_sapiens:17:24071728:24071758:Plus	27	7	49	84	18	18	72
hsa_piR_019676|gb|DQ596993|Homo_sapiens:20:2582901:2582931:Plus	24	1	11	8	26	5	12
hsa_piR_019050|gb|DQ596155|Homo_sapiens:15:64582204:64582231:Minus	23	3	28	28	29	16	17
hsa_piR_017194|gb|DQ593767|Homo_sapiens:18:45272066:45272097:Minus	22	0	28	21	37	17	5
hsa_piR_020657|gb|DQ598428|Homo_sapiens:17:72068790:72068821:Plus	21	3	28	31	28	60	37
hsa_piR_016735|gb|DQ593039|Homo_sapiens:6:4373286:4373316:Plus	20	5	25	62	24	10	76
hsa_piR_019354|gb|DQ596587|Homo_sapiens:11:2941674:2941699:Minus	20	6	44	56	56	22	36
hsa_piR_002973|gb|DQ573999|Homo_sapiens:1:144149866:144149894:Plus	17	1	11	27	35	1	39
hsa_piR_017184|gb|DQ593752|Homo_sapiens:13:44809717:44809744:Minus	17	2	5	28	1	10	26
hsa_piR_010155|gb|DQ583674|Homo_sapiens:7:45110577:45110606:Minus	15	0	0	9	0	3	0
hsa_piR_019911|gb|DQ597340|Homo_sapiens:14:20930222:20930253:Minus	14	1	7	0	14	7	0
hsa_piR_007635|gb|DQ580405|Homo_sapiens:11:46740597:46740623:Minus	13	1	7	9	31	2	0
hsa_piR_014005|gb|DQ589140|Homo_sapiens:6:27968813:27968841:Minus	13	0	0	0	0	0	0
hsa_piR_020570|gb|DQ598294|Homo_sapiens:2:234032605:234032631:Plus	12	0	0	0	0	0	5
hsa_piR_018570|gb|DQ595536|Homo_sapiens:2:156965941:156965972:Minus	11.7333333333333	0.25	28.8833333333333	1.63333333333333	4.98333333333333	3.53333333333333	1
hsa_piR_012925|gb|DQ587514|Homo_sapiens:1:31181176:31181205:Minus	11	1	20	11	9	6	21
hsa_piR_020326|gb|DQ597916|Homo_sapiens:3:15524502:15524532:Plus	11	0	24	5	4	3	1
hsa_piR_001312|gb|DQ571813|Homo_sapiens:2:156965943:156965973:Minus	10.7333333333333	0.25	28.8833333333333	1.63333333333333	4.98333333333333	3.53333333333333	1
hsa_piR_018569|gb|DQ595533|Homo_sapiens:4:101908752:101908780:Plus	10.2333333333333	0.25	27.55	1.63333333333333	4.98333333333333	3.53333333333333	0.5
hsa_piR_011734|gb|DQ585879|Homo_sapiens:18:11651398:11651425:Minus	10	0	4	0	0	2	0
hsa_piR_013306|gb|DQ588040|Homo_sapiens:8:57148983:57149014:Minus	10	8	22	38	33	32	47
hsa_piR_000330|gb|DQ570393|Homo_sapiens:14:100479544:100479569:Plus	9.5	0.5	2	0	0	0	2.5
hsa_piR_004167|gb|DQ575680|Homo_sapiens:22:22586123:22586152:Minus	9	0	4	0	0	0	2
hsa_piR_011537|gb|DQ585628|Homo_sapiens:6:31429686:31429711:Minus	9	0	4	12	0	10	0
hsa_piR_010791|gb|DQ584559|Homo_sapiens:7:100511976:100512004:Plus	8	0	0	0	0	2	0
hsa_piR_001421|gb|DQ571955|Homo_sapiens:17:53437520:53437548:Minus	8	0	0	0	4	0	0
hsa_piR_001311|gb|DQ571812|Homo_sapiens:3:15524505:15524533:Plus	7.9	0.25	25.05	1.3	4.4	3.2	0.5
hsa_piR_012252|gb|DQ586566|Homo_sapiens:2:232028497:232028523:Minus	7	0	0	0	0	2	0
hsa_piR_013401|gb|DQ588168|Homo_sapiens:1:26993498:26993525:Plus	7	0	0	0	0	0	0
hsa_piR_002732|gb|DQ573682|Homo_sapiens:22:38039830:38039857:Minus	7	0	1.5	2	5.5	0	1
hsa_piR_017791|gb|DQ594556|Homo_sapiens:11:74789084:74789113:Plus	7	8	42	54	26	38	17
hsa_piR_006184|gb|DQ578474|Homo_sapiens:15:41872501:41872529:Plus	6	0	2	0	0	0	0
hsa_piR_000765|gb|DQ570956|Homo_sapiens:2:156965946:156965976:Minus	5	1	7	1.5	11.5	3	3.5
hsa_piR_005023|gb|DQ576923|Homo_sapiens:7:100912871:100912899:Plus	5	0	0	0	0	0	0
hsa_piR_016677|gb|DQ592953|Homo_sapiens:2:205927199:205927228:Plus	5	0	1.5	1	1	0	1
hsa_piR_005271|gb|DQ577259|Homo_sapiens:6:133179660:133179685:Plus	4.5	5	39.5	28.5	44.5	8	42
hsa_piR_020013|gb|DQ597489|Homo_sapiens:20:62036092:62036121:Plus	4	0	0	0	0	0	0
hsa_piR_000823|gb|DQ571031|Homo_sapiens:19:63164175:63164206:Plus	4	1	3	0	0	6	1
hsa_piR_004309|gb|DQ575884|Homo_sapiens:2:47361402:47361433:Minus	4	0	3.2	0	0	1	5
hsa_piR_003251|gb|DQ574416|Homo_sapiens:19:15400140:15400169:Minus	4	0	0	0	0	0	0
hsa_piR_020439|gb|DQ598084|Homo_sapiens:19:12678303:12678331:Minus	3	0	7	12	9	6	11
hsa_piR_004152|gb|DQ575658|Homo_sapiens:5:139120743:139120768:Plus	3	0	0	0	0	0	0
hsa_piR_009295|gb|DQ582567|Homo_sapiens:17:7969790:7969818:Plus	2.4	0	2.8	0.8	1.4	0.2	0
hsa_piR_011300|gb|DQ585261|Homo_sapiens:3:102778418:102778444:Minus	2	0	0	0	18	3	0
hsa_piR_012559|gb|DQ586988|Homo_sapiens:19:50609963:50609990:Minus	2	0	0	0	0	0	0
hsa_piR_004987|gb|DQ576872|Homo_sapiens:1:144108281:144108311:Minus	1	0	1	5	6	2	1
hsa_piR_001078|gb|DQ571388|Homo_sapiens:6:31616882:31616910:Minus	1	4	12	6	14	3	13
hsa_piR_016742|gb|DQ593049|Homo_sapiens:1:144106921:144106949:Minus	1	0	0	0	0	0	0
hsa_piR_016945|gb|DQ593356|Homo_sapiens:1:144106919:144106948:Minus	1	0	1	0	0	0	0
hsa_piR_016963|gb|DQ593398|Homo_sapiens:14:100485962:100485989:Plus	0.5	0.5	0	3	0.5	0	9
hsa_piR_019368|gb|DQ596603|Homo_sapiens:1:154156432:154156462:Minus	0	15	53	78	91	35	93
hsa_piR_019102|gb|DQ596225|Homo_sapiens:14:100520003:100520032:Plus	0	6	13	12	6	11	65
hsa_piR_020815|gb|DQ598651|Homo_sapiens:15:22778235:22778264:Plus	0	6	27	57	50	19	27
hsa_piR_015341|gb|DQ590959|Homo_sapiens:6:42821734:42821760:Minus	0	2	1	3	0	1	0
hsa_piR_003304|gb|DQ574484|Homo_sapiens:16:2509803:2509831:Plus	0	2	0	0	0	0	0
hsa_piR_001633|gb|DQ572216|Homo_sapiens:6:26264808:26264834:Plus	0	2	0	0	0	0	0
hsa_piR_020898|gb|DQ598759|Homo_sapiens:11:62048788:62048814:Minus	0	1	0	0	0	0	0
hsa_piR_005225|gb|DQ577204|Homo_sapiens:1:202647038:202647063:Minus	0	1	0	0	0	0	0
hsa_piR_015572|gb|DQ591276|Homo_sapiens:17:75934662:75934689:Plus	0	1	0	0	0	0	0
hsa_piR_000291|gb|DQ570344|Homo_sapiens:1:159760312:159760337:Minus	0	1	3	2.5	3.5	0	17.5
hsa_piR_001179|gb|DQ571538|Homo_sapiens:14:100481742:100481768:Plus	0	1	10	4	0	1	5
hsa_piR_012642|gb|DQ587097|Homo_sapiens:8:24867008:24867035:Minus	0	1	0	1	0	0	0
hsa_piR_003141|gb|DQ574258|Homo_sapiens:10:100287496:100287524:Minus	0	1	0	0	0	0	0
hsa_piR_009502|gb|DQ582827|Homo_sapiens:19:1334622:1334647:Plus	0	1	3	3	0	16	45
hsa_piR_015249|gb|DQ590830|Homo_sapiens:6:26435795:26435820:Plus	0	1	1	7	1	2	0
hsa_piR_008630|gb|DQ581714|Homo_sapiens:2:85497055:85497081:Minus	0	1	0	0	0	0	0
hsa_piR_017716|gb|DQ594453|Homo_sapiens:6:126143128:126143158:Minus	0	1	1	0	0	5	4
hsa_piR_019166|gb|DQ596306|Homo_sapiens:14:100489441:100489471:Plus	0	1	1	2	0	0	0
hsa_piR_019574|gb|DQ596863|Homo_sapiens:14:100519018:100519048:Plus	0	0	19	2	8	5	5
hsa_piR_010541|gb|DQ584197|Homo_sapiens:9:135207523:135207554:Plus	0	0	9	9	1	5	0
hsa_piR_020466|gb|DQ598130|Homo_sapiens:3:132680740:132680767:Minus	0	0	8	0	0	0	0
hsa_piR_007419|gb|DQ580106|Homo_sapiens:12:121416071:121416097:Plus	0	0	6	0	0	0	0
hsa_piR_005076|gb|DQ577008|Homo_sapiens:3:114834362:114834388:Plus	0	0	5	3	8	4	1
hsa_piR_004064|gb|DQ575547|Homo_sapiens:20:42561796:42561825:Minus	0	0	4	0	0	0	0
hsa_piR_003280|gb|DQ574453|Homo_sapiens:9:140191386:140191415:Plus	0	0	4	0	0	0	0
hsa_piR_009051|gb|DQ582264|Homo_sapiens:11:10487350:10487380:Minus	0	0	4	6	15	1	5
hsa_piR_001225|gb|DQ571633|Homo_sapiens:5:69440120:69440145:Minus	0	0	4	0	0	0	0
hsa_piR_000150|gb|DQ570133|Homo_sapiens:7:44588676:44588704:Plus	0	0	3	0	0	0	2
hsa_piR_000118|gb|DQ570088|Homo_sapiens:1:102567:102595:Minus	0	0	3	0	0	0	0
hsa_piR_010771|gb|DQ584537|Homo_sapiens:22:17416039:17416067:Minus	0	0	3	0	0	0	0
hsa_piR_014819|gb|DQ590277|Homo_sapiens:1:230615725:230615750:Minus	0	0	3	0	0	0	0
hsa_piR_005018|gb|DQ576917|Homo_sapiens:6:26685373:26685400:Plus	0	0	3	0	0	0	0
hsa_piR_018149|gb|DQ595000|Homo_sapiens:11:74399481:74399506:Plus	0	0	3	0	0	0	0
hsa_piR_007336|gb|DQ580006|Homo_sapiens:2:106681212:106681238:Minus	0	0	3	0	0	3	0
hsa_piR_014853|gb|DQ590318|Homo_sapiens:19:46008504:46008529:Minus	0	0	3	0	0	0	0
hsa_piR_017174|gb|DQ593737|Homo_sapiens:2:168406297:168406328:Plus	0	0	3	5	0	0	0
hsa_piR_001168|gb|DQ571524|Homo_sapiens:2:117497628:117497655:Plus	0	0	3	5	0	2	14
hsa_piR_001169|gb|DQ571525|Homo_sapiens:17:21945564:21945589:Plus	0	0	2.5	0	0	0	0
hsa_piR_017002|gb|DQ593493|Homo_sapiens:3:100237826:100237854:Plus	0	0	2	0	0	0	0
hsa_piR_015206|gb|DQ590774|Homo_sapiens:2:131523068:131523097:Minus	0	0	2	0	0	0	0
hsa_piR_003239|gb|DQ574391|Homo_sapiens:9:134885947:134885976:Plus	0	0	2	0	6	0	0
hsa_piR_002460|gb|DQ573314|Homo_sapiens:1:27605242:27605272:Minus	0	0	2	0	0	0	0
hsa_piR_009728|gb|DQ583107|Homo_sapiens:9:129843441:129843467:Minus	0	0	2	0	0	0	0
hsa_piR_022690|gb|DQ601048|Homo_sapiens:1:15767453:15767480:Plus	0	0	2	0	0	0	0
hsa_piR_019927|gb|DQ597365|Homo_sapiens:6:135417831:135417859:Plus	0	0	2	0	0	0	0
hsa_piR_001925|gb|DQ572561|Homo_sapiens:3:129966084:129966114:Minus	0	0	2	1	1.5	0	3
hsa_piR_011949|gb|DQ586160|Homo_sapiens:6:33959472:33959499:Minus	0	0	2	2	0	0	0
hsa_piR_013258|gb|DQ587971|Homo_sapiens:10:122547697:122547724:Plus	0	0	2	0	0	0	0
hsa_piR_022298|gb|DQ600517|Homo_sapiens:6:102507270:102507300:Minus	0	0	2	0	0	0	0
hsa_piR_017482|gb|DQ594156|Homo_sapiens:9:114911962:114911990:Minus	0	0	1.5	0	0	0	0
hsa_piR_002571|gb|DQ573472|Homo_sapiens:9:114911961:114911989:Minus	0	0	1.5	0	0	0	0
hsa_piR_015378|gb|DQ591007|Homo_sapiens:16:2509275:2509306:Plus	0	0	1	0	0	0	0
hsa_piR_011331|gb|DQ585304|Homo_sapiens:1:227634510:227634540:Minus	0	0	1	0	0	0	0
hsa_piR_017417|gb|DQ594074|Homo_sapiens:15:84091149:84091176:Plus	0	0	1	0	0	0	0
hsa_piR_012859|gb|DQ587411|Homo_sapiens:14:67122074:67122099:Plus	0	0	1	0	0	0	0
hsa_piR_015099|gb|DQ590642|Homo_sapiens:19:47056699:47056724:Plus	0	0	1	0	0	0	0
hsa_piR_006732|gb|DQ579200|Homo_sapiens:22:45460174:45460200:Minus	0	0	1	0	0	0	0
hsa_piR_010526|gb|DQ584176|Homo_sapiens:1:178077826:178077854:Minus	0	0	1	0	0	0	0
hsa_piR_018232|gb|DQ595111|Homo_sapiens:1:102025145:102025171:Minus	0	0	1	0	0	0	0
hsa_piR_006432|gb|DQ578790|Homo_sapiens:7:44836160:44836185:Minus	0	0	1	0	0	0	0
hsa_piR_011181|gb|DQ585088|Homo_sapiens:4:106625465:106625491:Plus	0	0	1	0	0	0	0
hsa_piR_020284|gb|DQ597849|Homo_sapiens:19:43255491:43255518:Plus	0	0	1	0	0	0	0
hsa_piR_006504|gb|DQ578892|Homo_sapiens:15:91764480:91764509:Minus	0	0	1	0	0	0	0
hsa_piR_000907|gb|DQ571152|Homo_sapiens:11:110978400:110978428:Plus	0	0	1	0	2	0	2
hsa_piR_004247|gb|DQ575790|Homo_sapiens:12:4584334:4584361:Plus	0	0	1	0	0	0	0
hsa_piR_003819|gb|DQ575192|Homo_sapiens:11:63843795:63843820:Plus	0	0	1	0	0	0	0
hsa_piR_000794|gb|DQ570992|Homo_sapiens:6:26664752:26664783:Plus	0	0	1	0	0	0	0
hsa_piR_015939|gb|DQ591773|Homo_sapiens:3:144029038:144029063:Minus	0	0	1	0	0	0	0
hsa_piR_007285|gb|DQ579930|Homo_sapiens:9:110821362:110821388:Minus	0	0	1	0	0	0	0
hsa_piR_016065|gb|DQ591926|Homo_sapiens:11:122437163:122437192:Minus	0	0	1	0	0	0	0
hsa_piR_009294|gb|DQ582566|Homo_sapiens:Y:10647845:10647874:Plus	0	0	1	1	0	0	0
hsa_piR_001104|gb|DQ571422|Homo_sapiens:X:100021425:100021452:Minus	0	0	1	0	0	0	0
hsa_piR_013390|gb|DQ588154|Homo_sapiens:6:158925028:158925055:Plus	0	0	1	0	0	0	0
hsa_piR_003728|gb|DQ575064|Homo_sapiens:14:20935370:20935400:Minus	0	0	1	3	1	7	6
hsa_piR_022436|gb|DQ600689|Homo_sapiens:6:153645383:153645408:Minus	0	0	1	0	0	0	0
hsa_piR_009237|gb|DQ582507|Homo_sapiens:3:129966089:129966116:Minus	0	0	1	0	1.5	0	3
hsa_piR_003709|gb|DQ575036|Homo_sapiens:13:21100723:21100751:Minus	0	0	1	0	0	0	0
hsa_piR_019161|gb|DQ596298|Homo_sapiens:7:39797924:39797951:Plus	0	0	1	0	0	0	0
hsa_piR_021808|gb|DQ599874|Homo_sapiens:4:119771095:119771126:Plus	0	0	1	0	0	0	0
hsa_piR_022323|gb|DQ600548|Homo_sapiens:17:38531177:38531204:Plus	0	0	1	0	0	0	0
hsa_piR_011516|gb|DQ585597|Homo_sapiens:4:2876366:2876395:Plus	0	0	1	0	0	0	0
hsa_piR_011217|gb|DQ585139|Homo_sapiens:6:26264588:26264614:Plus	0	0	1	0	4	1	0
hsa_piR_012081|gb|DQ586321|Homo_sapiens:22:19634156:19634182:Plus	0	0	1	0	0	0	0
hsa_piR_005004|gb|DQ576896|Homo_sapiens:15:100111130:100111158:Plus	0	0	0.666666666666667	0	0	0	0
hsa_piR_020170|gb|DQ597703|Homo_sapiens:15:100111137:100111167:Plus	0	0	0.666666666666667	2.5	0	0	0
hsa_piR_013545|gb|DQ588479|Homo_sapiens:15:100111135:100111164:Plus	0	0	0.666666666666667	2.5	0	0	0
hsa_piR_004307|gb|DQ575881|Homo_sapiens:3:170972715:170972744:Plus	0	0	0.2	0	0	0	0
hsa_piR_017724|gb|DQ594465|Homo_sapiens:1:147565218:147565249:Minus	0	0	0.2	0	0	0	0
hsa_piR_017723|gb|DQ594464|Homo_sapiens:3:170972714:170972743:Plus	0	0	0.2	0	0	0	0
hsa_piR_004308|gb|DQ575882|Homo_sapiens:1:147565217:147565248:Minus	0	0	0.2	0	0	0	0
hsa_piR_001205|gb|DQ571589|Homo_sapiens:11:8662350:8662381:Plus	0	0	0	22	14	5	24
hsa_piR_020497|gb|DQ598177|Homo_sapiens:6:28939482:28939513:Minus	0	0	0	13	0	0	2
hsa_piR_001490|gb|DQ572041|Homo_sapiens:22:40553623:40553650:Plus	0	0	0	9	0	0	0
hsa_piR_002073|gb|DQ572769|Homo_sapiens:17:70827006:70827031:Minus	0	0	0	5	0	0	0
hsa_piR_009903|gb|DQ583334|Homo_sapiens:6:26232436:26232462:Plus	0	0	0	5	0	0	0
hsa_piR_016891|gb|DQ593257|Homo_sapiens:8:141641751:141641779:Minus	0	0	0	4	0	0	0
hsa_piR_018028|gb|DQ594845|Homo_sapiens:19:40811995:40812020:Plus	0	0	0	4	0	0	0
hsa_piR_022294|gb|DQ600513|Homo_sapiens:10:102073118:102073145:Minus	0	0	0	4	0	0	0
hsa_piR_007489|gb|DQ580213|Homo_sapiens:2:111156339:111156369:Minus	0	0	0	4	0	0	0
hsa_piR_002508|gb|DQ573381|Homo_sapiens:20:62034329:62034358:Plus	0	0	0	3	0	0	0
hsa_piR_017809|gb|DQ594577|Homo_sapiens:1:44209335:44209361:Plus	0	0	0	3	0	0	0
hsa_piR_018367|gb|DQ595276|Homo_sapiens:17:16284269:16284294:Plus	0	0	0	3	0	0	0
hsa_piR_003697|gb|DQ575022|Homo_sapiens:8:11738308:11738334:Minus	0	0	0	3	0	0	0
hsa_piR_005019|gb|DQ576918|Homo_sapiens:2:27127216:27127243:Plus	0	0	0	3	0	0	0
hsa_piR_003759|gb|DQ575105|Homo_sapiens:4:119768736:119768765:Plus	0	0	0	3	0	0	0
hsa_piR_006234|gb|DQ578538|Homo_sapiens:21:44725489:44725518:Minus	0	0	0	3	0	0	0
hsa_piR_001615|gb|DQ572193|Homo_sapiens:3:14942418:14942443:Plus	0	0	0	3	0	0	0
hsa_piR_019058|gb|DQ596168|Homo_sapiens:5:6803468:6803494:Plus	0	0	0	3	0	0	0
hsa_piR_012717|gb|DQ587200|Homo_sapiens:X:117146891:117146916:Plus	0	0	0	3	0	0	0
hsa_piR_014716|gb|DQ590144|Homo_sapiens:20:46565113:46565139:Minus	0	0	0	2	0	0	0
hsa_piR_000802|gb|DQ571000|Homo_sapiens:17:17087329:17087354:Plus	0	0	0	2	0	0	0
hsa_piR_019397|gb|DQ596642|Homo_sapiens:15:100110213:100110243:Plus	0	0	0	2	0	0	0
hsa_piR_011496|gb|DQ585569|Homo_sapiens:17:77092200:77092229:Minus	0	0	0	2	0	0	0
hsa_piR_019132|gb|DQ596262|Homo_sapiens:2:201689262:201689288:Plus	0	0	0	2	0	0	0
hsa_piR_006613|gb|DQ579049|Homo_sapiens:9:15517444:15517470:Minus	0	0	0	2	0	0	4
hsa_piR_011361|gb|DQ585344|Homo_sapiens:1:234834618:234834644:Plus	0	0	0	2	0	0	0
hsa_piR_005490|gb|DQ577540|Homo_sapiens:19:40001431:40001460:Minus	0	0	0	2	0	0	0
hsa_piR_004531|gb|DQ576233|Homo_sapiens:6:31698835:31698864:Plus	0	0	0	2	0	0	0
hsa_piR_008624|gb|DQ581708|Homo_sapiens:12:9410818:9410847:Minus	0	0	0	1	0	0	1
hsa_piR_000698|gb|DQ570869|Homo_sapiens:10:105347817:105347844:Minus	0	0	0	1	0	0	0
hsa_piR_017833|gb|DQ594619|Homo_sapiens:1:105181176:105181206:Minus	0	0	0	1	0	0	0
hsa_piR_009961|gb|DQ583411|Homo_sapiens:X:72981631:72981661:Minus	0	0	0	1	0	0	0
hsa_piR_010230|gb|DQ583775|Homo_sapiens:9:130060080:130060105:Minus	0	0	0	1	0	0	0
hsa_piR_009831|gb|DQ583234|Homo_sapiens:12:110367488:110367514:Minus	0	0	0	1	0	0	0
hsa_piR_021494|gb|DQ599499|Homo_sapiens:8:43101873:43101899:Plus	0	0	0	1	0	0	0
hsa_piR_002314|gb|DQ573127|Homo_sapiens:5:115809824:115809851:Plus	0	0	0	1	0	0	0
hsa_piR_017725|gb|DQ594466|Homo_sapiens:20:48629135:48629161:Plus	0	0	0	1	0	0	0
