	InputReads	GenomeReads	TranscriptomeReads	TranscriptomeGenomeRatio	TranscriptomeComplexity
trimmed_19101-0001_SmallRNA.fastq.fastq	8249488	5664211	5121605	0.904204	0.0750017
trimmed_19101-0002_SmallRNA.fastq.fastq	13329889	9597813	8828510	0.919846	0.052207
trimmed_19101-0003_SmallRNA.fastq.fastq	8820413	6224988	5728489	0.920241	0.0498908
trimmed_19101-0004_SmallRNA.fastq.fastq	12275655	9818252	9239252	0.941028	0.0399491
trimmed_19101-0005_SmallRNA.fastq.fastq	13413728	10730072	10135384	0.944577	0.0366956
trimmed_19101-0006_SmallRNA.fastq.fastq	14342000	11156508	10452114	0.936863	0.0381889
trimmed_19101-0007_SmallRNA.fastq.fastq	15035304	9932185	9135062	0.919743	0.05341
trimmed_19101-0008_SmallRNA.fastq.fastq	16617097	11096057	10142572	0.91407	0.0529452
trimmed_19101-0009_SmallRNA.fastq.fastq	13528191	8887092	8053172	0.906165	0.058344
trimmed_19101-0010_SmallRNA.fastq.fastq	15252698	10989331	10320015	0.939094	0.0405441
trimmed_19101-0011_SmallRNA.fastq.fastq	12465527	9221735	8698556	0.943267	0.037708
trimmed_19101-0012_SmallRNA.fastq.fastq	15068937	11189815	10531415	0.941161	0.0376654
trimmed_19101-0013_SmallRNA.fastq.fastq	12984034	9438446	8507328	0.901348	0.0734463
trimmed_19101-0014_SmallRNA.fastq.fastq	15773473	11702555	10579760	0.904056	0.0688544
trimmed_19101-0015_SmallRNA.fastq.fastq	9155818	6874572	6521349	0.948619	0.0490228
trimmed_19101-0016_SmallRNA.fastq.fastq	13656809	10773587	10096675	0.937169	0.0478793
trimmed_19101-0017_SmallRNA.fastq.fastq	13050329	10506768	9942566	0.946301	0.0445935
trimmed_19101-0018_SmallRNA.fastq.fastq	13678955	10623987	9912597	0.933039	0.0543081
trimmed_19101-0019_SmallRNA.fastq.fastq	10057799	6012122	5466768	0.909291	0.06804
trimmed_19101-0020_SmallRNA.fastq.fastq	11206128	6780518	6147606	0.906657	0.06495
trimmed_19101-0021_SmallRNA.fastq.fastq	7991939	4909349	4470396	0.910588	0.0721129
trimmed_19101-0022_SmallRNA.fastq.fastq	11359880	8558538	8007225	0.935583	0.0410309
trimmed_19101-0023_SmallRNA.fastq.fastq	15214535	11649274	10935986	0.93877	0.0358504
trimmed_19101-0024_SmallRNA.fastq.fastq	12335282	9276123	8675630	0.935265	0.0392306
trimmed_19101-0025_SmallRNA.fastq.fastq	11744066	6755263	5845590	0.865339	0.0644595
trimmed_19101-0026_SmallRNA.fastq.fastq	6816569	3906532	3413584	0.873814	0.075153
trimmed_19101-0027_SmallRNA.fastq.fastq	7338461	4438290	3864140	0.870637	0.0731399
trimmed_19101-0028_SmallRNA.fastq.fastq	8981324	6279686	5632921	0.897007	0.0514136
trimmed_19101-0029_SmallRNA.fastq.fastq	16404068	10861293	9726370	0.895508	0.052156
trimmed_19101-0030_SmallRNA.fastq.fastq	15799001	10667714	9657255	0.905279	0.0429452
trimmed_19101-0031_SmallRNA.fastq.fastq	11905387	9133229	8641353	0.946144	0.0445368
trimmed_19101-0032_SmallRNA.fastq.fastq	13546214	10351591	9732675	0.940211	0.0440461
trimmed_19101-0033_SmallRNA.fastq.fastq	12702245	9585404	8769854	0.914918	0.0574682
trimmed_19101-0034_SmallRNA.fastq.fastq	12723718	10321515	9709019	0.940658	0.0465899
trimmed_19101-0035_SmallRNA.fastq.fastq	39151597	32597072	31114983	0.954533	0.0259905
trimmed_19101-0036_SmallRNA.fastq.fastq	13064201	10702603	10046501	0.938697	0.0417175
trimmed_19101-0037_SmallRNA.fastq.fastq	10720196	6462687	5638352	0.872447	0.0906712
trimmed_19101-0038_SmallRNA.fastq.fastq	11041101	6419828	5721334	0.891197	0.0816217
trimmed_19101-0039_SmallRNA.fastq.fastq	13389407	7973194	7093570	0.889677	0.0720265
trimmed_19101-0040_SmallRNA.fastq.fastq	11786611	9180555	8576787	0.934234	0.0441119
trimmed_19101-0041_SmallRNA.fastq.fastq	15411808	12806286	11911254	0.93011	0.0404039
trimmed_19101-0042_SmallRNA.fastq.fastq	17023906	14070877	13155247	0.934927	0.039934
trimmed_19101-0043_SmallRNA.fastq.fastq	14128371	10906627	9393177	0.861236	0.0508479
trimmed_19101-0044_SmallRNA.fastq.fastq	10743305	8486322	7795276	0.918569	0.044006
trimmed_19101-0045_SmallRNA.fastq.fastq	15488234	11979744	11019130	0.919813	0.0407576
trimmed_19101-0046_SmallRNA.fastq.fastq	17505799	13167852	12425564	0.943629	0.0339954
trimmed_19101-0047_SmallRNA.fastq.fastq	19428207	14245482	13362207	0.937996	0.0362732
trimmed_19101-0048_SmallRNA.fastq.fastq	10648249	8543995	8166928	0.955868	0.0313953
trimmed_19101-0049_SmallRNA.fastq.fastq	11019535	8523127	8068071	0.946609	0.0422636
trimmed_19101-0050_SmallRNA.fastq.fastq	16169853	12566728	11695966	0.930709	0.0482621
trimmed_19101-0051_SmallRNA.fastq.fastq	7925300	6168862	5897882	0.956073	0.0362691
trimmed_19101-0052_SmallRNA.fastq.fastq	12424047	10228067	9713595	0.9497	0.0312735
trimmed_19101-0053_SmallRNA.fastq.fastq	8681731	7291956	7017322	0.962337	0.0315733
trimmed_19101-0054_SmallRNA.fastq.fastq	8848922	7418158	7136008	0.961965	0.0330702
