	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76
trimmed_19101-0001_SmallRNA.fastq.fastq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	467636	401743	317081	730517	1578006	1006883	334946	140501	111772	110911	194207	129533	92521	117015	121142	111910	152753	60289	74583	67571	31458	32523	20028	19624	27376	48245	76479	147027	14634	9460	7870	8728	11041	13168	14141	6555	6474	5377	6025	5770	8756	9212	16129	95040	93281	55156	17891	51629	42771	152933	113802	127787	10510	35383	32423	25683	6843	32202	242318
trimmed_19101-0002_SmallRNA.fastq.fastq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	594331	499166	425743	1188502	2821902	1660368	546977	210629	183475	150843	272441	185613	153766	202271	231805	207192	382078	105776	144573	118901	39810	46017	26586	28233	46349	73676	128973	304328	20856	12636	10767	12470	17246	19488	23289	8933	8856	7994	8928	8740	14583	15780	25567	152912	160846	82548	28926	88977	68347	241898	191044	207542	16565	61947	55613	44799	10751	53472	437118
trimmed_19101-0003_SmallRNA.fastq.fastq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	442093	374514	297065	773818	1887616	1141251	384975	134527	109999	105845	206855	134628	93696	120921	133456	129487	240597	63385	85702	68764	23599	27522	16132	16502	26345	45867	83015	218382	14016	7595	6933	7681	9511	11513	13215	4735	4609	4120	4541	4172	7528	8195	14136	89839	89703	50499	15695	47777	34091	131761	107357	117893	9061	37233	31401	22721	5704	29559	313335
trimmed_19101-0004_SmallRNA.fastq.fastq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	594027	485959	433886	1118042	3049899	1585230	643367	181617	102963	89051	108971	122910	198029	706099	374882	234170	149714	68129	112537	80090	26277	31975	20380	19555	22515	24142	52374	191924	13200	8069	6207	7134	9424	10951	11601	4381	5125	4126	4401	4539	7417	8222	16920	109048	101505	60872	20415	58504	38327	160517	104461	128058	8828	35778	33871	28642	6763	29378	145356
trimmed_19101-0005_SmallRNA.fastq.fastq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	614801	485596	447823	1154725	3684205	1618131	679989	182791	110426	93510	116405	139222	217413	796725	390438	248977	182828	75290	141081	82354	29891	34827	23351	21844	26019	24360	47964	204999	14338	8974	6554	7453	9677	10534	11507	4781	5204	3957	4638	5081	7392	7924	18164	114632	104478	55239	18755	49814	37075	180291	133861	159835	9772	39643	36173	29457	6778	32727	187983
trimmed_19101-0006_SmallRNA.fastq.fastq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	772044	686648	497602	1268220	3525227	1701911	728796	195348	116806	104165	128724	148832	196711	672079	376859	237805	161853	80944	118191	93173	32141	36587	24103	23138	26211	28463	59810	249649	15474	9509	7076	8290	10034	11359	12696	5229	6060	4235	4743	5455	10019	9582	24290	169007	148623	70395	25547	72040	49742	247401	199273	216693	12843	54058	49150	35200	8782	39628	276535
trimmed_19101-0007_SmallRNA.fastq.fastq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1219904	1139564	813701	932482	2931655	1471456	981490	397079	228913	175759	160477	201497	214939	558899	637598	279736	150498	128510	142434	274201	56508	61805	32893	37815	28288	32251	53954	164151	16313	11209	8970	9098	10795	11484	10152	6230	8755	4910	4756	4960	8214	9820	18974	112340	93936	62929	18439	50486	38246	162778	131049	135032	9056	42833	35118	27704	8872	29683	169625
trimmed_19101-0008_SmallRNA.fastq.fastq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1296052	1191094	956864	1086858	3335551	1706269	994648	435242	245987	193564	180700	218991	242572	630205	732743	300340	159602	129255	141210	277598	59030	66337	34810	37795	30388	37555	70784	193745	19009	12166	9455	9684	11576	12092	10114	5968	8150	4785	4688	4896	8639	10842	17571	109781	99174	63923	19569	53927	39148	161016	122134	127572	9795	42397	36807	28994	9103	34001	146575
trimmed_19101-0009_SmallRNA.fastq.fastq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1011486	941039	880272	893097	2613808	1358021	817451	371761	205866	172008	149398	178447	201563	508688	633264	262725	135350	111166	121871	252737	51432	59272	29095	34596	25489	34065	61609	138453	14702	10065	7796	8194	9702	11615	9273	5377	7588	4491	4021	3802	6257	9045	13756	81755	71440	50815	14818	39908	31227	130005	98260	100436	7433	32626	29715	22986	7007	26435	175531
trimmed_19101-0010_SmallRNA.fastq.fastq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	572196	506182	666224	988716	2863325	1410244	1200476	283210	206503	181301	194360	196046	274564	769050	1099620	423512	235270	213555	246264	423059	65273	73456	34276	43280	24717	30426	60751	131239	19194	13153	9216	9615	12237	10839	9925	7154	7954	5661	5855	6463	11276	14380	23923	127510	105401	88845	26351	59484	43738	146983	162481	133939	12249	49903	58971	47876	15393	40066	319714
