	trimmed_19101-0001_SmallRNA.fastq.fastq	trimmed_19101-0002_SmallRNA.fastq.fastq	trimmed_19101-0003_SmallRNA.fastq.fastq	trimmed_19101-0004_SmallRNA.fastq.fastq	trimmed_19101-0005_SmallRNA.fastq.fastq	trimmed_19101-0006_SmallRNA.fastq.fastq	trimmed_19101-0007_SmallRNA.fastq.fastq	trimmed_19101-0008_SmallRNA.fastq.fastq	trimmed_19101-0009_SmallRNA.fastq.fastq	trimmed_19101-0010_SmallRNA.fastq.fastq	trimmed_19101-0011_SmallRNA.fastq.fastq	trimmed_19101-0012_SmallRNA.fastq.fastq	trimmed_19101-0013_SmallRNA.fastq.fastq	trimmed_19101-0014_SmallRNA.fastq.fastq	trimmed_19101-0015_SmallRNA.fastq.fastq	trimmed_19101-0016_SmallRNA.fastq.fastq	trimmed_19101-0017_SmallRNA.fastq.fastq	trimmed_19101-0018_SmallRNA.fastq.fastq	trimmed_19101-0019_SmallRNA.fastq.fastq	trimmed_19101-0020_SmallRNA.fastq.fastq	trimmed_19101-0021_SmallRNA.fastq.fastq	trimmed_19101-0022_SmallRNA.fastq.fastq	trimmed_19101-0023_SmallRNA.fastq.fastq	trimmed_19101-0024_SmallRNA.fastq.fastq	trimmed_19101-0025_SmallRNA.fastq.fastq	trimmed_19101-0026_SmallRNA.fastq.fastq	trimmed_19101-0027_SmallRNA.fastq.fastq	trimmed_19101-0028_SmallRNA.fastq.fastq	trimmed_19101-0029_SmallRNA.fastq.fastq	trimmed_19101-0030_SmallRNA.fastq.fastq	trimmed_19101-0031_SmallRNA.fastq.fastq	trimmed_19101-0032_SmallRNA.fastq.fastq	trimmed_19101-0033_SmallRNA.fastq.fastq	trimmed_19101-0034_SmallRNA.fastq.fastq	trimmed_19101-0035_SmallRNA.fastq.fastq	trimmed_19101-0036_SmallRNA.fastq.fastq	trimmed_19101-0037_SmallRNA.fastq.fastq	trimmed_19101-0038_SmallRNA.fastq.fastq	trimmed_19101-0039_SmallRNA.fastq.fastq	trimmed_19101-0040_SmallRNA.fastq.fastq	trimmed_19101-0041_SmallRNA.fastq.fastq	trimmed_19101-0042_SmallRNA.fastq.fastq	trimmed_19101-0043_SmallRNA.fastq.fastq	trimmed_19101-0044_SmallRNA.fastq.fastq	trimmed_19101-0045_SmallRNA.fastq.fastq	trimmed_19101-0046_SmallRNA.fastq.fastq	trimmed_19101-0047_SmallRNA.fastq.fastq	trimmed_19101-0048_SmallRNA.fastq.fastq	trimmed_19101-0049_SmallRNA.fastq.fastq	trimmed_19101-0050_SmallRNA.fastq.fastq	trimmed_19101-0051_SmallRNA.fastq.fastq	trimmed_19101-0052_SmallRNA.fastq.fastq	trimmed_19101-0053_SmallRNA.fastq.fastq	trimmed_19101-0054_SmallRNA.fastq.fastq
miRNA	2720293.86306459	4774565.50500101	3205988.92379385	4979847.66818879	5485401.42521156	5598932.67431271	5091790.66448109	5735623.58753801	4461742.48939629	5577097.86881548	5089972.19325548	6477157.46847762	4184285.67924941	5514705.94513725	3253228.63012531	5926617.37048804	5855368.65629657	5450951.07817051	2818532.25524733	3444489.6145021	2228379.84555874	4110532.96353019	5585061.62265599	4321876.14339797	3208229.52864512	1830334.6780012	1955998.58279343	3486070.80785454	5863354.12789085	5627115.64749186	4160493.61749065	4709031.57850783	3888748.97717521	5687614.80542259	19597663.5080207	6239936.66475808	2799384.28782896	2804337.37889784	3739070.95624644	4224072.02790699	6249617.81709398	6755231.35878688	6091756.05581224	5198853.73993504	7413828.04442806	8184577.59398548	8460180.39710567	5677694.65634874	4077588.45611361	6116733.79639505	3183332.87991294	6189878.84826987	4606651.33359928	4562023.1723913
misc_RNA	122378.590165736	268449.546648531	145411.44921765	577881.688034009	499872.364470906	545997.146481906	1173070.15687563	1405116.39962031	1158990.22929143	1688176.31671341	1315611.26240845	1467179.19526119	1227227.40894453	1395742.80305361	1044586.08880319	1273562.0424531	1143709.43740224	1254337.86299479	98105.4290179489	108707.753506603	72563.0222586212	286337.291521726	432447.577584095	387136.756173335	609821.68831312	321214.761945407	362467.345416031	553423.38261543	1034221.54947874	1303512.80307583	1521503.03863902	1537732.24388161	1574759.41876619	1128069.36011054	3176821.37939486	1199302.94377795	158221.968960691	142945.139803579	203816.399529041	681656.073338803	1002488.47994403	1070881.3080441	829992.456662627	637911.846951734	851344.220985666	1367260.08930914	1649859.01666087	824328.336517608	1510670.63843994	1890701.71081685	1032436.53294807	1259600.83597903	772091.239987809	758547.438185116
tRNA	438058.000000002	709454.000000005	501462.000000002	1043914	1153857	983770.999999995	514857.000000003	589039.000000005	521022.000000005	884660.999999996	728683.999999997	814196.999999996	851405.999999995	950601.999999997	620890	822140.999999997	806290.999999998	948926.999999995	481949.000000003	525188.000000004	475066.000000004	949396.999999997	1465486.99999999	1305181	382446.999999999	246035.999999999	253870.999999999	378542.000000003	672056.999999995	727067.999999996	944587	1022060	1138611	1073798	2785707.00000001	932080.999999995	674408.000000002	728001.999999999	835446.999999994	1189971	1573321.99999999	1793616.99999999	422710.000000001	386883.000000001	516274	877356.999999997	983684.999999996	437598.000000002	823525.999999995	1079752	615689.000000001	785445.999999997	556027.000000001	565636.000000002
retained_intron	513399.435129788	835628.035933642	493078.552468428	597400.638348742	679467.869502086	880169.472101489	644092.253046031	635647.641100148	495382.551802867	673447.385855791	440091.18806574	486979.177996003	613069.258922489	750249.054263865	524061.699607675	605613.424073367	684998.772644486	670036.599736945	539961.965297357	483153.605900266	460244.152267627	712684.571692297	816968.307253577	660367.438356534	474006.530361771	318853.886597761	445905.850772588	370208.422449337	640139.113273844	590621.974180285	659097.294340014	836816.70909677	639521.772673755	535121.2261601	1716359.64336307	465000.119223568	513188.108654101	526750.566554891	576097.645885416	593993.666816386	715084.66420716	826584.080482461	592980.009847723	496590.731047103	724540.636277934	616913.354129062	668209.987462129	419373.8232697	516141.685700989	803292.285827251	342885.564722655	444336.433279654	371620.751725235	472283.49144731
snoRNA	475123.43031062	789176.276924725	437590.403223758	542823.381471608	592381.247288637	770844.338152912	593449.950761149	607229.973871499	476144.436249116	666476.35072917	428777.619201736	472425.271828497	568815.217564065	700672.199574533	513207.355027433	626806.007048511	692349.916639108	705504.365460023	457666.456828738	441195.874548939	362980.633369818	597196.34771372	691712.407151899	557887.094516621	496916.555357948	304619.42229042	418184.554885043	384639.176993368	661591.013782798	598600.543604002	716160.54497768	897068.767673462	684488.601484207	555476.371964077	1839520.28349666	494496.933446375	468601.389335899	425403.573516352	497709.372861978	477526.961784367	631664.162342584	729139.094930113	579230.833882393	434457.421862282	626803.03666213	555914.76691412	603707.439123309	355721.33187927	534401.410553423	793715.790454474	347060.33484347	512510.720840497	357667.734456121	434219.986598168
protein_coding	149115.545214879	198246.006135069	112183.235816329	152508.095578154	148674.189131491	164550.226756835	240147.120096399	258356.176208819	213014.424028599	159766.996135912	126033.592004191	163941.163907418	312832.844982964	371873.605113046	110867.452570053	203026.688104767	172505.58265601	230820.955070038	160308.488309874	175044.369365829	129160.885832253	119560.251013619	156506.011670352	127058.124556432	142520.585727487	83280.5671683688	89617.2119451286	86757.2051830869	208246.283540099	151072.419410731	143874.724839157	167814.35685792	216725.662793954	191482.915383827	419427.742827203	177812.137663583	240837.965746078	224877.799209188	238291.156982921	171808.789741184	231558.795171175	255719.506146599	211061.594479438	134457.741468832	192810.835144403	178790.889582715	217498.873740262	84970.6490638109	129672.721765116	267458.746182875	66648.1404519817	102109.857625288	63897.3450428941	60683.9094296451
piRNA	31106	51891	31662	89195	77238	90936	181848	229026	183408	216542	179783	190659	119860	143747	93458	124085	111688	127175	33681	34808	25836	47565	63434	52113	156528	81975	96115	163026	250065	295709	136177	157792	123730	94028	306278	108462	43129	40523	52479	73374	113949	120475	180208	103877	135841	187210	235238	107475	110268	155281	73354	110772	70310	68654
snRNA	32925.9857927883	53762.1722960983	48791.7206638339	105964.128291108	121294.951728457	107983.672061654	243675.518032669	204814.726547743	155491.302401419	156951.747319461	156149.519055701	172824.103290926	164443.544097523	204060.720659478	129385.784688158	130790.937333797	117619.80965656	114598.943129821	68648.0095852101	76657.3748154991	57363.1070587996	134226.69978628	197515.10402798	153831.942771408	64371.1020866851	47263.9841231511	43694.6051169625	44427.3383874459	73485.095834995	85045.6322311083	73678.5100399959	72333.3372343483	108190.896865327	86448.2249354362	333613.777847045	87523.1344931401	80385.9660671401	130918.834843893	130744.199555048	130049.881415599	67510.5166711523	85561.3911875883	69334.070040944	80860.6356793523	129578.239104793	159915.311034843	206639.772372828	99044.3766502602	112698.234901502	158724.538179809	83921.5298718134	62906.9682857026	58414.8432303145	53005.4347640547
Mt_tRNA	37146.25	43822.1	30702.5	47657.5	50201.4166666667	63602.625	88094.9166666667	93472.95	72797.3666666667	70164.3333333333	59416	70763.25	127498.726190476	145479.766666667	59484.8428571429	111792.641666667	103987.102380952	120041.566666667	41694.25	43165.4166666667	29953.9166666667	36648.7261904762	46750.7166666667	42340.75	33999.5333333333	23927.1666666667	23940.5	35677.7	57024.4833333333	54534.25	55289.6166666667	70894.95	105711.85952381	122575.3	306164.316666667	112227.066666667	55060.2833333333	49954.5928571429	57232.8428571429	50954.5	40579.75	45621.5833333333	59411.2428571429	46125.3333333333	62945.0833333333	68597.0928571429	74560.8333333333	40436.75	60399.7	100997.625	37897.5	61823.8666666667	40769.7	35670.95
lincRNA	41573.400604232	65413.4281769016	37057.4983727743	50107.7868707366	51542.8223188128	54634.0374627759	50081.9155750058	53256.579729697	42568.437824252	40157.9283630562	30833.3891958362	37140.2023084358	56694.7002339529	69364.8322351162	38753.4510096734	54941.7880646919	45534.3848981196	54675.7654095207	41219.7493219617	39692.6136323579	32067.1827708073	41258.5978804075	54292.2767110522	41031.5900475385	39321.7901230885	23007.8191465873	25685.5205204281	21579.0514880474	44745.5895892365	37315.9441613	47252.7293882278	51471.8481335582	49383.8752719126	42717.1391656217	140686.362252608	45530.1911871634	45916.6512957182	42532.9863980864	50399.1257346932	34891.9200376297	53414.841503333	57063.5674789717	48914.9991315897	34937.8883550093	47684.1505441696	37414.390040068	43956.2888106239	19609.9719380874	45311.9957587161	66057.8456517906	27609.6992624871	43556.3708208546	27401.0816009442	29130.0372371518
