	trimmed_19101-0001_SmallRNA.fastq.fastq	trimmed_19101-0002_SmallRNA.fastq.fastq	trimmed_19101-0003_SmallRNA.fastq.fastq	trimmed_19101-0004_SmallRNA.fastq.fastq	trimmed_19101-0005_SmallRNA.fastq.fastq	trimmed_19101-0006_SmallRNA.fastq.fastq	trimmed_19101-0007_SmallRNA.fastq.fastq	trimmed_19101-0008_SmallRNA.fastq.fastq	trimmed_19101-0009_SmallRNA.fastq.fastq	trimmed_19101-0010_SmallRNA.fastq.fastq	trimmed_19101-0011_SmallRNA.fastq.fastq	trimmed_19101-0012_SmallRNA.fastq.fastq	trimmed_19101-0013_SmallRNA.fastq.fastq	trimmed_19101-0014_SmallRNA.fastq.fastq	trimmed_19101-0015_SmallRNA.fastq.fastq	trimmed_19101-0016_SmallRNA.fastq.fastq	trimmed_19101-0017_SmallRNA.fastq.fastq	trimmed_19101-0018_SmallRNA.fastq.fastq	trimmed_19101-0019_SmallRNA.fastq.fastq	trimmed_19101-0020_SmallRNA.fastq.fastq	trimmed_19101-0021_SmallRNA.fastq.fastq	trimmed_19101-0022_SmallRNA.fastq.fastq	trimmed_19101-0023_SmallRNA.fastq.fastq	trimmed_19101-0024_SmallRNA.fastq.fastq	trimmed_19101-0025_SmallRNA.fastq.fastq	trimmed_19101-0026_SmallRNA.fastq.fastq	trimmed_19101-0027_SmallRNA.fastq.fastq	trimmed_19101-0028_SmallRNA.fastq.fastq	trimmed_19101-0029_SmallRNA.fastq.fastq	trimmed_19101-0030_SmallRNA.fastq.fastq	trimmed_19101-0031_SmallRNA.fastq.fastq	trimmed_19101-0032_SmallRNA.fastq.fastq	trimmed_19101-0033_SmallRNA.fastq.fastq	trimmed_19101-0034_SmallRNA.fastq.fastq	trimmed_19101-0035_SmallRNA.fastq.fastq	trimmed_19101-0036_SmallRNA.fastq.fastq	trimmed_19101-0037_SmallRNA.fastq.fastq	trimmed_19101-0038_SmallRNA.fastq.fastq	trimmed_19101-0039_SmallRNA.fastq.fastq	trimmed_19101-0040_SmallRNA.fastq.fastq	trimmed_19101-0041_SmallRNA.fastq.fastq	trimmed_19101-0042_SmallRNA.fastq.fastq	trimmed_19101-0043_SmallRNA.fastq.fastq	trimmed_19101-0044_SmallRNA.fastq.fastq	trimmed_19101-0045_SmallRNA.fastq.fastq	trimmed_19101-0046_SmallRNA.fastq.fastq	trimmed_19101-0047_SmallRNA.fastq.fastq	trimmed_19101-0048_SmallRNA.fastq.fastq	trimmed_19101-0049_SmallRNA.fastq.fastq	trimmed_19101-0050_SmallRNA.fastq.fastq	trimmed_19101-0051_SmallRNA.fastq.fastq	trimmed_19101-0052_SmallRNA.fastq.fastq	trimmed_19101-0053_SmallRNA.fastq.fastq	trimmed_19101-0054_SmallRNA.fastq.fastq
hsa-miR-302b-3p	113335.996840513	112664.737616094	120504.596421176	79654.7762948707	60963.2287027835	72228.6190864262	5607.56939854289	5674.68095498548	6971.86248700175	577.651178220039	608.941809757058	584.326014326421	445.253381753734	459.928052748595	960.581012655527	663.474476977816	548.892231496245	735.834861243712	100539.640302265	158000.207358789	79447.6178681396	64753.9139667702	73082.5300071633	87540.6675827822	27120.1629504778	20914.8207839246	22487.4519991558	1710.64816510465	1395.81294173109	1286.49868191067	669.806921517023	645.311430870868	910.464145973051	438.259305925535	380.555652360433	461.507666250288	94789.4944213348	43760.6739619815	80412.5256034993	53074.7868729069	86377.3852934411	65608.2358382258	12889.0902751144	5959.78642651866	5181.38506688179	391.357173009944	401.753107874249	386.236181083907	300.652565660467	300.58208734472	292.760642076286	239.724345437576	255.212730301719	347.390821279353
hsa-miR-302a-5p	64031.8660445382	67744.5997332934	59500.8375919761	63526.0736839918	73754.6775082218	60885.3594691099	9031.14470783619	8124.50765168203	8879.39496969312	635.434495512056	644.997931517225	656.311118637797	398.370663984304	410.081388209669	737.209531007894	446.369440373016	469.506893080727	716.868347071584	59727.1645518837	56379.6158346604	69456.6631950591	78204.7120664768	82376.3781330922	71302.7414578267	10954.7178251979	9081.45639150019	10958.9504065755	1009.28613309646	1111.65401762019	971.998311915749	509.129903564227	468.913425965149	532.371927150906	396.93785263113	295.210563697255	417.001359388926	29609.2012501921	44281.5601913322	42663.9562514094	62706.7753529062	59363.5032045981	64574.7240914692	6590.12176725215	8746.78099652594	7416.10171302492	497.423573715743	556.597523341085	633.544378244603	293.788887576121	291.245262887842	284.331210521487	180.581531192551	219.008452601744	292.795057748837
hsa-miR-148a-3p	46331.7838971747	55060.8768893497	57983.4852693692	25877.0094717471	31333.80652059	39740.2126185003	25613.9006673758	21268.4559929712	18985.1753531977	14721.1873043045	15965.2169575465	16392.496211957	25522.8456040327	28731.332602154	30705.6206553659	30384.402149442	31836.1459965615	24245.8881020845	63414.2154799919	45425.4379975099	65754.9504017742	38195.8928031867	34537.6029441835	38492.1588469666	21774.5778365698	20452.9234625494	30499.3589873577	20737.661086876	12352.3967174074	12088.625548079	21314.9150207446	32928.8512268307	25067.6966771562	38950.0475463147	43590.8783463742	35183.4035140797	45303.602046641	73129.0620247147	64481.9378532618	44857.7455284566	23363.2139716386	28831.109816396	11657.6829848495	23652.6495223726	24388.3341747537	19740.2735085419	18113.4622191092	27326.5609354874	38038.7385991081	35610.1445022125	51591.5253088819	50468.0894249128	71228.3508018973	66285.9971437653
hsa-miR-92a-3p	43855.1812423654	42485.7204448555	48454.7118805691	94523.6484050318	110718.828354553	85062.3689778199	123484.560547352	123874.634025402	116711.124403798	57134.4151886953	60336.9105705163	64793.4304543909	29064.3714018176	31001.9051395187	32133.6368285909	18056.9851062603	23859.0021212993	22727.4374488598	49733.1058817502	38266.1767139325	54536.8642563403	86164.9501351749	72822.6067993593	64989.9747987387	57093.0399008891	64478.1611925872	52845.465258016	45801.1754090889	51729.3383025391	51333.3034612664	23547.1485495437	18549.1776095095	22467.0759834432	18058.831479681	18959.9697788808	14824.4310286012	44780.4450377993	67082.5604673521	51408.2562145108	80209.6387418843	78243.3330006842	85792.164909124	101672.084320845	164642.114687611	164506.979447975	63777.8280011045	47411.4178797179	36109.396131435	29443.7710478795	35422.3470102958	33754.9291911539	17593.304775966	24184.4575035834	22848.3270375206
hsa-miR-372-3p	18431.5167637646	19824.6204630159	18958.2694777886	2115.24413918078	1703.8096296092	1894.23070372916	381.084323338722	428.530603258437	449.865940399852	58.6932907926788	51.8340637634892	58.6247404447705	44.2869514748508	44.5201923853381	61.9674941218159	83.1663586138953	63.1021832784354	69.0889399619935	4666.57196909843	5486.15902206882	3825.76182707728	295.260709247304	351.266525278743	411.270958783104	162.984031857827	154.612838189985	173.039616609099	8.75839970342466	11.3246185329868	8.62415321595611	4.37961207367077	3.38112276653898	8.13737219631014	3.58474506891672	2.97572739048464	4.29801983685651	930.108482741002	529.60920448336	919.330446493588	82.5658143761461	112.288605767511	85.7089433728971	25.3057155067282	19.9143987230275	23.2893123592624	2.27827591014844	1.68474467904982	1.75561900492685	1.40793396601975	1.83022979410392	1.62104452976902	1.46655277091947	0.822824493181253	1.88726096154868
hsa-miR-302d-3p	13144.8434153789	13043.0060820453	12221.3220866182	9720.37419016474	6991.13823902269	7815.95370164213	1041.85702004812	1170.9640040001	1586.21440324162	101.143554598547	105.077840558203	99.0632999741283	62.9340889379459	67.535109498168	114.273780728943	73.1418421738275	68.7255427485725	94.7855075500375	9611.6368452492	12469.0448920471	7309.28547417047	6827.43166336743	8002.39425506974	8668.2586392325	5082.27190167627	4501.79767288907	3752.64647720932	410.185052777055	370.014263802048	347.122166942233	148.359358995597	141.089422872291	139.761106226369	66.1724562721655	53.2256394071222	65.9029708317998	8638.79580325232	4728.70924267753	7307.27652347771	5988.49052880427	9787.42652891973	8650.14786687899	2821.12884212507	1065.43997112844	859.422928124897	61.7286200766331	58.381082975407	48.5721258029762	39.3048232180513	43.1562880435809	38.5808598085028	29.6651035495433	31.8158804030085	45.6986761403572
hsa-miR-21-5p	11930.6996155334	14375.6707908354	14086.934786059	19396.1206129156	19563.6152301681	21079.0867536688	9226.16725322776	9855.21253180296	8645.68522526829	24240.5110920765	25076.409157279	26109.8150416249	20960.653904255	33741.6914511404	32369.5787897777	22800.5770037407	25325.8661464686	21079.6568181042	13835.3812514117	12660.6846261598	13815.8847537627	18247.8596227533	19326.7837978573	16618.0418263104	15005.9294508593	13421.3670846674	13480.8676314527	32971.5530362505	35500.5614893181	36746.954408414	70917.4159544231	77978.6411576732	63813.3770887487	52064.7404959446	61931.7281012233	59354.8130300638	10957.2071183395	13909.251151277	12942.9937362618	19019.5472931647	16698.4401254197	17498.1985842105	8708.28350506532	10101.3136197283	9321.15076916502	21738.2455392117	24620.1567626845	20717.1235470058	32108.1687507414	40223.9150875232	38727.4022339939	24853.6698087723	24285.2535039981	20328.4966429672
hsa-miR-26a-5p	10192.5934609428	10193.363842367	9513.7532795244	10889.3110504803	9119.04412197793	9780.65896604923	14139.6882961805	18149.9608374398	21112.0240456608	31587.5461390689	27468.8006107311	25948.418271437	17232.9216059508	19204.9086716533	21717.9338582824	28426.6048067371	23912.8721601162	29191.3007800179	8782.58957486225	11752.4944259421	8247.52935674363	9640.95736912075	10875.1412319772	10680.5397039259	26529.8331093845	25750.5890134779	24167.4158290693	43470.4060043767	43826.2276876243	44305.0872942413	32501.7581405218	28570.4873772544	27803.9924034501	25122.3778679777	26958.7403433045	38580.3808662248	11207.4126443072	7729.02326978231	11734.9458698735	9148.90221778531	13120.0021614385	10769.9043918869	24885.8790164915	14422.0311225523	15083.5860933255	20528.9366861049	24764.3779269806	18174.9872278717	29227.6531840955	30871.9182909028	21958.6692002512	44936.5945686511	23017.6238035446	24075.5858799449
hsa-miR-363-3p	9807.01460450538	10398.9315065838	11590.0625029317	18469.0716840431	13673.3472058715	17242.7609069074	28456.6789684244	40345.2325452185	39736.6202577851	21239.9644709946	20933.6963163656	17969.4659831284	4618.66286039037	5453.59539006653	6378.72437731396	4362.89232174948	3410.94425992846	5197.38964289019	7078.86499974551	9171.27570489452	5362.82916533333	8325.72105188994	9966.02878428304	10918.2467718464	37354.5782007303	38679.5756440751	33673.3291425301	29717.8871682438	27579.5892809447	29553.9419223275	6802.08500191991	5649.46972885617	5295.1341435374	1923.07040197103	2159.54979023883	3216.32036617634	15409.9989679215	8389.63286866876	14523.2889103162	11798.3063115465	18773.670992511	14548.6311905079	53281.3673741662	22203.3762093873	22670.1004629147	12264.4908220414	13361.5696541542	9189.9632431901	8282.40621077217	7914.86853220663	6209.24896682727	7213.28868885978	2789.51216929998	3247.43689740769
hsa-miR-302a-3p	9252.7597106346	9497.94500059545	10157.3823649673	6419.65935823743	4416.56713331778	5120.02351751402	739.649264822729	862.062983274149	993.997811657627	67.7323608992516	71.7327053965441	65.8187825267889	51.2266532011732	47.3828151202878	86.8417699312772	58.1978871103932	50.3802247592536	59.2840835868242	8380.40212756827	11450.4280253121	5809.49395395058	5044.26106421447	5844.31270137521	6842.69351179007	4014.84491918869	3382.5398076862	3343.87417977044	305.588527834035	219.310905248574	212.62756013144	104.946454315336	101.916700534246	100.882550177332	48.8058196882919	39.6303488035163	53.8186831745511	7395.33726451552	3592.15231311493	5954.49368638633	4887.83085554196	6970.44404599429	5768.87756652742	1854.3924410972	708.237718688182	589.703753268851	43.4264702651073	49.1383864722864	43.8709682453388	28.2760071508966	30.9547560828881	25.2882946643968	22.6826828568878	22.6276735624845	33.9706973078762
