	trimmed_19101-0001_SmallRNA.fastq.fastq	trimmed_19101-0002_SmallRNA.fastq.fastq	trimmed_19101-0003_SmallRNA.fastq.fastq	trimmed_19101-0004_SmallRNA.fastq.fastq	trimmed_19101-0005_SmallRNA.fastq.fastq	trimmed_19101-0006_SmallRNA.fastq.fastq	trimmed_19101-0007_SmallRNA.fastq.fastq	trimmed_19101-0008_SmallRNA.fastq.fastq	trimmed_19101-0009_SmallRNA.fastq.fastq	trimmed_19101-0010_SmallRNA.fastq.fastq	trimmed_19101-0011_SmallRNA.fastq.fastq	trimmed_19101-0012_SmallRNA.fastq.fastq	trimmed_19101-0013_SmallRNA.fastq.fastq	trimmed_19101-0014_SmallRNA.fastq.fastq	trimmed_19101-0015_SmallRNA.fastq.fastq	trimmed_19101-0016_SmallRNA.fastq.fastq	trimmed_19101-0017_SmallRNA.fastq.fastq	trimmed_19101-0018_SmallRNA.fastq.fastq	trimmed_19101-0019_SmallRNA.fastq.fastq	trimmed_19101-0020_SmallRNA.fastq.fastq	trimmed_19101-0021_SmallRNA.fastq.fastq	trimmed_19101-0022_SmallRNA.fastq.fastq	trimmed_19101-0023_SmallRNA.fastq.fastq	trimmed_19101-0024_SmallRNA.fastq.fastq	trimmed_19101-0025_SmallRNA.fastq.fastq	trimmed_19101-0026_SmallRNA.fastq.fastq	trimmed_19101-0027_SmallRNA.fastq.fastq	trimmed_19101-0028_SmallRNA.fastq.fastq	trimmed_19101-0029_SmallRNA.fastq.fastq	trimmed_19101-0030_SmallRNA.fastq.fastq	trimmed_19101-0031_SmallRNA.fastq.fastq	trimmed_19101-0032_SmallRNA.fastq.fastq	trimmed_19101-0033_SmallRNA.fastq.fastq	trimmed_19101-0034_SmallRNA.fastq.fastq	trimmed_19101-0035_SmallRNA.fastq.fastq	trimmed_19101-0036_SmallRNA.fastq.fastq	trimmed_19101-0037_SmallRNA.fastq.fastq	trimmed_19101-0038_SmallRNA.fastq.fastq	trimmed_19101-0039_SmallRNA.fastq.fastq	trimmed_19101-0040_SmallRNA.fastq.fastq	trimmed_19101-0041_SmallRNA.fastq.fastq	trimmed_19101-0042_SmallRNA.fastq.fastq	trimmed_19101-0043_SmallRNA.fastq.fastq	trimmed_19101-0044_SmallRNA.fastq.fastq	trimmed_19101-0045_SmallRNA.fastq.fastq	trimmed_19101-0046_SmallRNA.fastq.fastq	trimmed_19101-0047_SmallRNA.fastq.fastq	trimmed_19101-0048_SmallRNA.fastq.fastq	trimmed_19101-0049_SmallRNA.fastq.fastq	trimmed_19101-0050_SmallRNA.fastq.fastq	trimmed_19101-0051_SmallRNA.fastq.fastq	trimmed_19101-0052_SmallRNA.fastq.fastq	trimmed_19101-0053_SmallRNA.fastq.fastq	trimmed_19101-0054_SmallRNA.fastq.fastq
hsa_piR_016658|gb|DQ592931|Homo_sapiens:6:80508363:80508389:Plus	4588	8740	4472	27115	17920.5	21575	58169.5	81242	69759.5	79966	64509	64950.5	23269	25796.5	21411	29188	23992	32112	2829	3914.5	1911	4849.5	7958	5996	71722.5	36350.5	41640.5	72802.5	115597	140619.5	50176	53848	29930.5	14223	43894.5	18825	4844	2939.5	5109	11885	33295.5	29774.5	72294	26977.5	33648.5	51890.5	73483.5	25824	24636	33453.5	11971	22867	8967	9275
hsa_piR_020828|gb|DQ598675|Homo_sapiens:2:149355860:149355890:Minus	4355	4698	3255	4201	4816	6142	3845	4529	3573	3097	2572	3456	9507	12090	3516	12374	10300	12212	5297	5475	3294	3602	4698	4673	2771	1941	2420	4342	5083	3922	3653	5872	9275	11074	29371	13249	6915	4953	8106	3128	5323	5264	7370	4020	4650	2721	3068	1532	3857	7299	1437	4799	2221	1666
hsa_piR_016659|gb|DQ592932|Homo_sapiens:14:22388242:22388267:Plus	2888	5323	2943	22211	14020.5	17317	51061.5	71271	58954.5	65094	53091	52289.5	16047	16282.5	14485	18061	14716	19832	1716	2203.5	1220	2845.5	4507	3367	50818.5	25778.5	33140.5	54665.5	79524	100052.5	29871	33670	19221.5	6804	23891.5	9877	2264	1510.5	2447	8593	23879.5	21147.5	52422	22157.5	27836.5	42178.5	58456.5	20658	16313	21971.5	7987	12483	5040	5864
hsa_piR_012681|gb|DQ587153|Homo_sapiens:20:2585585:2585613:Plus	1874	4154	2471	3173	3961	4021	4292	4379	3070	3862	3027	4020	5089	7216	4811	5996	4230	5665	2262	2168	1872	4247	5245	4779	2468	1289	1248	1572	3095	3119	4781	7369	5831	4736	15400	5326	2389	2518	3503	5407	5581	7248	3920	4180	5917	5317	5966	2765	5980	7348	3897	6245	3494	3570
hsa_piR_000552|gb|DQ570687|Homo_sapiens:22:38045003:38045030:Minus	1667	2301	1223	1267	1704	2599	3010	2934	1790	2421	1908	2703	7125	7734	2775	3737	3826	3533	2615	1766	2024	3122	2646	2383	1594	969	1240	1912	1954	1922	2512	3656	8557	5323	13181	4880	3204	3595	3606	4081	2128	3655	2909	3221	5183	3936	3890	3062	3170	6783	2769	3534	3340	3233
hsa_piR_014620|gb|DQ590013|Homo_sapiens:5:93930930:93930956:Minus	1292	1655	1219	2599	2027	3904	6910	7773	4588	3885	3865	4577	4749	5011	2550	3301	3196	3143	1486	1622	1205	1152	1314	1096	1811	1161	1355	1343	2357	2303	2391	3071	2864	2803	8001	2547	2146	2472	3035	2094	1581	2326	2653	2459	3647	4335	5348	3509	2690	3956	1640	1668	1314	1118
hsa_piR_018780|gb|DQ595807|Homo_sapiens:17:72068837:72068864:Plus	1240	2279	1830	3420	4608	6614	7885	7394	4316	6899	6766	8292	13802	19697	11734	16019	14481	12470	2539	2113	2335	4642	5564	4606	2586	1344	1763	2667	4737	5141	8708	10146	10233	14663	55048	16667	2116	3046	2589	5884	4666	6018	4636	7435	9463	13372	13222	12096	13186	17278	13630	18598	17590	15817
hsa_piR_018292|gb|DQ595186|Homo_sapiens:18:45269646:45269676:Minus	1226	2701	1705.5	3364.5	4005	4198	9765.5	9330.5	6476.5	8974	7841	9311	2849.5	3119.5	2162	1511	1789	1767.5	1557	1446	1336	3451.5	4349.5	3445	2189	1207	1575.5	3415.5	5209.5	5395	1188.5	1523	1388	1004	4188.5	1244	1778	2068.5	2161	4871.5	4488.5	5909	3789.5	5055.5	7523.5	13892	14988.5	9185.5	1938	2792	1632.5	1413	1265	1557
hsa_piR_017791|gb|DQ594556|Homo_sapiens:11:74789084:74789113:Plus	1198	2743	1630	3082	3533	3892	6761	6968	4766	4844	3961	4653	2200	2956	2214	2174	1992	2046	1303	1086	1038	3546	4693	4131	2650	1390	1864	2825	3836	4079	2042	2958	2446	1727	5873	1817	1520	1546	1908	5625	6009	7875	4430	5479	6991	7568	9430	5807	3361	4016	2418	2740	1866	2260
hsa_piR_016735|gb|DQ593039|Homo_sapiens:6:4373286:4373316:Plus	1160	1470	705	686	997	1649	1278	1418	1126	958	579	754	701	965	560	528	565	523	1360	1222	1257	1611	2067	1437	768	408	423	387	1074	770	203	269	367	557	1124	324	1167	2572	2977	1554	468	678	427	579	970	1132	1731	758	359	631	238	168	205	165
