	trimmed_19101-0001_SmallRNA.fastq.fastq	trimmed_19101-0002_SmallRNA.fastq.fastq	trimmed_19101-0003_SmallRNA.fastq.fastq	trimmed_19101-0004_SmallRNA.fastq.fastq	trimmed_19101-0005_SmallRNA.fastq.fastq	trimmed_19101-0006_SmallRNA.fastq.fastq	trimmed_19101-0007_SmallRNA.fastq.fastq	trimmed_19101-0008_SmallRNA.fastq.fastq	trimmed_19101-0009_SmallRNA.fastq.fastq	trimmed_19101-0010_SmallRNA.fastq.fastq	trimmed_19101-0011_SmallRNA.fastq.fastq	trimmed_19101-0012_SmallRNA.fastq.fastq	trimmed_19101-0013_SmallRNA.fastq.fastq	trimmed_19101-0014_SmallRNA.fastq.fastq	trimmed_19101-0015_SmallRNA.fastq.fastq	trimmed_19101-0016_SmallRNA.fastq.fastq	trimmed_19101-0017_SmallRNA.fastq.fastq	trimmed_19101-0018_SmallRNA.fastq.fastq	trimmed_19101-0019_SmallRNA.fastq.fastq	trimmed_19101-0020_SmallRNA.fastq.fastq	trimmed_19101-0021_SmallRNA.fastq.fastq	trimmed_19101-0022_SmallRNA.fastq.fastq	trimmed_19101-0023_SmallRNA.fastq.fastq	trimmed_19101-0024_SmallRNA.fastq.fastq	trimmed_19101-0025_SmallRNA.fastq.fastq	trimmed_19101-0026_SmallRNA.fastq.fastq	trimmed_19101-0027_SmallRNA.fastq.fastq	trimmed_19101-0028_SmallRNA.fastq.fastq	trimmed_19101-0029_SmallRNA.fastq.fastq	trimmed_19101-0030_SmallRNA.fastq.fastq	trimmed_19101-0031_SmallRNA.fastq.fastq	trimmed_19101-0032_SmallRNA.fastq.fastq	trimmed_19101-0033_SmallRNA.fastq.fastq	trimmed_19101-0034_SmallRNA.fastq.fastq	trimmed_19101-0035_SmallRNA.fastq.fastq	trimmed_19101-0036_SmallRNA.fastq.fastq	trimmed_19101-0037_SmallRNA.fastq.fastq	trimmed_19101-0038_SmallRNA.fastq.fastq	trimmed_19101-0039_SmallRNA.fastq.fastq	trimmed_19101-0040_SmallRNA.fastq.fastq	trimmed_19101-0041_SmallRNA.fastq.fastq	trimmed_19101-0042_SmallRNA.fastq.fastq	trimmed_19101-0043_SmallRNA.fastq.fastq	trimmed_19101-0044_SmallRNA.fastq.fastq	trimmed_19101-0045_SmallRNA.fastq.fastq	trimmed_19101-0046_SmallRNA.fastq.fastq	trimmed_19101-0047_SmallRNA.fastq.fastq	trimmed_19101-0048_SmallRNA.fastq.fastq	trimmed_19101-0049_SmallRNA.fastq.fastq	trimmed_19101-0050_SmallRNA.fastq.fastq	trimmed_19101-0051_SmallRNA.fastq.fastq	trimmed_19101-0052_SmallRNA.fastq.fastq	trimmed_19101-0053_SmallRNA.fastq.fastq	trimmed_19101-0054_SmallRNA.fastq.fastq
hsa_piR_016658|gb|DQ592931|Homo_sapiens:6:80508363:80508389:Plus	809.998073871189	910.624118223599	718.394959154941	2761.69322197067	1670.11926853799	1933.8488351373	5856.66698717352	7321.69995161344	7849.53053259716	7276.69409539125	6995.32137932829	5804.43018941779	2465.34228198159	2204.3476830487	3114.52116582676	2709.21838752497	2283.48051465493	3022.59406002662	470.549333496559	577.315774399537	389.257312934974	566.627150571745	683.132699943361	646.390738889512	10617.2772251798	9305.05624937924	9382.10436902501	11593.3344437923	10643.023809412	13181.7838385993	5493.78538521261	5201.90567807403	3122.50792976488	1377.99538149196	1346.57799939823	1758.9179006266	749.533437098222	457.878310758481	640.772067003512	1294.58404203232	2599.93412610026	2116.03725908485	6628.44709001234	3178.93900325724	2808.78289218868	3940.69587051859	5158.37231762323	3022.47367888207	2890.48843223854	2662.06923552416	1940.5524065865	2235.71081417437	1229.71120505938	1250.310387026
hsa_piR_020828|gb|DQ598675|Homo_sapiens:2:149355860:149355890:Minus	768.862600634051	489.48651114582	522.892574250745	427.87657110451	448.832030204457	550.53068576655	387.125290155187	408.163007814397	402.043773148742	281.818793154925	278.90630125459	308.852291123669	1007.26327194116	1033.10772732963	511.450021906818	1148.54968916109	980.320494370867	1149.47429811426	881.053311958739	807.460432963971	670.964724650865	420.866274122987	403.286934447589	503.766498137207	410.198685084504	496.860130673446	545.255041919298	691.435845677634	467.992162627415	367.651401228042	399.968072627983	567.255796717625	967.61701436893	1072.90451062659	901.031847277571	1237.92314822852	1069.98838099385	771.515997001789	1016.65656197504	340.72014164721	415.655249304912	374.106034755332	675.735953929661	473.703448914618	388.155205987707	206.639625050464	215.366528138535	179.307221036529	452.533442244847	580.819446398458	232.944098927809	469.199116509503	304.582199892594	224.584054424292
hsa_piR_016659|gb|DQ592932|Homo_sapiens:14:22388242:22388267:Plus	509.868011625979	554.605512735037	472.771995705052	2262.2153108313	1306.65479225116	1552.18819365343	5141.01378498286	6423.09245527488	6633.72225695424	5923.38150520719	5757.15958005733	4672.95482543724	1700.17394812663	1391.36282632297	2107.04026374296	1676.41473540799	1400.621009239	1866.71915167065	285.423349692505	324.975171513445	248.505453574394	332.475009166285	386.891062910873	362.974919586556	7522.80111077837	6598.81961801414	7466.95236228367	8705.13270886474	7321.78019688816	9379.00097434183	3270.58480631549	3252.6401014105	2005.28845732532	659.205552673227	732.933927317153	922.859607144169	350.318683235007	235.286677462387	306.903356421529	936.000056641456	1864.67020961425	1502.92693198867	4806.43557352791	2610.96621127504	2323.63062182297	3203.1420158732	4103.51155545316	2417.83849358526	1913.96889897335	1748.3866922241	1294.72826592652	1220.46521595918	691.172574272253	790.492734180102
hsa_piR_012681|gb|DQ587153|Homo_sapiens:20:2585585:2585613:Plus	330.849256851484	432.806932162567	396.948556366695	323.173615833042	369.149433480036	360.417435276343	432.130492937858	394.644692254194	345.444831672723	351.431765955544	328.246257347451	359.25526918899	539.177741759607	616.617482250671	699.82538549309	556.546301617094	402.597639921239	533.227309107212	376.239870049211	319.739583317971	381.313286140382	496.229613048397	450.242650314517	515.193685982818	365.344768960143	329.96017951472	281.189376989787	250.330987886974	284.956864712148	292.377542180077	523.473133105499	711.871247617878	608.320734316467	458.847368821341	472.435070241892	497.635948936908	369.660483325279	392.222346143853	439.347142437523	588.962214158076	435.801605555272	515.106485544576	359.414510095559	492.557317528135	493.917065339627	403.786433808642	418.799448133801	323.619103241516	701.620426399841	584.718631611984	631.721053250989	610.57480362614	479.15812986255	481.251545194912
hsa_piR_000552|gb|DQ570687|Homo_sapiens:22:38045003:38045030:Minus	294.304008095744	239.742116250858	196.466242183921	129.045373860846	158.806017331477	232.95819803114	303.055168626037	264.418252357572	201.415716187027	220.304584510194	206.902497198195	241.558953387522	754.891218321321	660.881320361237	403.661493399153	346.866832745677	364.146234122615	332.549352705345	434.954580096678	260.452077555137	412.274621339815	364.78192887617	227.13861825209	256.896119208424	235.964166013966	248.04609305645	279.386880983442	304.473822417236	179.904915556555	180.169809576822	275.039638226524	353.1824238419	892.71146004905	515.718864914695	404.36147148431	455.963843562169	495.769019913853	559.983850034611	452.265428384158	444.526501938064	166.168395739405	259.75637481587	266.718573945914	379.551942525867	432.646974760062	298.909799411476	273.069033395992	358.380359539068	371.929222690217	539.758638843779	448.867230293043	345.519832828627	458.038967870898	435.822477763348
hsa_piR_014620|gb|DQ590013|Homo_sapiens:5:93930930:93930956:Minus	228.098847306359	172.435116208245	195.823670664104	264.711070769013	188.908331649592	349.930282844775	695.718011696319	700.519112329722	516.25436081904	353.524705007066	419.118528129468	409.032678377614	503.154862569537	428.19709029353	370.932183123546	306.397488598737	304.184883496048	295.839970436711	247.167306318801	239.214762058002	245.450058653398	134.60242859236	112.796728791854	118.152810177269	268.087267660785	297.194544931412	305.297761074648	213.864196394533	217.009153514227	215.88505278638	261.79131170367	296.669371886892	298.787615002977	271.568660220907	245.451493312037	237.979489662468	332.060023949791	385.057045142019	380.650464544071	228.090785361016	123.454997022556	165.305972044244	243.246605939673	289.760393253992	304.430545427348	329.21086901645	375.417272648268	410.697805885888	315.611864049427	314.799524585875	265.85130288212	163.080668126245	180.198564006695	150.711268215101
hsa_piR_018780|gb|DQ595807|Homo_sapiens:17:72068837:72068864:Plus	218.918398343565	237.449927394918	293.976470316087	348.33084341286	429.447258135826	592.837830618685	793.883722463889	666.362835014276	485.648173778329	627.790718106498	733.701413020435	741.031017939081	1462.31699582749	1683.13671672554	1706.86989677321	1486.87711901338	1378.25447368782	1173.75896638428	422.313452721019	311.628108648926	475.623142701812	542.38235549109	477.626331048613	496.543652989509	382.812630685141	344.039163124736	397.225057398232	424.70276380061	436.135918624053	481.92143133946	953.441548438126	980.139188265842	1067.56063698515	1420.62478231151	1688.74063290102	1557.28470914973	327.417991928125	474.467540251857	324.713032192619	640.919857241746	364.352318853413	427.691891557292	425.062670613014	876.115707134375	789.916712744446	1015.5035156835	928.153922766531	1415.73116557301	1547.0847729947	1374.90045141424	2209.48369407518	1818.32989557069	2412.24713917637	2132.20047348681
hsa_piR_018292|gb|DQ595186|Homo_sapiens:18:45269646:45269676:Minus	216.446739007428	281.418277267957	273.976431761796	342.678106041686	373.250058340708	376.282614595893	983.217690769956	840.884288896497	728.753567533677	816.610219493798	850.273836756315	832.095972989723	301.90351250619	266.565720050023	314.492305848277	140.250410564281	170.271200430047	166.368802973874	258.97678057764	213.25804311706	272.133840963435	403.281495040391	373.370907062535	371.383604982383	324.043638271375	308.969694859789	354.979057249526	543.896621582672	479.63902640321	505.731593479165	130.129223738943	147.127142098253	144.803494980493	97.2725418700646	128.493135825205	116.233406022815	275.11776448403	322.204893962891	271.033164375531	530.632407299994	350.491938099774	419.945395016956	347.449307654878	595.723329847724	628.018428440541	1054.99363145941	1052.15815091409	1075.08255798371	227.381335512189	222.173981962528	264.635519484793	138.149271020614	173.478830645714	209.890379795092
hsa_piR_017791|gb|DQ594556|Homo_sapiens:11:74789084:74789113:Plus	211.503420335153	285.794274174752	261.847894325258	313.905163566794	329.261537108046	348.854677467179	680.716277435428	627.970818823299	536.283409691269	440.791163720521	429.528716667742	415.824569038898	233.089218288689	252.59441207497	322.056413111973	201.789803154697	189.592080076385	192.583066978527	216.728802243201	160.164754374223	211.433328532968	414.323100510858	402.857723150816	445.336915002097	392.286725180056	355.814313053112	419.981569478335	449.863257494085	353.180786118191	382.368706172663	223.579196360893	285.753175526351	255.179646053521	167.320398216735	180.169556333158	169.771783555832	235.196289097708	240.816420626845	239.301840642533	612.708055231955	469.222692668272	559.66660784541	406.175071357992	645.627163334128	583.56839678711	574.733069600114	661.964263476659	679.658637440682	394.338838316031	319.574037092233	391.96856729815	267.890306154623	255.89841737937	304.657840935715
hsa_piR_016735|gb|DQ593039|Homo_sapiens:6:4373286:4373316:Plus	204.794630708496	153.159891737837	113.253230367673	69.8698709301819	92.916431502044	147.806105638072	128.672593190723	127.793143095786	126.700612528823	87.1754613633896	62.7864496214649	67.382704718532	74.2707009183503	82.4606250515379	81.4596166859551	49.0087470403311	53.7748620698582	49.2282228884504	226.209647774945	180.222219010406	256.04209437952	188.233083734629	177.435950085817	154.913857869284	113.689133938975	104.440460234295	95.3069763354806	61.6272851859153	98.8832545075434	72.1804127857196	22.2265312738792	25.9863435485424	38.2873794364849	53.9649460374761	34.4816246072653	30.273009285685	180.57504564278	400.633786450354	373.376089933344	169.270812058748	36.5445531983278	48.1846298564048	39.1505091354091	68.2274370451651	80.9700107114142	85.9669443429346	121.512209976468	88.7172803823036	42.1206911500908	50.2119565251989	38.5808598085028	16.4253910342981	28.1131701836928	22.2427184753951
