	input	successfully_clipped	failed_quality_filter	failed_homopolymer_filter	calibrator	UniVec_contaminants	rRNA	reads_used_for_alignment	genome	miRNA_sense	miRNA_antisense	miRNAprecursor_sense	miRNAprecursor_antisense	tRNA_sense	tRNA_antisense	piRNA_sense	piRNA_antisense	gencode_sense	gencode_antisense	circularRNA_sense	circularRNA_antisense	not_mapped_to_genome_or_libs	repetitiveElements	endogenous_gapped	input_to_exogenous_miRNA	exogenous_miRNA	input_to_exogenous_rRNA	exogenous_rRNA	input_to_exogenous_genomes	exogenous_genomes
trimmed_19101-0001_SmallRNA.fastq.fastq	8249488	0	219220	26996	0	1728	1852484	6149060	5664211	2691537	7	414271	113	438058	42	31106	65	1518106	27689	2	609	484849	0	0	0	0	0	0	0	0
trimmed_19101-0002_SmallRNA.fastq.fastq	13329889	0	202724	27403	0	2845	2780979	10315938	9597813	4728152	3	833495	158	709454	77	51891	91	2470102	34071	1	1015	718125	0	0	0	0	0	0	0	0
trimmed_19101-0003_SmallRNA.fastq.fastq	8820413	0	154825	22901	0	2325	1906154	6734208	6224988	3173711	3	567602	140	501462	39	31662	80	1428685	24449	0	656	509220	0	0	0	0	0	0	0	0
trimmed_19101-0004_SmallRNA.fastq.fastq	12275655	0	234143	20758	0	983	1751581	10268190	9818252	4938885	8	916038	153	1043914	132	89195	71	2231782	17490	4	1580	449938	0	0	0	0	0	0	0	0
trimmed_19101-0005_SmallRNA.fastq.fastq	13413728	0	192291	22761	0	1350	1889345	11307981	10730072	5443031	7	1136908	163	1153857	98	77238	79	2302037	18277	4	3685	577909	0	0	0	0	0	0	0	0
trimmed_19101-0006_SmallRNA.fastq.fastq	14342000	0	213967	17025	0	2286	2288126	11820596	11156508	5549680	22	1028966	203	983771	134	90936	78	2775364	20982	5	1973	664088	0	0	0	0	0	0	0	0
trimmed_19101-0007_SmallRNA.fastq.fastq	15035304	0	245223	8858	0	1122	4201412	10578689	9932185	5054266	15	131833	1081	514857	133	181848	138	3226982	22984	7	918	646504	0	0	0	0	0	0	0	0
trimmed_19101-0008_SmallRNA.fastq.fastq	16617097	0	367940	9817	0	2365	4454163	11782812	11096057	5691599	12	132635	1366	589039	182	229026	139	3471475	26576	12	511	686755	0	0	0	0	0	0	0	0
trimmed_19101-0009_SmallRNA.fastq.fastq	13528191	0	216523	11558	0	1299	3777202	9521609	8887092	4431764	17	106949	1247	521022	166	183408	164	2785441	22468	12	514	634517	0	0	0	0	0	0	0	0
trimmed_19101-0010_SmallRNA.fastq.fastq	15252698	0	214499	15355	0	2419	3379309	11641116	10989331	5537120	6	26657	515	884661	218	216542	243	3631962	21780	11	300	651785	0	0	0	0	0	0	0	0
