	trimmed_19101-0001_SmallRNA.fastq.fastq	trimmed_19101-0002_SmallRNA.fastq.fastq	trimmed_19101-0003_SmallRNA.fastq.fastq	trimmed_19101-0004_SmallRNA.fastq.fastq	trimmed_19101-0005_SmallRNA.fastq.fastq	trimmed_19101-0006_SmallRNA.fastq.fastq	trimmed_19101-0007_SmallRNA.fastq.fastq	trimmed_19101-0008_SmallRNA.fastq.fastq	trimmed_19101-0009_SmallRNA.fastq.fastq	trimmed_19101-0010_SmallRNA.fastq.fastq	trimmed_19101-0011_SmallRNA.fastq.fastq	trimmed_19101-0012_SmallRNA.fastq.fastq	trimmed_19101-0013_SmallRNA.fastq.fastq	trimmed_19101-0014_SmallRNA.fastq.fastq	trimmed_19101-0015_SmallRNA.fastq.fastq	trimmed_19101-0016_SmallRNA.fastq.fastq	trimmed_19101-0017_SmallRNA.fastq.fastq	trimmed_19101-0018_SmallRNA.fastq.fastq	trimmed_19101-0019_SmallRNA.fastq.fastq	trimmed_19101-0020_SmallRNA.fastq.fastq	trimmed_19101-0021_SmallRNA.fastq.fastq	trimmed_19101-0022_SmallRNA.fastq.fastq	trimmed_19101-0023_SmallRNA.fastq.fastq	trimmed_19101-0024_SmallRNA.fastq.fastq	trimmed_19101-0025_SmallRNA.fastq.fastq	trimmed_19101-0026_SmallRNA.fastq.fastq	trimmed_19101-0027_SmallRNA.fastq.fastq	trimmed_19101-0028_SmallRNA.fastq.fastq	trimmed_19101-0029_SmallRNA.fastq.fastq	trimmed_19101-0030_SmallRNA.fastq.fastq	trimmed_19101-0031_SmallRNA.fastq.fastq	trimmed_19101-0032_SmallRNA.fastq.fastq	trimmed_19101-0033_SmallRNA.fastq.fastq	trimmed_19101-0034_SmallRNA.fastq.fastq	trimmed_19101-0035_SmallRNA.fastq.fastq	trimmed_19101-0036_SmallRNA.fastq.fastq	trimmed_19101-0037_SmallRNA.fastq.fastq	trimmed_19101-0038_SmallRNA.fastq.fastq	trimmed_19101-0039_SmallRNA.fastq.fastq	trimmed_19101-0040_SmallRNA.fastq.fastq	trimmed_19101-0041_SmallRNA.fastq.fastq	trimmed_19101-0042_SmallRNA.fastq.fastq	trimmed_19101-0043_SmallRNA.fastq.fastq	trimmed_19101-0044_SmallRNA.fastq.fastq	trimmed_19101-0045_SmallRNA.fastq.fastq	trimmed_19101-0046_SmallRNA.fastq.fastq	trimmed_19101-0047_SmallRNA.fastq.fastq	trimmed_19101-0048_SmallRNA.fastq.fastq	trimmed_19101-0049_SmallRNA.fastq.fastq	trimmed_19101-0050_SmallRNA.fastq.fastq	trimmed_19101-0051_SmallRNA.fastq.fastq	trimmed_19101-0052_SmallRNA.fastq.fastq	trimmed_19101-0053_SmallRNA.fastq.fastq	trimmed_19101-0054_SmallRNA.fastq.fastq
Gly	199398.700294191	303463.536333146	221103.333230651	621463.205828235	684922.804920041	556309.373301443	148432.37319189	179052.391651164	162728.132689395	321009.85177528	259899.778890575	280229.053657158	269175.545336234	300496.58817438	197811.80252701	220362.41704052	219713.397095606	256897.63895738	213523.936273989	257472.499099326	241292.084566852	540848.715276524	915733.237916747	835729.954503341	112553.206264405	67459.392573495	63379.5422907342	119220.265186175	284159.579098644	281887.462790143	441717.464870546	485768.502010343	392243.617263549	285068.114581471	752488.488099062	282781.184218856	344407.637172436	385561.100044129	433846.029856799	696063.46777343	970925.531086463	1054288.46132965	144324.123226801	86273.1474803274	119629.326149951	280339.397134343	373450.836188078	172052.957415982	265130.838720787	350103.514378649	162085.636223874	212620.579164874	114813.938919884	110954.974753504
Glu	130770.535772522	226494.887362607	158978.360278782	275453.211604327	334283.795972629	282742.012643162	236232.505931766	253063.206991864	207283.21316753	432948.512604779	363280.589520641	413380.637482254	474770.405751562	531429.967557847	348560.709189052	490848.89523979	465866.684914049	549595.364810143	162682.326918378	155283.793699545	154798.181106368	272398.86106086	376718.520396828	318779.056483708	99190.8016410877	55577.2128544099	61107.2236477933	109235.648186566	225320.897549702	244313.070198923	362209.04034129	377272.452698836	583894.762279129	641568.042483681	1624171.64819553	514837.019996369	190508.903295432	222885.008688804	245880.262789438	360938.230145314	426939.730097607	536393.731572048	116127.027117301	158988.118570289	228748.043214998	465732.963268263	511737.613134817	223112.450215277	474093.634172981	601516.425415052	383223.057177171	468274.311483365	368683.489901133	375634.239745887
Val	17358.7536824287	25864.1607337107	17932.881043956	24942.0327172827	21438.754012654	22989.5175740926	13631.4834582084	16821.0991674991	20351.5750222	33027.5906732157	23837.4876179376	25041.7357115107	18848.641996892	19133.5867188367	11659.9129093129	13729.7308691309	16165.3337995338	21489.1369630369	14161.0496253746	15265.9296370296	10390.1126012876	15262.3830669331	23056.6378121878	21096.533382304	13710.5127872128	8238.09913419913	6801.07932067932	21528.7569097569	45037.597058497	47225.2196359196	38130.9866522366	39728.6834054834	45988.4392746142	23488.585053835	56255.8713564213	27048.3425851926	28718.9327589077	18388.7013653014	25506.9153846153	15704.5957542457	40948.5436886642	41330.3404345654	25625.5328088578	15216.1108891109	19665.0482017982	24300.6431707181	17408.2487678987	6220.39545454546	16799.7238261738	27242.2785880786	13578.6321021084	19356.0969114219	8575.51059496059	8478.42657342657
Lys	16986.1888888889	28230.9448051948	17523.6948051948	30336.7138528139	29131.4252380952	30440.0515873016	34249.4246031746	40674.6396103896	38003.8293650795	21313.9238095238	17456.7932178932	21676.746031746	20152.6071428572	24477.2662337663	14011.2586580087	23753.8450937951	25286.5121212121	27672.9897435897	15100.7738095238	20532.246031746	11438.3015873016	20806.8452380953	30014.2007936507	23555.0833333333	39078.0555555555	26355.7873015873	25918.9476190476	38531.9404761905	41605.6420634921	49765.8923520924	31477.095959596	36434.0007215006	26376.6721861472	27604.741991342	70346.0597402599	27412.1864357865	24189.4590909091	18186.75	27932.9534632034	22904.3603174603	36925.9748917749	38528.0248917749	45134.3027056275	24131.7380952381	30384.167063492	22133.8365079365	19662.2015873016	8136.77777777778	17308.4011544012	24159.205916306	10243.1865079365	22140.0992063492	11533.0173160173	9809.19047619046
His	12854.9999999998	26740.0000000005	17729.9999999998	28173.0000000007	28123.0000000007	30927.0000000007	28754.0000000006	30739.0000000008	27189.0000000004	24435.0000000002	21975.9999999999	25190.0000000002	23897.0000000002	26296.0000000004	19545.9999999999	17731.9999999998	24250.0000000003	25938.0000000004	16659.9999999998	12538.9999999999	14637.9999999998	38656.0000000011	40329.0000000011	37033.0000000009	16474.9999999998	11636.9999999999	17133.9999999998	16925.9999999998	12505.9999999999	21177.9999999999	16603.9999999998	22665.0000000001	28816.0000000005	29207.0000000007	96013.0000000032	18957.9999999998	12073.9999999999	19048.9999999998	16866.9999999998	41405.000000001	28928.0000000004	41889.000000001	13487.9999999998	35264.0000000007	37704.0000000009	34043.0000000008	19791.9999999998	10799.9999999999	16342.9999999998	23818.0000000002	20859.9999999999	15983.9999999998	21613.9999999999	27805.0000000004
Gln	9546.19999999998	15799	11353.125	5730.20000000001	4723.125	5186	5960	7019.5	6903.00000000001	6057.12500000001	5151	6266.00000000001	3367.125	3794.25	2186	3195.125	5219.125	4765.375	7890.19999999999	6051.00000000001	5708.20000000001	4024.12500000001	5230	4484.25	3605.99999999999	2109.25	2382.23611111111	4103.99999999999	5535.00000000001	5334.12500000001	3467.125	4286.625	4113.125	5397.45000000001	14599.25	3858.125	8682.37499999999	7860	8575.125	3878	6955.125	10419	6720.32500000002	9139	9631.20000000001	7033	3786	2255	2109.2	4059	2656	2979.75	3756	3962
Asp	9151.0000000001	11370.7000000001	8050.00000000001	10735.0000000001	7939.00000000002	12609.0000000001	9388.00000000006	14040.0000000001	13302.0000000001	10725.7000000001	7746.99999999996	9312.70000000002	17517.7000000001	17686.7000000001	10849.7	20591.9999999999	12588.0000000001	22059.1428571427	13830.7	19992.9999999998	9130.70000000005	28098.8235294118	33215.2803921569	31779.5235294119	70848.7122549015	57855.466666666	59222.823529411	44307.8235294123	21530.9999999997	40985.647058824	21620.3999999997	26190.6999999998	21496.6999999998	20969.9999999999	47321.0000000001	19016	21563.9999999997	12441.0000000001	20365.9999999999	22823.3999999999	9481.82352941177	10835.0000000001	18161.9999999998	10834.0000000001	12115	10719.0000000001	10293.0000000001	2433.00000000001	11508.0000000001	14044.1000000001	6618.99999999997	13475	6857.82352941173	7752
Ala	9000.6519036519	16225.3677156177	12953.6901709402	12713.4964035964	12313.4305783106	8852.53013653014	8137.01467976468	8006.46298146299	8649.08866133866	6135.08270895771	5516.87617937618	6232.2210955711	5409.98834498834	5841.39596514597	3325.83483183483	5209.13653013653	9328.20780608281	9338.17930680431	7754.63178488178	8185.66248751249	5857.69423631924	6801.10600510601	8995.34680319681	6811.42641802642	3206.63031413031	1851.75843600844	1795.07403707404	2923.77956765457	5015.63435175935	4683.37065712066	6567.79188866689	6405.84214396714	8661.39732489733	9448.35008047508	30858.7151431901	7368.62682872683	10029.0046342546	8648.09729159729	12508.8044566545	4554.49875124875	13490.4230713731	16812.7395104895	14542.314047064	12131.7543123543	14236.8851010101	4783.06665556665	3110.29811854812	1425.18226218226	3584.05279165279	7563.96304806305	4517.61730959099	5027.33858918859	4386.9575979576	4761.20758408258
Pro	8732.49999999995	15503.9999999999	10459.9999999999	5459	4296	4209	4218	5543.99999999999	7530.99999999996	5618.99999999999	4092	4129	1443	1554	959.000000000001	1618	2601.00000000001	2916.00000000001	6973.99999999998	5554.99999999999	4394	3298.00000000001	4379	3786.00000000001	2818.00000000001	1564	1497	3527	6020	5721	2086.00000000001	2012.00000000001	4755.99999999999	3658	9943.99999999995	2720.00000000001	9804.99999999995	8311.99999999997	10913.9999999999	4071	8032.99999999997	9580.99999999996	7571.99999999998	7844.99999999997	8414.99999999997	4148	2734.00000000001	1277	1406	2447.00000000001	1373	1763.00000000001	1388	1702.00000000001
Met	6737.49999999999	8933	3775	5127	4255.5	6206	3282	6722.49999999999	4098	1944.5	1798.5	2364	1033	1284.5	757	1961.5	1824	1859.5	5611.5	6254.5	4229.5	5091.5	8973.5	7598.5	6342.5	4456	4817	3536	3518.5	4030.91666666667	1466.5	1720	1593.5	2811.5	7928.49999999999	2791	4371	5410.5	5635.5	5255	5133.5	5331.5	8239.5	5352.5	6501.5	3999.5	3647.5	1891	1201	1657.75	752.5	2208	1119.5	1147
