	trimmed_19101-0001_SmallRNA.fastq.fastq	trimmed_19101-0002_SmallRNA.fastq.fastq	trimmed_19101-0003_SmallRNA.fastq.fastq	trimmed_19101-0004_SmallRNA.fastq.fastq	trimmed_19101-0005_SmallRNA.fastq.fastq	trimmed_19101-0006_SmallRNA.fastq.fastq	trimmed_19101-0007_SmallRNA.fastq.fastq	trimmed_19101-0008_SmallRNA.fastq.fastq	trimmed_19101-0009_SmallRNA.fastq.fastq	trimmed_19101-0010_SmallRNA.fastq.fastq	trimmed_19101-0011_SmallRNA.fastq.fastq	trimmed_19101-0012_SmallRNA.fastq.fastq	trimmed_19101-0013_SmallRNA.fastq.fastq	trimmed_19101-0014_SmallRNA.fastq.fastq	trimmed_19101-0015_SmallRNA.fastq.fastq	trimmed_19101-0016_SmallRNA.fastq.fastq	trimmed_19101-0017_SmallRNA.fastq.fastq	trimmed_19101-0018_SmallRNA.fastq.fastq	trimmed_19101-0019_SmallRNA.fastq.fastq	trimmed_19101-0020_SmallRNA.fastq.fastq	trimmed_19101-0021_SmallRNA.fastq.fastq	trimmed_19101-0022_SmallRNA.fastq.fastq	trimmed_19101-0023_SmallRNA.fastq.fastq	trimmed_19101-0024_SmallRNA.fastq.fastq	trimmed_19101-0025_SmallRNA.fastq.fastq	trimmed_19101-0026_SmallRNA.fastq.fastq	trimmed_19101-0027_SmallRNA.fastq.fastq	trimmed_19101-0028_SmallRNA.fastq.fastq	trimmed_19101-0029_SmallRNA.fastq.fastq	trimmed_19101-0030_SmallRNA.fastq.fastq	trimmed_19101-0031_SmallRNA.fastq.fastq	trimmed_19101-0032_SmallRNA.fastq.fastq	trimmed_19101-0033_SmallRNA.fastq.fastq	trimmed_19101-0034_SmallRNA.fastq.fastq	trimmed_19101-0035_SmallRNA.fastq.fastq	trimmed_19101-0036_SmallRNA.fastq.fastq	trimmed_19101-0037_SmallRNA.fastq.fastq	trimmed_19101-0038_SmallRNA.fastq.fastq	trimmed_19101-0039_SmallRNA.fastq.fastq	trimmed_19101-0040_SmallRNA.fastq.fastq	trimmed_19101-0041_SmallRNA.fastq.fastq	trimmed_19101-0042_SmallRNA.fastq.fastq	trimmed_19101-0043_SmallRNA.fastq.fastq	trimmed_19101-0044_SmallRNA.fastq.fastq	trimmed_19101-0045_SmallRNA.fastq.fastq	trimmed_19101-0046_SmallRNA.fastq.fastq	trimmed_19101-0047_SmallRNA.fastq.fastq	trimmed_19101-0048_SmallRNA.fastq.fastq	trimmed_19101-0049_SmallRNA.fastq.fastq	trimmed_19101-0050_SmallRNA.fastq.fastq	trimmed_19101-0051_SmallRNA.fastq.fastq	trimmed_19101-0052_SmallRNA.fastq.fastq	trimmed_19101-0053_SmallRNA.fastq.fastq	trimmed_19101-0054_SmallRNA.fastq.fastq
Gly	35203.2613711232	31617.9880075956	35518.6762176331	63296.7259170202	63832.0791249155	49864.1127942044	14944.5840156914	16136.57821433	18310.616418666	29211.0458566841	28183.3927011105	25043.2249020344	28519.0533840247	25677.8616442632	28774.4171603716	20453.950670331	20911.6064136569	24180.9067497334	35515.5694235727	37972.3937167229	49149.5073108169	63194.0543205538	78608.6101088142	90094.746965229	16661.5579977278	17268.357861524	14280.1714828761	18985.0679136146	26162.5921608638	26424.35509521	48363.7785574572	46926.9411832774	40920.9269910323	27618.8248121977	23084.542320214	26421.7204187482	53291.7093420177	60057.8551394412	54413.0783543959	75819.3233168833	75816.3241931707	74926.9900752917	13232.7000113602	10166.1411716793	9985.96682449564	21289.6831718904	26215.3878814405	20137.2961262246	31107.2261061916	27859.5601320128	26274.8033954843	20787.9533019165	15745.2868503161	14957.2137387076
Glu	23087.1582595567	23598.593488184	25538.7416455714	28055.2191575778	31153.9191882989	25343.2357726236	23784.5454884062	22806.5885919533	23324.0764434001	39397.1673621241	39393.9523875541	36942.5801483093	50301.7557923796	45411.4479750659	50702.8960041515	45560.396480744	44339.6756180444	51731.5547176539	27059.0528466285	22901.4647110361	31531.3050887944	31827.7328512019	32338.3689315599	34365.5486762851	14683.4848089686	14226.7394339557	13768.1908229956	17395.0812487385	20745.3106687852	22902.1016310451	39658.3771567854	36445.8422573724	60914.9872325808	62158.3209910251	49825.6913441652	48103.9070585323	29478.2809836577	34718.221218513	30838.3644985231	39315.5130757688	33338.2941859651	38120.8457420279	10647.3822857701	18734.6318664657	19094.5685663231	35368.9396925378	35922.8008666058	26113.3638555824	55624.3775521568	47865.794932066	62122.1640518414	45783.265937089	50560.3009536992	50637.1311781021
Val	3064.63754306269	2694.7973182756	2880.78965677621	2540.37406223457	1998.0065383209	2060.63739425388	1372.45565383734	1515.95284410482	2290.01511655331	3005.42323033273	2584.92437897398	2237.90435422844	1997.00692220859	1634.9922490291	1696.09292175759	1274.38808162322	1538.56388563389	2022.69985486964	2355.41621167611	2251.44002818511	2116.3931513705	1783.29325253134	1979.23388291732	2274.28348915856	2029.60458937169	2108.80113978309	1532.36478929482	3428.31742060939	4146.61468560852	4426.92967171032	4174.97323807786	3837.9301699114	4797.75701416594	2275.69160669098	1725.79522959674	2527.26767359235	4443.80684983006	2864.3604416351	3199.08375296216	1710.63685738452	3197.534686377	2937.29668979165	2349.53783684523	1793.01597195002	1641.52491086606	1845.45233123201	1222.01893680388	728.042965210707	1971.07514955178	2167.80999700786	2201.15672908689	1892.44917064211	1176.02335984482	1142.92882052749
Lys	2998.86231090065	2941.39350341529	2815.056800944	3089.82839845768	2714.93287632135	2728.45693180174	3448.32729184712	3665.68409033854	4276.29525665757	1939.51058617889	1893.00529866595	1937.18538079012	2135.16156609438	2091.61727791634	2038.12814208778	2204.82232090344	2406.68796733801	2604.76502311135	2511.72112101581	3028.12351972902	2329.90190497795	2431.12144131337	2576.48680884755	2539.32416951924	5784.83110954459	6746.59449905628	5839.84994649913	6135.96610980079	3830.6343511304	4665.09435405677	3446.4367377185	3519.65226615895	2751.75383177873	2674.48547924815	2158.04842043052	2561.26350157868	3742.94145622542	2832.90299989345	3503.35805991971	2494.87752292321	2883.42575605252	2738.13955532231	4138.24573863464	2843.60387164641	2536.29518823541	1680.89955050653	1380.24122927547	952.338780368876	2030.75715689807	1922.47384651804	1660.46614560943	2164.64158930023	1581.60818798376	1322.32158929352
His	2269.51291186006	2786.05136399308	2848.19826158697	2869.45171095636	2620.95165810636	2772.10395941102	2895.03266401105	2770.26334670062	3059.38095385987	2223.52024886685	2383.06565955321	2251.15428628625	2531.87865883856	2247.03066979821	2843.23154954228	1645.87708810443	2308.03611538775	2441.45630072782	2771.06818524305	1849.2687431845	2981.65805690323	4516.65927054376	3461.93247750899	3992.29290081652	2438.83916880805	2978.85695035901	3860.4958215889	2695.35769782116	1151.42828758969	1985.24257399476	1817.97697178071	2189.51850010304	3006.23740011381	2829.72024940144	2945.44859734651	1771.34478406793	1868.26315431954	2967.21345182454	2115.4633889505	4510.07591588972	2258.89067290863	2976.99994108406	1236.67931432878	4155.39264241926	3147.31266377653	2585.31156030618	1389.35277865641	1264.04568354732	1917.48873388838	1895.32231460729	3381.49888909817	1562.75863269177	2964.08809926992	3748.23507399012
Gln	1685.35388247365	1646.10416977284	1823.79869647941	583.62730962701	440.176449887754	464.840790684684	600.069370435609	632.612107165636	776.744518904497	551.182324019543	558.571678756764	559.973511626422	356.745697331955	324.224069017407	317.983432277675	296.570213801587	496.739339823626	448.548647508699	1312.38188446608	892.40969495251	1162.72035253554	470.188366284055	448.955016424199	483.418557515893	533.806011697841	539.929021444084	536.746384556014	653.53586150645	509.607833984408	500.025122533282	379.616562773144	414.103010831862	429.102936089079	522.931953303367	447.869980469411	360.48473441461	1343.4620924702	1224.33186683506	1075.49433765189	422.414549011471	543.102426417776	740.465572970329	616.1689585607	1076.90940786833	803.957079550282	534.103815869133	265.768473120109	263.928057074004	247.467860094071	322.995771055123	430.549427106652	291.330707943153	515.088132731465	534.094852118275
Asp	1615.58247035644	1184.71781019281	1293.17518363088	1093.37181404593	739.883199292607	1130.19235050969	945.209941216365	1265.31433643501	1496.77757358652	976.010277604711	840.080527145918	832.24789685978	1855.99409055262	1511.35371720108	1578.23643421002	1911.3411345729	1198.08489156705	2076.35258374683	2300.46895255951	2948.59478287645	1859.85962700962	3283.13358302689	2851.27471395702	3425.94891523236	10487.9280429054	14809.9303081777	13343.6128620282	7055.73869926177	1982.36066368891	3842.02717272172	2367.22412193976	2530.11348690262	2242.6493447746	2031.67848905901	1451.69480252705	1776.76402647095	3336.69261717297	1937.90238616986	2554.3088503804	2486.05884938328	740.403855529368	770.030183619691	1665.22610519273	1276.64257849279	1011.29039151421	814.027982696044	722.544874227497	284.761402599136	1350.20867341295	1117.5621848424	1072.96937425411	1317.45323920933	940.46419498578	1045.00335528038
Ala	1589.03895064148	1690.52759369428	2080.91809509354	1294.88389619623	1147.56271703588	793.485751682349	819.257261092567	721.559287363339	973.219210664035	558.276268951923	598.247095516861	556.954792869328	573.186342856477	499.155608766288	483.78791171797	483.509951712139	887.828474568279	878.971266324433	1289.83273873714	1207.23261666918	1193.17128122674	794.657452605341	772.180893263976	734.296690333496	474.686228223877	474.015939459458	404.451722864895	465.593274513179	461.789802720482	439.0228925448	719.109516324061	618.826820337776	903.602740677109	915.403415145459	946.671380275815	688.489223483935	1551.83202192132	1347.09174320516	1568.85740603508	496.102768432709	1053.42197350372	1194.86081148243	1333.34660175543	1429.56563660374	1188.41313311955	363.238184600393	218.335758561775	166.805137664788	420.509138447989	601.903936176788	732.325882730234	491.523822554994	601.616027024518	641.831514519182
Pro	1541.69751091546	1615.36800102272	1680.32452432036	556.005284851112	400.37010003288	377.268586192024	424.67996719755	499.636943105104	847.408803689662	511.314110021801	443.734286443929	368.99627026899	152.885337268445	132.7915143317	139.499593574698	150.182107407682	247.554719015401	274.473227423942	1159.98976734005	819.25894157349	895.027018857287	385.346188800004	375.903253713493	408.144652674399	417.156223229208	400.355097564798	337.292065187269	561.652286435978	554.261817630737	536.291092918314	228.396769641931	194.366257322184	496.171053405781	354.405336813443	305.05807392762	254.143781657603	1517.17079908093	1294.73873754873	1368.83662933574	443.437243173207	627.270076585824	680.909939018013	694.256803684583	924.428745456509	702.435711480977	315.009615843192	191.920498021759	149.461697952773	164.962929685314	194.72053505097	222.569413937288	172.368835675402	190.34673275593	229.437011182561
Met	1189.48605551594	930.732865914349	606.426871826901	522.190711747875	396.59566124067	556.267247780398	330.440884860682	605.845842356433	461.118215047171	176.944347203665	195.028375896727	211.263546358899	109.445982951007	109.762355314715	110.115946127264	182.065638862897	173.602386575967	175.028452124424	933.364293006695	922.422151227974	861.519521223689	594.903007967015	770.305514317888	819.1461023102	938.89756771868	1140.65365393141	1085.32790782035	563.08547911472	323.948539091985	377.861336240048	160.567527650955	166.158033098487	166.242340959233	272.39218273674	243.227367169665	260.777681840576	676.344065556632	842.779588487417	706.805829633644	572.405480932253	400.857828725674	378.903177108292	755.458126513357	630.720823461565	542.707757361092	303.732150087956	256.046092368092	221.325035887779	140.910724432477	131.915801790251	121.983600865119	215.876567879346	153.525336686069	154.620594492595
Leu	806.904716548973	930.244401843088	1078.41286486932	758.789417330673	731.974518504096	623.466974228342	608.587852809542	636.703972539847	703.702655277479	272.754265456369	305.365530456037	295.715344713027	222.004236714391	209.249176782335	229.014257178483	282.161336413058	308.066055272998	328.172464819469	738.579846326662	624.731030874042	679.386198871573	530.335905501617	537.075774605598	556.507513198903	588.260378822937	502.830899631694	648.876031084044	389.544389674333	410.165582627094	322.75737176056	295.114685069213	269.313024182556	353.465448820324	314.367609793717	313.255129172338	300.247052048927	695.014783117766	924.758865368801	929.647606001524	334.362501322995	581.633169389292	618.19885142909	449.841838623173	760.961916969785	781.168051446753	258.090689354649	200.107304196516	140.200807701784	214.533938072259	268.045963458882	228.486226470944	271.315056053952	254.572755695911	286.492954180809
Arg	735.654091982096	724.5716885116	750.081767225898	769.615100529098	579.432272215882	704.176432267158	618.522726153123	739.224302831178	796.320663722174	743.623519939478	697.891991040734	628.900030965661	354.462482489172	350.393567900344	382.28198060912	523.669600477539	550.542754917594	593.167141488408	860.411681599277	719.06379424109	753.572418664878	357.861938569414	321.26250957785	292.064367839883	583.556110250631	653.719206703029	599.161563975715	765.058157366468	500.38471478488	602.13697142612	489.528402277004	467.469203526299	464.310111498691	726.550317467932	733.638745222267	684.543750711861	718.205672275087	785.133963090601	802.341571019095	388.364320022047	489.201162616547	493.162224358866	591.27125187283	722.003848411262	630.414139066746	585.304269823204	490.170389569021	427.320591830872	461.438624579923	490.953174127745	493.283850408713	635.860617651411	589.759455487664	586.338279664576
Ser	249.649400969859	277.017119228986	298.631246051641	142.698666239313	115.443684592149	108.871984749275	106.616665606455	131.883613723154	151.140176267763	89.2753138499491	85.0275100619531	80.5650919053677	109.4519225523	104.645886511471	106.911779711192	145.651708639259	155.521820314457	157.070518960081	207.106395670101	210.146856841107	170.20185087275	97.4626852434487	100.162965496891	96.4150657185129	109.417709364682	113.702337055429	123.94577830153	139.023642621078	147.012763701219	136.618403962279	191.741099925508	139.373457251101	188.588931701637	143.362326101061	143.643943532627	177.100926670914	257.979579455397	211.474492794802	247.182684609894	74.4716315180192	127.746974080876	117.438242207663	133.16466731441	121.401952530915	112.68873632735	54.3860129728804	50.2257062231656	35.7366001891777	120.797534434572	143.777985102314	94.6203692026179	138.411049632104	88.4124917923257	84.321144920016
Cys	249.017605759789	255.796233536163	269.075631449824	142.621687184813	112.743526217359	101.550541970609	94.1122392444533	104.185603002886	135.50972751969	132.888830901931	126.696107723539	136.359642897508	182.203497966495	160.326389261011	165.332907080321	162.129910490415	171.622288973219	184.800877965789	150.463050687797	152.523293657201	143.401340764779	71.5090988014939	78.0585413112728	71.4195423127161	85.9932032856019	97.0546091512719	97.510285859853	137.860237031597	121.276729372561	119.435518908171	278.762754520233	243.272216529757	207.061355117817	201.487748279571	171.056805231648	216.241632628842	214.842858545083	176.005373629048	209.520612840161	65.6719229779356	109.058402188823	93.3149159837518	109.335403001355	105.110008181091	87.1038765817653	105.300745906366	87.0322521092218	62.1374335169125	165.931325780287	143.683540220809	127.629447591541	169.884136769082	121.336690331347	125.443594418642
Thr	237.069401389022	256.350066416172	294.265627500005	165.630297531577	175.357630405462	144.713740177482	169.660553040444	167.428844318302	174.19646381516	102.526714319552	111.302265788379	102.968637104367	96.6154809806614	99.6534517462213	110.799625053021	120.108558087478	129.535552702791	142.319451256859	302.023145904225	247.473718084665	251.010877409612	218.892525802888	197.377106933874	174.070568059522	140.660696704185	185.586602132019	152.693942937483	193.863196344531	137.073919283827	159.763479889985	111.198350550501	112.504444968894	112.243573666796	116.959574248548	136.567480662067	131.06157445997	349.560484671469	414.419202508229	409.722878936597	141.080795224254	176.311851851505	183.705678046933	192.754368513749	259.193558764327	245.664681983188	104.132397599852	78.1089751824473	57.865202402389	100.868039524826	122.020624620824	103.260536546287	130.149225655248	116.457093268253	128.778599754818
Tyr	187.816685030507	199.394345279455	206.06784161991	110.05296846911	107.179046784485	109.840650429157	108.008011888175	88.9385001056381	108.991407613049	48.3423422226521	48.7156546076044	51.2489091165325	36.7751216672745	37.966068093677	40.6312163465918	59.4757035578463	71.649055161397	59.3217342353048	156.234690547201	130.556818393942	160.894833284187	97.8551736549189	103.21768645077	89.4878172702109	54.7909066052623	50.3859146767998	55.7496993962389	37.8097461136326	47.7241949597037	41.7442643302842	42.3897786374956	42.0193056957782	41.7886519035725	53.9256537867207	50.5933307275097	58.4245201325738	180.83293631065	196.940201859337	178.278517536286	83.8099899431159	99.8432667028855	107.146783128671	84.9514092059198	104.26647597026	94.7111952489029	38.7939759144721	34.8705099779862	36.3013816755993	38.8592144880653	38.8074397474458	33.3214708896966	52.647269320762	44.1993890253863	41.8709813885813
Asn	138.236375728235	120.808771748314	114.056444767444	65.7958259779847	49.5802824063063	42.6656799780003	37.3533114818139	36.1389635976095	55.0236230253946	39.0378631783864	36.164561224108	37.7128665666054	23.0970225395155	23.3282390042175	21.3831493800632	32.6724980268874	33.0739195916385	40.3332571848968	94.9747859408042	114.003089439479	86.7732157563049	57.8954022287451	58.3040625535978	57.6749575226633	101.516806565892	176.371267405464	104.589830768156	160.151319667894	125.307364417846	137.255273247858	65.8255694672717	55.6436203864701	60.6651529763378	50.7677409760098	44.7892988670885	56.4815867691253	140.802353334076	77.5721717155039	106.920764752495	39.7797300925707	56.6128227965548	49.1085239391973	92.6042487746213	38.1790839423722	34.741977791846	26.3520580273837	19.8632477624512	15.2153647093661	21.7643125580553	27.4534469115588	19.938847716159	37.5926360279024	27.0846395672163	22.7819358929804
