"","biotype","Sample","Counts","time.1","time.2"
"1","miRNA","D00_1",2.720294e+06,D00,1
"2","misc_RNA","D00_1",1.223786e+05,D00,1
"3","tRNA","D00_1",4.380580e+05,D00,1
"4","other","D00_1",5.133994e+05,D00,1
"5","snoRNA","D00_1",4.751234e+05,D00,1
"6","other","D00_1",1.491155e+05,D00,1
"7","piRNA","D00_1",3.110600e+04,D00,1
"8","snRNA","D00_1",3.292599e+04,D00,1
"9","other","D00_1",3.714625e+04,D00,1
"10","lincRNA","D00_1",4.157340e+04,D00,1
"11","other","D00_1",2.754403e+04,D00,1
"12","other","D00_1",2.602183e+04,D00,1
"13","other","D00_1",2.195376e+04,D00,1
"14","other","D00_1",1.000680e+04,D00,1
"15","other","D00_1",7.854304e+03,D00,1
"16","other","D00_1",7.635428e+03,D00,1
"17","other","D00_1",1.634833e+03,D00,1
"18","other","D00_1",5.303145e+03,D00,1
"19","other","D00_1",5.928169e+03,D00,1
"20","other","D00_1",9.005000e+02,D00,1
"21","other","D00_1",1.066500e+03,D00,1
"22","rRNA","D00_1",6.472863e+02,D00,1
"23","other","D00_1",3.832376e+02,D00,1
"24","other","D00_1",1.394892e+02,D00,1
"25","other","D00_1",2.352495e+02,D00,1
"26","other","D00_1",1.739459e+02,D00,1
"27","other","D00_1",1.599239e+02,D00,1
"28","other","D00_1",3.010691e+01,D00,1
"29","other","D00_1",3.158919e+01,D00,1
"30","other","D00_1",3.500000e+00,D00,1
"31","other","D00_1",1.554757e+01,D00,1
"32","other","D00_1",7.825112e+00,D00,1
"33","other","D00_1",2.000000e+00,D00,1
"34","other","D00_1",5.059524e+00,D00,1
"35","other","D00_1",0.000000e+00,D00,1
"36","other","D00_1",3.500000e+00,D00,1
"37","other","D00_1",2.000000e-01,D00,1
"38","other","D00_1",0.000000e+00,D00,1
"39","other","D00_1",0.000000e+00,D00,1
"40","other","D00_1",0.000000e+00,D00,1
"41","other","D00_1",0.000000e+00,D00,1
"42","other","D00_1",0.000000e+00,D00,1
"43","other","D00_1",0.000000e+00,D00,1
"44","other","D00_1",0.000000e+00,D00,1
"45","other","D00_1",0.000000e+00,D00,1
"46","other","D00_1",2.500000e-01,D00,1
"47","other","D00_1",5.000000e-01,D00,1
"48","miRNA","D00_2",4.774566e+06,D00,2
"49","misc_RNA","D00_2",2.684495e+05,D00,2
"50","tRNA","D00_2",7.094540e+05,D00,2
"51","other","D00_2",8.356280e+05,D00,2
"52","snoRNA","D00_2",7.891763e+05,D00,2
"53","other","D00_2",1.982460e+05,D00,2
"54","piRNA","D00_2",5.189100e+04,D00,2
"55","snRNA","D00_2",5.376217e+04,D00,2
"56","other","D00_2",4.382210e+04,D00,2
"57","lincRNA","D00_2",6.541343e+04,D00,2
"58","other","D00_2",4.307071e+04,D00,2
"59","other","D00_2",2.922899e+04,D00,2
"60","other","D00_2",3.532473e+04,D00,2
"61","other","D00_2",1.305403e+04,D00,2
"62","other","D00_2",1.290560e+04,D00,2
"63","other","D00_2",1.066736e+04,D00,2
"64","other","D00_2",3.039067e+03,D00,2
"65","other","D00_2",8.386485e+03,D00,2
"66","other","D00_2",7.999956e+03,D00,2
"67","other","D00_2",1.555000e+03,D00,2
"68","other","D00_2",1.862000e+03,D00,2
"69","rRNA","D00_2",7.814568e+02,D00,2
"70","other","D00_2",3.437148e+02,D00,2
"71","other","D00_2",1.978445e+02,D00,2
"72","other","D00_2",2.053538e+02,D00,2
"73","other","D00_2",2.268858e+02,D00,2
"74","other","D00_2",2.011817e+02,D00,2
"75","other","D00_2",5.047209e+01,D00,2
"76","other","D00_2",3.817431e+01,D00,2
"77","other","D00_2",8.500000e+00,D00,2
"78","other","D00_2",1.959698e+01,D00,2
"79","other","D00_2",5.715192e+00,D00,2
"80","other","D00_2",1.000000e+00,D00,2
"81","other","D00_2",3.798086e+00,D00,2
"82","other","D00_2",5.882353e-02,D00,2
"83","other","D00_2",9.000000e+00,D00,2
"84","other","D00_2",7.500000e-01,D00,2
"85","other","D00_2",2.000000e+00,D00,2
"86","other","D00_2",5.000000e-01,D00,2
"87","other","D00_2",0.000000e+00,D00,2
"88","other","D00_2",0.000000e+00,D00,2
"89","other","D00_2",0.000000e+00,D00,2
"90","other","D00_2",0.000000e+00,D00,2
"91","other","D00_2",0.000000e+00,D00,2
"92","other","D00_2",2.000000e+00,D00,2
"93","other","D00_2",0.000000e+00,D00,2
"94","other","D00_2",0.000000e+00,D00,2
"95","miRNA","D00_3",3.205989e+06,D00,3
"96","misc_RNA","D00_3",1.454114e+05,D00,3
"97","tRNA","D00_3",5.014620e+05,D00,3
"98","other","D00_3",4.930786e+05,D00,3
"99","snoRNA","D00_3",4.375904e+05,D00,3
"100","other","D00_3",1.121832e+05,D00,3
"101","piRNA","D00_3",3.166200e+04,D00,3
"102","snRNA","D00_3",4.879172e+04,D00,3
"103","other","D00_3",3.070250e+04,D00,3
"104","lincRNA","D00_3",3.705750e+04,D00,3
"105","other","D00_3",2.257647e+04,D00,3
"106","other","D00_3",1.661058e+04,D00,3
"107","other","D00_3",1.773994e+04,D00,3
"108","other","D00_3",7.057475e+03,D00,3
"109","other","D00_3",6.938183e+03,D00,3
"110","other","D00_3",6.160582e+03,D00,3
"111","other","D00_3",1.874000e+03,D00,3
"112","other","D00_3",3.991317e+03,D00,3
"113","other","D00_3",4.971424e+03,D00,3
"114","other","D00_3",8.247500e+02,D00,3
"115","other","D00_3",1.672500e+03,D00,3
"116","rRNA","D00_3",4.773378e+02,D00,3
"117","other","D00_3",1.918996e+02,D00,3
"118","other","D00_3",1.283474e+02,D00,3
"119","other","D00_3",6.428210e+01,D00,3
"120","other","D00_3",1.095945e+02,D00,3
"121","other","D00_3",1.288209e+02,D00,3
"122","other","D00_3",2.505199e+01,D00,3
"123","other","D00_3",1.538502e+01,D00,3
"124","other","D00_3",8.500000e+00,D00,3
"125","other","D00_3",1.319481e+01,D00,3
"126","other","D00_3",4.779340e+00,D00,3
"127","other","D00_3",0.000000e+00,D00,3
"128","other","D00_3",1.601149e+00,D00,3
"129","other","D00_3",2.000000e+00,D00,3
"130","other","D00_3",2.500000e+00,D00,3
"131","other","D00_3",2.000000e-01,D00,3
"132","other","D00_3",1.000000e+00,D00,3
"133","other","D00_3",0.000000e+00,D00,3
"134","other","D00_3",0.000000e+00,D00,3
"135","other","D00_3",0.000000e+00,D00,3
"136","other","D00_3",0.000000e+00,D00,3
"137","other","D00_3",0.000000e+00,D00,3
"138","other","D00_3",0.000000e+00,D00,3
"139","other","D00_3",0.000000e+00,D00,3
"140","other","D00_3",0.000000e+00,D00,3
"141","other","D00_3",0.000000e+00,D00,3
"142","miRNA","D05_1",4.979848e+06,D05,1
"143","misc_RNA","D05_1",5.778817e+05,D05,1
"144","tRNA","D05_1",1.043914e+06,D05,1
"145","other","D05_1",5.974006e+05,D05,1
"146","snoRNA","D05_1",5.428234e+05,D05,1
"147","other","D05_1",1.525081e+05,D05,1
"148","piRNA","D05_1",8.919500e+04,D05,1
"149","snRNA","D05_1",1.059641e+05,D05,1
"150","other","D05_1",4.765750e+04,D05,1
"151","lincRNA","D05_1",5.010779e+04,D05,1
"152","other","D05_1",3.286871e+04,D05,1
"153","other","D05_1",2.148009e+04,D05,1
"154","other","D05_1",2.090219e+04,D05,1
"155","other","D05_1",8.881069e+03,D05,1
"156","other","D05_1",9.633788e+03,D05,1
"157","other","D05_1",5.672290e+03,D05,1
"158","other","D05_1",4.562167e+03,D05,1
"159","other","D05_1",4.985761e+03,D05,1
"160","other","D05_1",2.992712e+03,D05,1
"161","other","D05_1",1.840500e+03,D05,1
"162","other","D05_1",1.204500e+03,D05,1
"163","rRNA","D05_1",5.034583e+02,D05,1
"164","other","D05_1",2.235181e+02,D05,1
"165","other","D05_1",1.464525e+02,D05,1
"166","other","D05_1",9.938654e+01,D05,1
"167","other","D05_1",2.009891e+02,D05,1
"168","other","D05_1",1.458993e+02,D05,1
"169","other","D05_1",4.803802e+01,D05,1
"170","other","D05_1",3.082852e+01,D05,1
"171","other","D05_1",2.000000e+01,D05,1
"172","other","D05_1",1.456746e+01,D05,1
"173","other","D05_1",5.201923e+00,D05,1
"174","other","D05_1",4.000000e+00,D05,1
"175","other","D05_1",4.250000e+00,D05,1
"176","other","D05_1",4.503486e+00,D05,1
"177","other","D05_1",0.000000e+00,D05,1
"178","other","D05_1",2.111111e+00,D05,1
"179","other","D05_1",1.033333e+00,D05,1
"180","other","D05_1",6.000000e-01,D05,1
"181","other","D05_1",1.000000e+00,D05,1
"182","other","D05_1",0.000000e+00,D05,1
"183","other","D05_1",0.000000e+00,D05,1
"184","other","D05_1",0.000000e+00,D05,1
"185","other","D05_1",0.000000e+00,D05,1
"186","other","D05_1",0.000000e+00,D05,1
"187","other","D05_1",0.000000e+00,D05,1
"188","other","D05_1",5.000000e-01,D05,1
"189","miRNA","D05_2",5.485401e+06,D05,2
"190","misc_RNA","D05_2",4.998724e+05,D05,2
"191","tRNA","D05_2",1.153857e+06,D05,2
"192","other","D05_2",6.794679e+05,D05,2
"193","snoRNA","D05_2",5.923812e+05,D05,2
"194","other","D05_2",1.486742e+05,D05,2
"195","piRNA","D05_2",7.723800e+04,D05,2
"196","snRNA","D05_2",1.212950e+05,D05,2
"197","other","D05_2",5.020142e+04,D05,2
"198","lincRNA","D05_2",5.154282e+04,D05,2
"199","other","D05_2",3.207306e+04,D05,2
"200","other","D05_2",1.717528e+04,D05,2
"201","other","D05_2",2.059369e+04,D05,2
"202","other","D05_2",8.864275e+03,D05,2
"203","other","D05_2",1.160081e+04,D05,2
"204","other","D05_2",5.383862e+03,D05,2
"205","other","D05_2",5.680000e+03,D05,2
"206","other","D05_2",5.879464e+03,D05,2
"207","other","D05_2",3.496748e+03,D05,2
"208","other","D05_2",2.591000e+03,D05,2
"209","other","D05_2",1.315500e+03,D05,2
"210","rRNA","D05_2",5.973315e+02,D05,2
"211","other","D05_2",2.315052e+02,D05,2
"212","other","D05_2",1.576280e+02,D05,2
"213","other","D05_2",1.141933e+02,D05,2
"214","other","D05_2",1.823212e+02,D05,2
"215","other","D05_2",1.633967e+02,D05,2
"216","other","D05_2",3.830393e+01,D05,2
"217","other","D05_2",4.055098e+01,D05,2
"218","other","D05_2",2.250000e+01,D05,2
"219","other","D05_2",1.820528e+01,D05,2
"220","other","D05_2",5.528636e+00,D05,2
"221","other","D05_2",4.000000e+00,D05,2
"222","other","D05_2",5.075392e+00,D05,2
"223","other","D05_2",1.524217e-01,D05,2
"224","other","D05_2",0.000000e+00,D05,2
"225","other","D05_2",0.000000e+00,D05,2
"226","other","D05_2",0.000000e+00,D05,2
"227","other","D05_2",0.000000e+00,D05,2
"228","other","D05_2",1.333333e+00,D05,2
"229","other","D05_2",0.000000e+00,D05,2
"230","other","D05_2",0.000000e+00,D05,2
"231","other","D05_2",0.000000e+00,D05,2
"232","other","D05_2",0.000000e+00,D05,2
"233","other","D05_2",0.000000e+00,D05,2
"234","other","D05_2",0.000000e+00,D05,2
"235","other","D05_2",0.000000e+00,D05,2
"236","miRNA","D05_3",5.598933e+06,D05,3
"237","misc_RNA","D05_3",5.459971e+05,D05,3
"238","tRNA","D05_3",9.837710e+05,D05,3
"239","other","D05_3",8.801695e+05,D05,3
"240","snoRNA","D05_3",7.708443e+05,D05,3
"241","other","D05_3",1.645502e+05,D05,3
"242","piRNA","D05_3",9.093600e+04,D05,3
"243","snRNA","D05_3",1.079837e+05,D05,3
"244","other","D05_3",6.360262e+04,D05,3
"245","lincRNA","D05_3",5.463404e+04,D05,3
"246","other","D05_3",3.696155e+04,D05,3
"247","other","D05_3",2.653149e+04,D05,3
"248","other","D05_3",2.527327e+04,D05,3
"249","other","D05_3",9.121748e+03,D05,3
"250","other","D05_3",1.208980e+04,D05,3
"251","other","D05_3",6.184393e+03,D05,3
"252","other","D05_3",4.844283e+03,D05,3
"253","other","D05_3",7.822162e+03,D05,3
"254","other","D05_3",4.806772e+03,D05,3
"255","other","D05_3",1.768667e+03,D05,3
"256","other","D05_3",1.292000e+03,D05,3
"257","rRNA","D05_3",5.635252e+02,D05,3
"258","other","D05_3",2.747834e+02,D05,3
"259","other","D05_3",1.711198e+02,D05,3
"260","other","D05_3",1.392082e+02,D05,3
"261","other","D05_3",1.836802e+02,D05,3
"262","other","D05_3",1.587636e+02,D05,3
"263","other","D05_3",3.948156e+01,D05,3
"264","other","D05_3",3.215524e+01,D05,3
"265","other","D05_3",2.550000e+01,D05,3
"266","other","D05_3",2.653239e+01,D05,3
"267","other","D05_3",7.285227e+00,D05,3
"268","other","D05_3",5.000000e+00,D05,3
"269","other","D05_3",4.303675e+00,D05,3
"270","other","D05_3",2.088235e+00,D05,3
"271","other","D05_3",3.166667e+00,D05,3
"272","other","D05_3",7.692308e-02,D05,3
"273","other","D05_3",0.000000e+00,D05,3
"274","other","D05_3",0.000000e+00,D05,3
"275","other","D05_3",0.000000e+00,D05,3
"276","other","D05_3",1.000000e+00,D05,3
"277","other","D05_3",0.000000e+00,D05,3
"278","other","D05_3",0.000000e+00,D05,3
"279","other","D05_3",0.000000e+00,D05,3
"280","other","D05_3",0.000000e+00,D05,3
"281","other","D05_3",0.000000e+00,D05,3
"282","other","D05_3",1.000000e+00,D05,3
"283","miRNA","D09_1",5.091791e+06,D09,1
