"","Row.names","moduleLabels","D00_1","D00_2","D00_3","D05_1","D05_2","D05_3","D09_1","D09_2","D09_3","D16_1","D16_2","D16_3","D26_1","D26_2","D26_3","D36_1","D36_2","D36_3","D00_4","D00_5","D00_6","D05_4","D05_5","D05_6","D09_4","D09_5","D09_6","D16_4","D16_5","D16_6","D26_4","D26_5","D26_6","D36_4","D36_5","D36_6","D00_7","D00_8","D00_9","D05_7","D05_8","D05_9","D09_7","D09_8","D09_9","D16_7","D16_8","D16_9","D26_7","D26_8","D26_9","D36_7","D36_8","D36_9"
"1","7SK.5:misc_RNA","purple",4.32652587372004,3.92366927685734,3.78001284071743,4.0553435155519,4.07199405460779,4.12571374887105,4.33845766854388,4.3628074180865,4.14753963269159,4.94218506969563,4.60325830018813,5.16340685119391,6.6658647291638,6.4944054804839,5.15333137772397,6.17216094853682,6.17502317089189,6.14987228440299,4.50001986205861,4.60064267924658,4.43620153777222,4.68575778078179,4.63008321340686,4.52588643399089,4.93777619067093,4.93124417408816,4.91856028664413,4.5344979805131,5.56201800973762,5.33184992755291,4.7862649928677,4.95364850076263,6.18750855249606,6.50731959909889,5.05549529697529,6.11297060534315,5.41017284293546,5.743127859383,5.64011345407619,4.14683968227932,3.64176337276051,3.80938095892262,5.27306214590457,4.52681908601042,4.71048513439049,5.28559790131008,5.43290138166804,4.49741434301849,4.94237933822303,5.78557684246061,4.61341261102163,5.6285797180154,5.54369060660126,5.13868186253334
"2","AC006145.4:antisense","blue",5.33915804277721,6.20012129118688,6.03471921143113,6.81155002790569,7.51312131542594,7.20327469923127,6.63733812956711,6.36892467207982,6.19287031923639,6.36279069701444,6.79767272073137,6.88146911244734,6.01993006812199,6.12509352095841,6.77715607537728,6.85944386737846,7.02208969862514,6.24692834475847,5.92020578039758,5.52012145668929,5.69370511695932,7.20504543545367,7.06093096728834,6.86175725287645,6.31213129928187,6.68989114455785,6.27211643943536,6.85034937994519,6.20130080600701,6.41167684809204,6.31125594674283,6.55803214200433,5.33390357530986,6.78104912242384,7.16100717609621,6.63569342964502,4.5759401464341,5.45298163377767,5.13411089004155,6.73514067545022,6.15172106654723,6.59623322620156,6.4340351333949,6.68007527865317,6.76473928024811,6.8095211894043,6.90769965843633,7.88020294309863,6.25640426866945,6.14545404509003,6.93275762414322,7.56193667457596,8.42081918590136,8.10777689587136
"3","AC006548.28:sense_overlapping","purple",7.17652961176147,6.66044088379381,6.03471921143113,5.91840047500954,5.81990256127631,6.08497822073945,5.83914961003937,5.62182566140875,5.71613938158223,6.93416512712098,6.6547057095301,7.24939480665403,8.19847169397869,8.14461245922172,7.28304915685375,7.57879095071829,7.72515386434421,7.72615632721648,7.32215611914337,7.0304335776575,7.16074865067992,6.1650212539548,6.3855568984763,6.33597127973026,5.95381920845921,5.59756514561393,5.93444013451539,6.4171512848707,7.01536255601856,6.5403187959394,7.66335268761177,7.79960337030856,8.19005424686347,7.59094134267742,7.06404098246618,7.52799615032891,7.73473475861183,7.57908261844863,7.40310361637939,6.08670979238368,5.77911602343872,5.6027622628055,6.48601544353772,6.03524475174783,6.15463368969356,7.21913131490754,7.25091710836263,6.73284581620319,7.25917878289019,7.67361530831588,7.49865015869184,7.12927451392664,7.25360211630758,7.05432159794606
"4","AC074212.6:antisense","yellow",7.17652961176147,7.623386483433,8.07083615090604,7.49144769971604,7.6138125956858,7.82467426273116,6.61999897787541,6.64515357254557,6.52975547177892,6.34637233417454,6.60370072829161,6.10088184544689,4.91498579921052,4.8901342581329,5.58632913667167,5.96542151850783,5.61645325648762,5.89958229833102,6.89951430693433,7.2177464566939,7.10306966626722,7.15018483317439,7.3816195770795,7.41594631149859,6.78727262164258,7.14987296716918,6.77428474481986,6.82818227167741,6.40983014955434,6.81901131362744,6.09564635456098,5.69701491903052,4.95037545262973,5.46381214342446,6.43478451070569,6.03672978582519,6.56421167377872,6.58621775664774,6.9160083913267,6.77107821844231,7.03599229824718,7.22151885222071,7.34971851968911,7.26089231083595,6.98991423718202,6.31083177287043,5.87749609855207,5.9050812256757,6.28000408302529,5.137019227438,5.98553954909088,6.83253175687095,6.2954259902132,6.29450609026276
"5","AC084082.3:lincRNA","yellow",6.7817914437,6.87447202094072,6.85847402026073,6.63494869254618,6.70610124996342,6.55602932803497,5.92678722210645,5.81139322490205,5.91408185003671,5.88219083546907,5.55259031235802,5.81439883339084,4.63989682558189,4.6642213382196,5.71954840063021,5.53562184222112,5.55822259237176,5.50812625610856,6.78596770752978,6.54601806164189,6.63813989131192,6.85653007603229,6.96819684290922,6.56599818865738,6.18325237823939,6.66503473815612,6.38761339047655,6.35638108263319,6.2908758008392,6.19404710868987,5.27947817067452,5.66786460494591,4.75234386967706,5.03229012735417,5.42952694757666,4.98038832686383,6.30715909938111,6.2331690173645,6.26759803562623,5.64246278756424,5.38478579528385,5.74733325205163,6.17982688104025,5.9675951358323,5.60001879911417,5.9186231342293,5.58360342577018,5.85756230853117,4.94237933822303,4.34421287335654,5.65863640447269,5.48648066545968,5.54369060660126,5.45771501287354
"6","ACEA_U3.2:snoRNA","blue",4.98443304537135,4.87309330245478,5.1895309006724,5.47354891902261,5.43128260640685,5.44281589521928,5.64574077471697,5.47388497537867,5.4219759537336,5.83571358686959,5.98571047289183,6.00505009329063,5.37990685898667,5.49718151450599,6.09039263518827,5.92784854963602,6.74022531274139,5.82947128090253,4.70967396961004,4.83005615918482,5.05633438442649,5.54895847389345,5.38525393212041,5.22465017971585,5.70731258947044,5.64960167326725,5.77321829310212,6.35638108263319,5.79097494702373,5.96045388735133,6.09564635456098,6.13960101758877,5.76358185569784,6.61299629505708,7.13068318083081,6.5287491470812,4.81856928295743,5.35016415849592,5.24568577635962,5.53406089760842,5.17466850493112,5.44166392928389,5.19909106600027,6.1413142651443,6.0658019217148,6.6887344800518,6.29198791949447,6.80936323473876,6.45597695497623,6.09566873178355,7.5778118445532,7.32096382022002,8.07033775704189,8.03103958660236
"7","ACTB:nonsense_mediated_decay","yellow",6.62781121185095,6.92051500094083,6.83591686601103,6.69163675100606,6.41051518516655,6.52598221868161,6.52069595327345,6.47563079635011,6.37120017716467,6.37902288732019,6.16110525340093,6.19067931186934,5.8032204094007,5.96298022914917,5.87966850905712,5.51028101599186,5.46609711065278,5.55252720207461,6.61355787873991,6.65107812904665,6.67824015405501,5.85603412044334,5.84621002125522,5.82290758168117,6.50919658155435,6.44896718151077,6.30187639013868,5.9662272708093,6.25317160965022,6.09258259636132,5.49274684169341,5.66786460494591,5.61165224023314,5.6254737507254,5.45453918966021,5.52349232715022,6.69693116428716,6.86009176782585,6.73063530083119,6.62159357302079,6.70015653293525,6.80737063942432,6.20489706301645,6.05709917190662,6.23826077413112,6.29584196529336,6.31658541733819,6.19956070109858,5.87702960800395,5.86222398714352,5.79855657479996,5.016974927292,5.27096762067744,5.35925712531515
"8","ACTB:processed_transcript","yellow",6.03170130232396,5.99942324206743,5.82046842053682,5.96534259560527,5.84580336858287,5.95526300612026,6.03582294003493,5.90385580101664,5.85111928173572,5.97082055596265,5.84572749607073,5.72068733352925,5.45678176324385,5.61169646735504,5.53897379039425,5.25890127900825,5.10608993920052,5.26222606456819,6.19042618364473,6.19484748876579,6.21554970610401,5.26478795536703,5.14802465340168,5.32074957004423,6.10402679083535,6.08592487894857,5.89581739265982,5.69760182463427,5.89292287090439,5.76271391608631,5.18412330724013,5.37421457742142,5.30569604971387,5.248156842569,5.13568761086673,5.20959146388422,6.24169026255214,6.36946420425036,6.26759803562623,5.90374326186052,5.99175373911388,6.08544405531216,5.88596895805843,5.5395686973761,5.70227934120213,5.85848022448012,5.91029347663952,5.75746913490464,5.52654589650736,5.56439585703816,5.50332199587405,4.61314564332802,5.05411274693826,5.01365036865685
"9","ACTB:retained_intron","yellow",7.42502362346781,7.52261835169017,7.48383164017493,7.30450709921858,7.10816691805714,7.22210293632104,7.42636194091175,7.23605577978998,7.12690997276063,7.4064896971826,7.13326590030043,7.24939480665403,6.74370735469802,6.8698125244688,6.7972261528458,6.38071441788393,6.53106899071797,6.60134230078047,7.67259362576301,7.66675684570296,7.62746427110262,6.85653007603229,6.91948619817211,7.13318507576235,7.6876193098906,7.51185568270365,7.32967515091066,7.28384767129666,7.3774766749264,7.28084701093557,6.68151379974678,6.61978819473574,6.60809493882581,6.56113106306238,6.45944673236059,6.54256146134469,7.76754341235234,7.86298314309203,7.74794739131045,7.38706952128801,7.30241453954467,7.46659526252086,7.26320294061649,7.1839106792931,7.24623126970778,7.2735387277698,7.3131665969431,7.30807001384825,6.86708622750828,6.87657582051648,7.02046162622541,6.15043718753098,6.43448969914605,6.58037508714232
"10","ACTG1:nonsense_mediated_decay","turquoise",5.54661798059881,5.48569522593597,5.51160099888068,5.37190390885546,5.24761850988345,5.47496387659314,5.92678722210645,5.96640157658491,5.81855946228423,6.09420755559227,6.08856041269211,6.10088184544689,6.20798251267611,6.27927834335757,6.30237710393785,5.80877625802681,5.89983625128169,5.89958229833102,5.74785974288777,5.80864086996135,5.8072660331619,5.41406508315987,5.3105773456004,5.32074957004423,6.20239053149455,6.29525598065093,6.14646460893874,6.04556211856449,6.01839011300779,5.86502214237724,5.93137484157832,5.78102807610801,5.80415541671659,5.65070287300789,5.74475411712763,5.9141265089251,5.94490773989683,6.1139271896869,5.88135415052149,5.58930316567801,5.24828727656831,5.42256877792837,6.00516714927173,5.94431162251585,5.92122412239723,6.28069341138618,6.09263189594177,5.9050812256757,6.34855358563392,6.42256351412448,6.34502319805318,5.8759830172705,6.14137114191409,6.00302508599958
