,D0,D0,D0,D0,D0,D0,D0,D0,D0,D5,D5,D5,D5,D5,D5,D5,D5,D5,D9,D9,D9,D9,D9,D9,D9,D9,D9,D16,D16,D16,D16,D16,D16,D16,D16,D16,D26,D26,D26,D26,D26,D26,D26,D26,D26,D36,D36,D36,D36,D36,D36,D36,D36,D36,cluster,name
SNHG1,1.6770568471182743,2.0400390968441635,1.8807704270296066,1.2135764526032682,0.7097619069116738,1.0814262403792987,0.02849599937483432,0.04672674646538022,0.09505494897171626,1.370908927024643,1.4271863092772374,1.594664151819452,1.6939027394228618,1.593838612513056,1.2661524662781207,-0.14988848611731706,0.3345506922924635,0.21218986848369498,-0.18320278755581879,-0.40058975886557985,-0.5376713815618168,0.7595675490075243,0.954393842031898,1.0741600778065237,0.04010796428534042,-0.07925742783890684,-0.04966521113776481,-0.07086817018467369,-0.5837681012731434,-0.9195825504491766,-0.03465993035595866,-0.4317890978813995,-0.36234668196930586,-1.0164666128675421,-1.1794712090917745,-0.6701468057253278,-1.5684461709708262,-1.6378343679202867,-0.023572460172818298,0.4920579715243892,0.2602263397243387,-1.2412203413494738,-0.5840893638717142,-1.2120392972601906,-0.5885860245836353,-0.9067519152260244,-0.8156012201821272,-1.12672271798379,-1.5978129871259688,-0.830098649713885,-1.829169783917075,-0.5779650414303592,-0.5715072479012252,-0.06602437470471491,4,SNHG1
GAS5,-0.7944944930969642,-0.41471578321426067,0.022594809743063205,-0.4772766594898003,-0.6748383360772432,-0.43815734987005045,-1.287331325965386,-1.1842395098492842,-1.0103185855944887,-0.5150716881479952,-0.3471856626826967,-0.4988611607364496,-0.18998567456135518,-0.16560746246986502,-0.3233463712401642,-0.8453670659899808,-0.9696026103921904,-0.8627486785335942,-1.0479039687468528,-1.1372662520785428,-1.200712436925009,-1.0531679336248996,-0.9846799463154119,-0.8609861696666106,-1.1022116243465485,-0.42895842289491376,-0.5129091059814829,-0.4136431744048157,-0.23011891915080923,-0.31228239453821854,-0.28870875355048087,-0.9598252926540992,-0.3343110851138013,-0.5319173953970926,-0.6489303548452321,-0.097815624864888,0.4227634387260341,0.481544576584876,1.6159392624642601,1.1781032736176582,1.0080693543059902,0.6678006403939695,1.541745096588373,0.823784954369701,1.8873505889441982,1.2462936345556,1.1564964425075057,1.0158946983346129,0.9979302737448607,1.6069931208755406,1.2217370381365424,1.9077990937240932,2.0721643190749797,2.2704926563196786,1,GAS5
RMRP,-0.8803630692938896,0.025819784517714887,0.33933795610320944,-1.7525287197143093,-0.9605729547713956,-1.1707516719706275,-1.3049988124012395,-1.8772474674746382,-1.09831305220542,0.3871549975964187,1.4574709497240492,0.12702008401679007,0.2661425317973447,0.3372343326527889,0.6159004682683552,-0.5893494733749957,-0.5048926666976816,-0.5779132841223134,0.6265496283324952,0.1569003910185163,0.4051535272716948,-0.07258185345565213,0.33149441057422857,-0.4992126470120097,-0.21070352480442692,0.11039249926079772,0.25501640041001306,0.541318987505353,0.3536120453052152,0.42895521759100164,0.6415366232582004,-0.028041991519675125,0.7668049334320598,-0.09176617432699484,-0.5239932243827172,0.7211105899342367,-1.295936847834094,-1.2683323289115156,0.9200025544198367,1.7632736821813395,1.9598984781472115,0.7054310946884377,1.550709022730272,0.3944942452368884,2.439514911967722,-1.4662441443635246,-1.058305511343154,-1.8940344070408202,-1.624826877460041,-0.6475837494875174,-0.48544143787132704,1.5008967682777912,0.8093881664017777,0.9454006092183689,5,RMRP
SNHG5,1.2422832618912303,2.2116715201129593,2.836924862958753,1.3703950847647626,0.3640898853777095,1.0895539082743046,0.023324039347228934,0.30062559751273066,0.14423739715517517,0.7642136477658761,0.7679377429162637,0.7856948013146005,0.79051957123378,0.5709320950430241,0.9372894661444681,0.14748448511725204,-0.05808139923177003,0.6064828276325773,-0.23987863049179925,-0.3449142617062232,-0.250908035871975,-1.0048079456335477,-0.8660404371101006,-1.1159283375590867,-0.7694730680674129,1.1867191708640354,0.7128290326917899,0.24006855190658005,0.450906355277836,0.298917102515374,-0.3353139081355995,-0.9393372079994559,-0.2574226657231559,0.5285072148010332,0.055051621612095876,1.079922245449905,-1.606684617225784,-1.6084006158498916,-0.554727195721486,-0.9240426193499959,-0.7710946984694974,-1.061062466458271,-0.8678095591569397,-1.297788674303196,0.7822925909313996,-1.8822797541877545,-0.8694364590308906,-1.5950741724604058,-1.0253201978117557,-0.3980828749871246,-1.3159964159078696,-0.5217145113534883,0.9947234847211193,1.1980231644708166,4,SNHG5
RNU12,-1.4732714634498583,-0.9434100515287731,0.4342840907278417,-0.22193363910905606,0.4446585892381645,-0.5338086801565236,-0.4113083910470331,-0.39879138552142146,0.5551663288576465,0.9637272660446675,0.7631017052238285,0.3186358940126289,0.5875839505449408,1.4096457860774692,1.5900874435402303,-0.03863723268931223,-0.8755620555759367,-0.8610588777750304,0.646925630219625,0.5786151527195498,0.5613526078911008,0.8650433581205467,0.7037017137579782,0.7276979077719061,0.2449112086279307,0.4367468083749702,-0.09292435117474342,0.9436087590210576,1.0665495469425625,0.623137265747304,1.161396545728667,0.6026679807211988,1.3494659365308261,0.5853200969902034,0.8345934476248664,1.0489170605904063,-2.1522937252213077,-2.3409543511474533,-0.3176463669665391,0.6014010054928479,0.3527066655113628,-1.050084397406437,0.5647211048091478,-0.3845229312784706,0.9930994204076697,-1.5297926278859626,-1.1410655463359323,-1.8439797679350514,-2.334251989581244,-1.2660361296275224,-1.6116576785623902,0.1880588579593345,-0.4443653931463911,-0.4801721027062746,5,RNU12
RP11-403P17.4,-0.1639562428565496,0.6958896347430935,0.8429695047210594,-1.3134562166587271,-0.9249798106597718,-1.6732784882242993,-0.5399204225201947,-1.4435396004743244,-0.4941761977684031,1.4311740087529365,0.9719035015925396,1.393298501245356,0.1578546213292795,0.5447101276139711,0.648638650708247,0.9151430666698882,1.4962839210322967,1.1190040542748183,0.38582343580284506,0.8892945231026218,0.9437970978163399,1.343353546866157,1.2367879354033093,1.0045896793119218,0.7446771129928922,-0.06915703665314933,-0.04925579108670955,0.7393371372025009,0.7389301230416562,0.25451488968275426,1.2430477798182935,0.4869966581689076,1.6103791540774504,-0.30682653384997943,-0.11176832645977611,0.051700514764094034,-1.9849484526275216,-2.1464501191248755,-0.5830736639563913,0.355945221427162,0.006335844944307757,-0.6717549256425801,-0.0391051307509485,-0.984332347875815,0.07217938748725507,-1.0920899307680159,-1.2265373010801517,-1.1624198444465221,-1.8618241547785932,-1.5264039083040184,-1.1580608564504238,0.3406959833466844,-0.6188377853758302,-0.5191025295471821,5,RP11-403P17.4
MIR17HG,1.112974920075631,1.3636005145063599,1.6124570266111906,1.2049441826878247,1.1667742249392004,1.1362008024220125,0.36064672063060993,0.38636176965780433,0.8355366645745532,1.0072773112706668,1.372321108161144,1.423743141351574,1.2049695530227442,1.0598821653779953,1.0691224272153907,0.854827859217833,0.5331336186598103,0.5324976364056144,0.8638934011204297,0.7946528265050264,0.7317469711112955,0.421472188985453,0.5293183950629925,0.4145414847079299,0.7359513451797605,1.0497642029616807,1.0339349658007733,-0.4701693600625134,-0.605882672017146,-0.543261553543378,-0.4126960046356162,-0.6437989434739814,-0.5621040776975119,-0.3118128655434126,-0.6131066372457057,-0.050146852603998114,-1.6652314549341327,-1.6138533480853907,-0.7703986496734561,-1.122788084213171,-1.1674170039639233,-1.5498169384937934,-1.109381885334282,-1.3536013881436688,-0.5429144144883852,-1.0978365928280889,-1.1425070533763138,-1.195021946877171,-1.439526894179298,-1.2766820223109578,-1.454222873753219,-0.9054347254334889,-0.8435296305776638,-0.34940355473367407,4,MIR17HG
RP11-701H24.4,0.24749360162975748,0.5765345269890408,0.7085003760844996,-0.23607318662185603,-0.4635597754356436,-0.02056301246093773,-0.012551125126625819,-0.33862389737627263,-0.20215698738694887,-0.3121161902310683,-0.2576657216397809,0.05632133327866204,0.31429584181742093,0.13191041203774614,0.07678011018606201,0.17271577797824195,0.05659021154779893,0.12453007491913079,-2.1045068292149867,-2.138774944493039,-2.4152765126045868,-0.8340066310912182,-0.8693371344888713,-0.513585968572736,-1.0101219850388818,-0.9885044958022958,-0.8667561784407403,-0.32947481105044124,-0.9870494265170734,-1.0829971016901225,0.3374451621076327,-0.20329998013072853,0.33230034014400095,-0.26170021869132815,-0.3180477805416235,1.4252926755778712,-1.1520677139997073,-1.16396515093291,0.403614385754775,1.7965258866501064,1.673538646469176,-0.2842410969643374,0.9394807816411187,0.4368641165923027,1.2323569321156373,0.05846563779061535,0.9905853356574696,-0.04243362513068922,0.17695854925635743,1.0699301737912126,-0.3110716582764573,1.4694967731429829,2.076447210117925,2.835554266674613,1,RP11-701H24.4
SNHG16,-0.2822067592716212,-0.10271511375505872,0.08156101632013922,0.16758117895203595,-0.13578203108056344,0.2102799997507837,-0.32415167791594907,-0.4518100463874042,-0.236966859454752,-0.5757818759361786,-0.4552876497651611,-0.43878983963375184,1.0321385903212872,0.522754015837203,0.5928873671754328,0.2804764106408013,-0.8804643524666882,-0.7188894097055101,-1.2994049783793216,-1.5168906970889648,-1.8370476092443044,-0.8963656996374179,-0.3415078462274438,-0.38700498709197445,-1.212074914939927,-0.2642132659013073,-0.2705350950037473,-0.680847041979212,-0.64567533895327,-0.7861859679407256,-0.33608042330026167,-1.3513213297782043,-0.1792351258749501,-0.06814590404027705,-0.42266687493428357,0.7090680538078526,-0.9786904117922508,-0.4982128710934494,1.1163976361505341,0.7257530769633224,0.5881457277647125,0.027970145066423212,0.9682297213066766,0.276316598301475,2.3480203715919217,-0.33034104165272477,0.3363503259694944,-0.41305208433720464,0.011206839276680751,0.9331771999290627,0.016158144179294398,2.0272579286159176,2.965236004674739,3.3813787719684942,1,SNHG16
RP11-160E2.6,-1.1003728421960277,-0.8473844957632324,0.21480867999162367,-0.6657506648209403,-0.5909129876527419,-0.44626270563805875,-1.0729464062748293,-0.6047538993136824,-0.338184052632785,0.13864172097798494,0.07654030354942419,0.21266360367536558,0.7221403392622414,0.6477337415146422,0.7845530955402018,-0.07667513417717736,-0.12265175590535463,-0.44914290781534194,-1.1067671705933617,-0.862349187934063,-0.8055088592870454,0.20890263810987472,0.5182286679687024,-0.14622688711872,0.02296485368497271,0.993919909868942,0.8173373031896423,0.14713112668986406,0.13613216277603837,-0.0424770912964006,0.0045402433242746265,-0.22468043282351394,0.25212244192987726,0.40990262102798447,0.13726012911944258,0.5696141530735539,-2.6555797379112414,-2.4472645179305186,-0.38342972948898646,0.8955187882233132,0.504901217260489,0.1456396521267174,1.4449017156091124,0.4821300112652199,2.4377247978961036,-1.337447569656881,-1.218122036591172,-1.6277959979084395,-0.6766440195822526,0.677901634513742,0.02646608055619953,2.11567448047795,1.969230503077823,2.134104474031379,5,RP11-160E2.6
