"","Row.names","baseMean","log2FoldChange","lfcSE","pvalue","padj","D00_1","D00_2","D00_3","D00_4","D00_5","D00_6","D00_7","D00_8","D00_9","D05_1","D05_2","D05_3","D05_4","D05_5","D05_6","D05_7","D05_8","D05_9","D09_1","D09_2","D09_3","D09_4","D09_5","D09_6","D09_7","D09_8","D09_9","D16_1","D16_2","D16_3","D16_4","D16_5","D16_6","D16_7","D16_8","D16_9","D26_1","D26_2","D26_3","D26_4","D26_5","D26_6","D26_7","D26_8","D26_9","D36_1","D36_2","D36_3","D36_4","D36_5","D36_6","D36_7","D36_8","D36_9"
"10","SNHG1:lincRNA",13986.3959662063,1.51653950564597,0.361584128478849,9.70326768577487e-49,6.66876889968517e-48,29875.0949263267,36382.8736250999,33369.0336598008,23228.249881974,17668.4550335608,21619.8258796487,12203.9347923898,12325.3927649442,12653.2444479015,25299.859332912,26084.8853625052,28568.0847484306,30149.5970497334,28555.2825704085,23900.9376382058,11076.8055516056,14411.1289022924,13484.4818449368,10878.1351570264,9666.3248132019,8972.49727680433,18152.8713966043,20178.7287525499,21534.6898118072,12281.1576988897,11510.0865808724,11696.6135766662,11562.6622112657,8750.54257250494,7290.81473223706,11792.3464398348,9503.84409275407,9869.27817743428,6916.81034676288,6330.28646637649,8349.29158874794,5123.53847628276,4933.79017171975,11863.5864697141,15698.2216333826,13840.9459412865,6121.30573217319,8749.01510345139,6219.1920526048,8727.66329590801,7341.83634324145,7714.7123954392,6514.43762912989,5042.35923951162,7654.16623802753,4446.11730105248,8778.17959702974,8809.037291793,11593.1275583736
"59","GAS5:lincRNA",12354.492506169,1.54794958175855,0.373531229032642,1.09155484533785e-122,2.38821636725935e-121,4931.2364812063,6569.57833425717,9139.51834530807,6266.41954255525,5397.77284276105,6454.30626247769,3397.59895028299,3673.05165253861,4189.14699155614,6090.08155097026,6913.27110798174,6165.09903352765,7784.48767120959,7929.08354897845,7038.84068273843,4745.2874125878,4320.06214959543,4683.3715302678,4071.81355220755,3805.83880807557,3627.58754896717,4055.64444203086,4271.11441122754,4689.61294479216,3908.04343785199,6499.29854307215,6100.03641498306,6574.90170505022,7552.15687250758,7097.88963708525,7225.35818938655,4352.10238340166,6980.80546237884,6013.09005810136,5504.45108696684,8345.43777310577,12361.8562052706,12922.5116948621,30408.6810597452,21856.1077807426,19225.0769943766,14872.3919947054,28753.7573851881,16729.7878178066,37316.1755635845,23009.7378235929,21502.7702491631,19338.9025628181,19078.5916406812,30204.1916768304,22587.444755078,37896.118187212,42897.2142534737,49817.8803260029
"114","RMRP:lincRNA",2303.8647250479,1.11501001349472,0.358970527823492,2.02109233564875e-18,6.14022789094631e-18,1560.61164552949,2175.30047171313,2439.83996715714,1132.89290164922,1515.35835954562,1402.86656724569,1335.39559318308,1082.09927447995,1440.66799412287,2482.90996044123,3672.32636451005,2257.41041920763,2375.34781844432,2437.96236295949,2699.65600592448,1736.36411349493,1790.95879327103,1743.65871360265,2710.19340716407,2282.23888657023,2499.31709960542,2098.31318393644,2432.84647064567,1794.69113721697,1994.80295201796,2243.71068809365,2365.69439050609,2626.99232910585,2452.6185005771,2521.18022073389,2725.09256620363,2132.8183865677,2852.86140760955,2083.62272702249,1778.46433047521,2805.57778749527,1339.84686589332,1353.49726642452,3017.25745313999,4106.47633223589,4412.29591166227,2789.53355323125,3799.60813746734,2489.58729570529,5256.98376042576,1258.60051598425,1461.97733034685,1075.43713717898,1187.34980041815,1699.68717218846,1803.77234460145,3731.07024139815,2897.6401876539,3045.41004860185
"126","SNHG5:lincRNA",899.733505151588,1.95500480594787,0.490175764188172,4.2283744519189e-26,1.61117695056966e-25,1534.68376217812,2643.40310486659,3751.38869766134,1649.17643294807,936.16365808691,1408.4668329832,772.276969551662,903.233756544654,826.896375108951,1172.92666531244,1175.38804038216,1187.19485858114,1190.4231543824,1051.9548238472,1292.89992411191,828.414582197531,737.526351526523,1073.23743115123,665.391029067415,626.930811407797,661.245705033643,430.670814558515,466.163640434637,404.166368703018,492.536133002216,1487.51551161863,1139.4820074688,872.881278844845,983.141666502682,902.36328596006,630.353241795813,447.074124399955,658.809187748946,1027.10343837932,786.254317358335,1400.86198592655,304.91904785418,304.617532552471,556.536816813932,450.993245155025,492.081429961868,417.047554902138,465.693630327183,364.18423270509,1184.92362995539,260.015062237557,465.261814447651,306.966707346319,425.653702036696,608.305181651183,360.400267183501,567.073764669691,1335.34238155999,1496.99330719265
"133","RNU12:lincRNA",2869.68261793705,0.88305527400416,0.392943785200855,2.06289027392677e-17,6.0454996631524e-17,1419.86027876496,1777.46070844478,3183.64979514171,2412.32916371078,3197.6374143033,2114.10031590918,2226.59202362585,2238.41660619447,3350.48723705233,3981.59441256356,3658.11614640526,3031.79403624631,3396.69239547217,4806.41686280481,5186.7805174744,2606.7802980261,1829.28790793544,1840.55994098218,3482.9247002789,3383.84588375822,3359.25595851874,3819.06518291239,3567.47118038281,3603.81678760191,2938.77785134057,3186.96467138091,2547.61664169851,3947.90937594438,4158.2820308646,3448.09760971327,4328.19147918295,3418.40784773579,4685.85453808822,3393.44517071544,3770.26387675242,4127.43655275746,1064.12816884654,982.057430967194,2316.60366447893,3416.57855721496,3075.76576473034,1698.9119547763,3364.04024063841,2251.97200944853,4031.28856470846,1386.21527045667,1634.65181818309,1213.11556884918,984.86271544118,1550.30495897907,1338.882565065,2868.99583904315,2195.66178153738,2162.64109455122
"140","RP11-403P17.4:lincRNA",1700.9425825614,0.637683864846051,0.408333419467913,2.04045249638363e-39,1.11607814973564e-38,1343.31128982285,2177.19946819652,2364.38099910073,702.280873360662,874.825330328262,572.627171660168,1087.06377779283,652.376723091825,1115.44515202981,3287.3727876242,2541.5990096001,3218.38085033927,1609.68304131846,2000.16656841953,2120.25467007002,2462.00881764207,3409.4365705522,2759.99484262985,1829.52880986896,2426.59102297841,2501.87263856207,3129.60562776715,2948.26513723944,2588.58936145504,2237.59354903061,1416.87096223741,1432.81400939147,2230.90273711143,2230.39357950963,1699.49470183731,2958.62176163216,1936.42750433504,3634.33176544989,1239.55124584044,1383.32457542055,1516.47645519147,479.559607490736,437.340451425559,1060.9462182789,1799.09737796978,1478.29890963492,1009.20900026042,1441.01425233317,845.982061873956,1534.03016179172,795.997031021723,737.703784144832,764.958224943116,514.403360558517,622.425888372469,766.846760149661,1783.76033253242,1039.77252635304,1099.89012074269
"185","MIR17HG:lincRNA",447.121320134687,2.03512813005242,0.406333588987502,5.22208484213871e-175,2.0239308823889e-173,890.190661730031,1147.94337420392,1476.83980338967,977.331488288433,940.185843513707,911.443248779388,412.720481916196,423.785106809365,671.204589000571,799.497007262078,1158.13277554062,1220.06507453534,977.356654464069,843.431234504708,851.391045917139,684.536752926978,492.714586895758,492.393446102978,690.891754780338,643.789455075906,603.746078508978,439.36148122001,490.791153514203,436.243064631829,606.344225351894,834.799675082293,821.470630384379,173.463123426128,150.089082815202,160.478601876279,184.365154285683,144.109350443764,157.283274552676,205.093844895154,148.932131786306,269.767094951468,45.4851618346014,48.3885641724802,125.7190605475,85.3230463806804,81.1574800980952,52.2269497851665,86.6114838074815,65.672566553377,160.538040187505,87.7351436997891,83.4593357875168,78.6733895258301,59.453654737919,71.7183262423203,58.4432865702975,108.523550651073,116.116728831304,197.123164496743
"190","RP11-701H24.4:lincRNA",833.05863976662,1.29726999011211,0.444909392107548,8.09642012930722e-23,2.80531134237682e-22,824.753622795646,977.033690699614,1045.6457002102,642.536272577171,571.150330605118,718.23408083537,721.211553992539,609.330249895777,653.905501655195,617.747998157779,635.399752400025,747.314027429335,853.640622253427,777.03566376879,755.245846081029,793.562188771745,747.417735956049,774.083060578366,241.960374206333,237.601509197409,205.082001271304,471.227258978824,462.645424280413,556.53067436487,429.941682209893,434.812226473137,463.267128036512,612.222788562803,435.141992037873,413.912022325703,863.882437224345,653.519147361254,861.595799593591,634.074994576254,615.854490900129,1510.69573172822,399.25864277039,396.786226214338,893.831857307223,1827.13209320914,1715.60749068125,626.723397421998,1177.41408422344,909.266535098119,1368.39567588397,748.141498094565,1208.72141485369,710.167828666198,795.300338015931,1258.97248346622,618.082030697994,1545.31422124274,2108.5742349139,3108.26091264429
"279","SNHG16:lincRNA",556.295737697266,1.56681970991496,0.347423691624008,1.27878183947126e-19,4.02008705734129e-19,460.528594764634,492.789587437415,528.212776394844,545.592203381317,486.684436642389,554.426308013268,453.29300386728,431.949093105167,468.45928531277,412.163053433245,431.381621038356,434.080204806949,754.667796484914,623.49590644198,640.124619961475,569.255759287839,367.217646946148,390.421805662888,313.125190149372,288.177440201735,254.915010926013,365.007999782778,450.33166774063,442.658403817591,323.720796016861,463.667042417579,462.562003031891,396.08959199442,401.401035436006,380.588596799481,451.255663346863,306.986430247645,478.774244550285,499.252347533623,436.733413481464,668.637013915425,353.773480935789,424.436834312898,778.84491168451,672.833165744794,638.986742038167,517.661237576503,736.825231811473,568.366212352862,1233.33986429766,452.23478616164,581.337442382013,438.323170215339,514.403360558517,727.216396146222,515.363527028987,1094.4065107911,1551.74173983651,1811.24762740485
"304","RP11-160E2.6:lincRNA",543.074892647976,0.948685059053708,0.282573195686564,1.21688690205703e-13,3.09193553292506e-13,365.459689142981,395.940766784975,553.365765746979,419.339462102995,429.368294310538,449.421325434998,368.650328762433,427.496009671093,464.999467843694,540.281207392013,529.838132192992,552.993044876558,648.821857815809,633.870214369467,661.63078308271,504.912879117157,497.660279110521,449.013245473768,364.719681708075,394.070795742044,401.219616194326,552.340147819441,608.651394680696,493.981117303688,520.988156089635,706.445493812191,668.458504381452,541.724406849511,539.855305629875,510.374569901608,517.978290612158,481.928478925889,559.888889288143,588.317005276937,540.046694089982,618.537410567295,222.371902302496,237.795229647617,458.414623215883,685.022172370606,606.112826049066,541.470582331506,813.394804452869,601.799518961854,1108.47694415182,338.976691567367,352.064094643893,309.074030280047,417.898877505663,639.890973001427,521.562057422806,1002.69646798738,957.963012858256,1008.47068213551
