"","D00_1","D00_2","D00_3","D00_4","D00_5","D00_6","D00_7","D00_8","D00_9","D05_1","D05_2","D05_3","D05_4","D05_5","D05_6","D05_7","D05_8","D05_9","D09_1","D09_2","D09_3","D09_4","D09_5","D09_6","D09_7","D09_8","D09_9","D16_1","D16_2","D16_3","D16_4","D16_5","D16_6","D16_7","D16_8","D16_9","D26_1","D26_2","D26_3","D26_4","D26_5","D26_6","D26_7","D26_8","D26_9","D36_1","D36_2","D36_3","D36_4","D36_5","D36_6","D36_7","D36_8","D36_9"
"SNHG1:lincRNA",14.8671512438596,15.1513788194269,15.0266659776298,14.504230167263,14.1097260641957,14.4007520096961,13.5762714466157,13.5905467480946,13.6283893914753,14.6274269015291,14.6714940258279,14.8026349319823,14.88034215645,14.8019885063354,14.5453989927664,13.4365902642203,13.8159227888636,13.7201100588421,13.4105040213345,13.2402825522077,13.1329429307711,14.1487255935478,14.3012812762703,14.395062354697,13.5853640141905,13.4918968101172,13.5150685327427,13.4984658871607,13.0968476151047,12.8338933610004,13.5268181832574,13.2158523975804,13.2702281956563,12.7580298106668,12.6303916101043,13.0292101210795,12.325810847671,12.2714775049061,13.5355000534362,13.9392564013036,13.7577242666163,12.5820399175126,13.0965960554497,12.6048896778529,13.0930750155827,12.8439401893101,12.91531431596,12.6716954913651,12.302815621419,12.9039623304266,12.1216552988616,13.1013916103861,13.1064482846441,13.5022587454805
"GAS5:lincRNA",12.2707321336602,12.6838365898808,13.1595213768425,12.6157859696065,12.4008881703015,12.6583380155945,11.7346486551775,11.8467868228241,12.0359693835365,12.5746744108082,12.7572925077476,12.5923074190236,12.9282868629362,12.954804273701,12.783223707343,12.2153954704544,12.0802582032037,12.1964886138792,11.995085866728,11.8978820043162,11.8288683892603,11.9893599866512,12.0638578245207,12.1984057836629,11.9360126908197,12.6683441523973,12.5770267604968,12.685003320578,12.8846319087456,12.7952585527942,12.8209007909923,12.0908934848095,12.7712968350763,12.5563504854493,12.4290695881117,13.0285448744278,13.5948049763987,13.6587441845726,14.892682495634,14.4164262090661,14.2314717396647,13.8613442986796,14.8119777595566,14.0310163037896,15.1879102836062,14.490600303721,14.3929233691645,14.2399837610223,14.2204429503914,14.8829513262448,14.4638888553266,15.2101531535402,15.3889414986297,15.6046732333968
"RMRP:lincRNA",10.6173385671914,11.0937827723364,11.2586213757499,10.1587796038194,10.5751665762181,10.4646608086093,10.3940776234978,10.0932061664128,10.5027468973834,11.2837621651952,11.8465027102414,11.146990903623,11.2201373814799,11.2575153526128,11.4040297839174,10.7703449287781,10.8147498256013,10.7763577396313,11.4096287980467,11.1627010873448,11.2932252610029,11.0420460946979,11.2544974709559,10.8177362123476,10.9694257955582,11.1382486102004,11.2142875899032,11.3648170420616,11.2661262706565,11.3057394874392,11.4175085177466,11.0654638398341,11.4833708988539,11.0319595448693,10.8047073159844,11.4593461613786,10.3988421370693,10.4133557785724,11.5639176874569,12.0072847634263,12.1106642791959,11.4511023454445,11.8955245377852,11.2876209250401,12.3628324477117,10.309299585934,10.5237816818375,10.0843800889332,10.2259214642866,10.7397270647588,10.8249767077568,11.8693347242401,11.5057599062153,11.5772712352313
"SNHG5:lincRNA",10.5933271384904,11.3737667055312,11.8771485487119,10.6964679953434,9.88630716715138,10.4703670865192,9.61196182916866,9.83521304575697,9.70930731258744,10.2084406500283,10.2114388617171,10.2257347961384,10.2296191441433,10.0528326466874,10.3477813276309,9.71192149313045,9.54642356346292,10.0814539943413,9.40006141057893,9.3154988404698,9.39118180605864,8.78422859182666,8.89594817719696,8.6947672745183,8.97369307976489,10.5485933439798,10.1670716872821,9.78645950036038,9.9562017708937,9.83383756272969,9.32322793737246,8.83693807504933,9.38593697783077,10.0186770285571,9.63750521733747,10.4626127830182,8.2996669468867,8.29828542280501,9.14658167648144,8.84925151297517,8.97238753008635,8.73893894291233,8.89452388426524,8.54835431638032,10.2229957289216,8.07778954374618,8.893214092216,8.30901433727336,8.7677144932978,9.27269360822444,8.53369554384597,9.17315968057474,10.3940205720319,10.5576940152552
"RNU12:lincRNA",10.4819070018043,10.8038976065982,11.6411062806133,11.2423304140323,11.6474107424492,11.0528075863123,11.1272495843336,11.134856022713,11.7145650079117,11.9628427278971,11.840924912762,11.5708282192828,11.7342648188023,12.2338222155967,12.3434745078929,11.3537175039992,10.8451280430093,10.8539414551327,11.7703260659474,11.72881458489,11.7183243375828,11.9028736671559,11.804828230221,11.8194104376614,11.5260265871934,11.6426028454259,11.3207278547808,11.9506169456485,12.0253266296641,11.7558701540973,12.0829640454391,11.7434312081447,12.1972516223888,11.732889101381,11.8843696114239,12.0146115732044,10.0692730869404,9.95462622329636,11.1841669047902,11.7426612820643,11.5915326300473,10.7390728498366,11.720371333902,11.1435267960658,11.9806918437879,10.4475597488982,10.6837846659652,10.2566318855611,9.95869917030797,10.6078414989593,10.3978113116923,11.4914780762736,11.1071612294182,11.0854019093253
"RP11-403P17.4:lincRNA",10.4025394975788,11.0950357724303,11.2134898637027,9.47676376202245,9.78963199926163,9.18697277835993,10.099748264083,9.3719981743059,10.1365894074342,11.6872136303736,11.3173297667147,11.656709735966,10.6617171368059,10.9732799458942,11.0569811264994,11.2716164699869,11.7396513670471,11.4358005152696,10.8453169643075,11.2507987623058,11.2946936403791,11.6164854402448,11.5306604210317,11.3436543173109,11.1343278686391,10.478888176877,10.4949160939476,11.1300271986714,11.1296994006351,10.7395646644905,11.5357019279476,10.9267991013142,11.8315405368628,10.2874756857058,10.44457021336,10.5762235323453,8.93596234154206,8.8058933311004,10.0649938275952,10.8212538703352,10.539688072121,9.9935723729291,10.5030911572385,9.74183109447642,10.5927166544773,9.65504609418292,9.54676587149389,9.59840431162422,9.03512327238482,9.30526153465322,9.60191492094161,10.8089725524384,10.0361903856046,10.1165144238212
"MIR17HG:lincRNA",9.81446418624721,10.1776504983357,10.5382731996039,9.94773859259621,9.89242578139357,9.84812125376876,8.7242510942554,8.76151526052132,9.41242313742069,9.66129577251979,10.1902876763378,10.264804321922,9.94777535723071,9.73752646637446,9.7509167054164,9.440378374212,8.97420513634396,8.97328352237241,9.45351542327583,9.35317759066709,9.26201952007532,8.81239443645087,8.96867642332058,8.80235102116263,9.26811215844306,9.7228643347427,9.69992588633442,7.52029972186615,7.32363498224898,7.41438043515854,7.60358545351003,7.26868979267314,7.38707537530014,7.74977712767655,7.3131665969431,8.12896232005175,5.78851252774887,5.8629655188365,7.08523175236201,6.57457752552565,6.50990490973162,5.95576189700285,6.59400470310904,6.24010158013833,7.41488348096059,6.61073520590079,6.54600239254765,6.46990206231754,6.11558529630746,6.35156689503732,6.09428907300631,6.88954840858547,6.97925625806207,7.69530374555097
"RP11-701H24.4:lincRNA",9.70560965600486,9.94730347641534,10.044237710954,9.35041036172698,9.18331229426769,9.50871126996022,9.5145963240957,9.27508273176429,9.37532317692751,9.29455371095404,9.3345497745519,9.565185920435,9.7546785936311,9.62070914511182,9.58021371658612,9.65068233089908,9.56538342235979,9.61528799006198,7.9779705511815,7.95279923946465,7.74969769435017,8.91120414934717,8.88525247074099,9.14656603929441,8.78184032421789,8.79771924127226,8.88714828697389,9.28180310438949,8.79878804830325,8.72831061408513,9.77168270232894,9.37448360269326,9.76790362325431,9.33158627387259,9.29019671882091,10.5707505424998,8.67757546571729,8.66883631880923,9.82028666379486,10.8434362971649,10.7530972127224,9.31502909035731,10.2139021276158,9.84470993109806,10.4290314633907,9.56676099851701,10.2514404821141,9.49264642354302,9.6537988173915,10.3097224634131,9.29532096177056,10.6032202336382,11.0490497904087,11.6066445163517
"SNHG16:lincRNA",8.87877868467275,8.97442028906631,9.07261129222474,9.11844688719426,8.95680067776764,9.1411988304123,8.85642845603812,8.78840606346527,8.9028846344992,8.72234803249939,8.78655303255937,8.79534384299184,9.57912380436069,9.30769970650487,9.34507006000618,9.17860278501347,8.55999885573343,8.64609359686193,8.33676755439562,8.22088091794402,8.05028623289279,8.55152586886515,8.84718027193095,8.82293725195595,8.38330112622342,8.88836646559497,8.88499789723448,8.66636436252237,8.68510550279647,8.61023482036424,8.85007225854673,8.30910407664567,8.93364682183167,8.9928403925214,8.8039349181196,9.40697660299369,8.50765938399859,8.7636804524737,9.6240209933334,9.41586716934479,9.34254349115451,9.04405555141127,9.54507014827021,9.1763862410347,10.2802876072262,8.85313047146476,9.20837503926189,8.80905813149238,9.03512327238482,9.52639251359286,9.03776156088769,10.1093702668278,10.609169172911,10.8309096433725
"RP11-160E2.6:lincRNA",8.55326194371408,8.66583571729549,9.13848631861048,8.74665843520931,8.77995941465632,8.8443253363504,8.56546605284034,8.77380053944547,8.89241775635296,9.1045938404814,9.07696019251594,9.13753181086755,9.36423679347112,9.33112763407343,9.39200897979075,9.00878298103955,8.98832448215039,8.84304371515185,8.5504166202541,8.65917678659015,8.68446937566639,9.13585827099116,9.27350096852709,8.97783411166184,9.05312039654271,9.48517221313346,9.40659716940902,9.10837142332237,9.10347714700204,9.02400029357774,9.04492188485505,8.94292415705183,9.15509005173549,9.22529846413026,9.1039790650925,9.2963662824719,7.8612320086633,7.95392730762997,8.87228451047912,9.44138606351635,9.26757057118034,9.10770775275358,9.6858483486337,9.25743792821859,10.1276309146993,8.44776935060706,8.50086636369572,8.31857123265979,8.74181115244023,9.34455162614182,9.05467835890191,9.9843262130162,9.91916213970351,9.99252712009609
