"","Row.names","baseMean","log2FoldChange","lfcSE","pvalue","padj","D00_1","D00_2","D00_3","D00_4","D00_5","D00_6","D00_7","D00_8","D00_9","D05_1","D05_2","D05_3","D05_4","D05_5","D05_6","D05_7","D05_8","D05_9","D09_1","D09_2","D09_3","D09_4","D09_5","D09_6","D09_7","D09_8","D09_9","D16_1","D16_2","D16_3","D16_4","D16_5","D16_6","D16_7","D16_8","D16_9","D26_1","D26_2","D26_3","D26_4","D26_5","D26_6","D26_7","D26_8","D26_9","D36_1","D36_2","D36_3","D36_4","D36_5","D36_6","D36_7","D36_8","D36_9"
"7557","hsa_piR_016658|gb|DQ592931|Homo_sapiens:6:80508363:80508389:Plus",32692.6012364953,1.01826214407091,0.437133776408397,3.21452693431336e-115,6.53259293842109e-114,5664.6251817162,8298.61463237573,8034.58345591069,3189.00897389617,3935.70844012048,2675.52695609433,3388.50510915602,2181.26870212386,3535.24148990094,26929.6414309456,18189.0791741349,20858.0855650555,6665.54489099334,8255.8742486943,7585.35023970159,10621.0434837299,20583.3527863165,16774.0531627804,34496.5514882553,42800.9352776405,44567.9605192675,69256.8882550804,63943.5786030153,66783.6809237844,45709.1234907089,26841.9437839035,23726.0461555138,74177.2841063835,75055.0127389604,56956.7496823186,127830.018688632,77481.9003871988,139100.734492596,42399.6797275281,49297.2064867257,49760.4675716194,13066.595441103,11887.9181085076,32826.4732363721,61159.5596456717,55318.5821306612,22987.5383392652,30924.0654359582,19972.2215355465,30504.7758584861,23280.1215846313,23015.5906231506,22556.7846826201,12255.2077005424,16310.9026532664,16669.6192376644,34952.2258132124,23664.0615325068,26497.3529088013
"7558","hsa_piR_020828|gb|DQ598675|Homo_sapiens:2:149355860:149355890:Minus",5015.28739238054,-0.653283008396775,0.311532536269946,4.33342378197696e-37,2.25221814569032e-36,5376.9491426273,4460.74273946238,5848.07002437149,5971.07830849346,5505.36630292785,4611.81883483764,4837.22395330592,3676.02037482799,5609.05608086456,4172.28189752545,4888.31502804876,5937.90783502067,4951.3905335859,4873.84986433348,5911.66472150192,2795.34068297074,3290.73995739789,2965.62826119688,2280.23931084154,2386.02491165203,2282.73517302918,2675.75970211131,3414.42877767408,3881.28020738612,4659.80911453958,3999.87448609156,3278.8312714913,2872.80905481667,2992.47380620698,3030.67785838481,7623.93809436607,3407.01315491,3879.65410563268,2223.34801577576,2058.2152266684,2952.02278189749,5338.6102908834,5571.59753185987,5390.58801079279,4452.64412040894,6032.36358400019,7123.60234202087,4841.45642094864,4357.67330248271,3661.79624999119,9869.40607401083,9880.81791507383,8578.20922222711,9541.88076185094,10914.1915029181,11732.0470268162,7335.27492358449,5861.25578941649,4759.52452248657
"7559","hsa_piR_016659|gb|DQ592932|Homo_sapiens:14:22388242:22388267:Plus",23620.9573803495,1.47861388596722,0.430548089337005,7.94363808617649e-148,2.21605039874517e-146,3565.701291368,5054.17914051899,5287.51769023818,1934.37235744285,2215.21862380823,1708.08104993987,1583.72740857334,1120.69266424193,1693.23466936536,22059.1652525441,14230.5184163712,16741.5744023206,3910.80124043639,4675.70058291847,4259.48536642349,7679.1440181482,14762.2730495405,11913.7805546221,30281.222223896,37547.8872771807,37664.810912612,49071.3664893153,45346.288011789,53151.0851540397,33144.7100953045,22046.0743752066,19627.859628652,60381.863937435,61770.3836879218,45853.9104563319,95984.0110383513,53303.0324869296,98971.7370160023,34463.9370119037,39216.1112418932,39806.0617679102,9011.11595012159,7503.4533510126,22207.8120979333,36409.7816919615,34589.5234797831,14762.5617914807,20476.7121065427,13117.1996340386,20352.6559837715,14405.3130032899,14117.098683323,13930.8094738952,5862.64734546088,8877.83695469054,8746.12638567921,19080.2744053147,13300.643484313,16752.6121247666
"7560","hsa_piR_012681|gb|DQ587153|Homo_sapiens:20:2585585:2585613:Plus",4274.54939055764,1.29762415722512,0.38029127238941,3.53388517966469e-26,1.35129393832703e-25,2313.7549238309,3944.2156959827,4439.5026206519,2549.85447117467,2180.02450132376,2620.92436515363,1671.16818864033,1868.81068116634,2423.94811883402,3151.30932179202,4020.47670807748,3887.38642211301,5838.02209776216,5441.32450796703,6045.76197390492,4831.97157059552,3450.23853132399,4083.37265143522,2545.32825022936,2307.00001945777,1961.37614923023,2383.17392450766,2267.49031139716,2001.5858259578,2478.48734450409,4159.07347061261,4172.2246523471,3582.4309233781,3521.85778047765,3525.26764777399,2760.20973844852,2074.50437034162,3085.32410899243,4344.55766257982,4002.38332539234,5327.90012529149,2857.7035626702,3325.44646732017,7376.0292718783,5827.56406780047,7570.24646636536,4478.46094407803,7506.32859664839,4386.92744576558,9930.42448588424,4782.36292385396,4057.85046415168,3979.3281398556,4080.76099766354,5722.60219757374,4716.19612535461,9545.48695515423,9220.72387583126,10198.9811196141
"7561","hsa_piR_000552|gb|DQ570687|Homo_sapiens:22:38045003:38045030:Minus",3225.86421497914,0.793385375672644,0.467378458332704,5.19450968469377e-14,1.34344182789077e-13,2058.18007365321,2184.79545413004,2197.29328411869,2947.77605752509,1775.7948659307,2833.73446317893,2241.28207467711,2668.1391575826,2495.22035869697,1258.33876795162,1729.58654646908,2512.63797838143,4291.57169512915,2745.04187761311,3014.65804222963,3646.9901941188,1315.55412912694,2059.15108181509,1785.05079990456,1545.72689131973,1143.60368310166,1539.21362871362,1704.57572672137,1988.75514758628,1839.26522580673,3204.87455713953,3654.66289895471,2245.74450168265,2219.92224815043,2370.3478736152,3357.20166661168,1309.71939891681,1901.24813641663,3216.13296218059,2609.66663355283,5900.19174815282,4001.00960582142,3564.1633839044,4254.51698804039,3061.87846440385,3755.84490175489,6572.14719575985,3979.10729956111,4049.60926301414,7056.02909966987,2980.60210914647,3670.29216923034,2481.72397495319,4586.54788652091,4898.02724455971,4321.26118883412,5401.72152113932,8814.3153249217,9236.22015678216
"7562","hsa_piR_014620|gb|DQ590013|Homo_sapiens:5:93930930:93930956:Minus",2602.42102940946,0.14551763953872,0.36574525186233,5.1459829719293e-15,1.38502498044089e-14,1595.18215666463,1571.41958999792,2190.10671573236,1675.10333517487,1630.99619056602,1687.08005342421,1501.1833121901,1834.67037483844,2100.10920372859,2581.23319487471,2057.43657845823,3774.27420838826,1583.56521229621,1363.18406167182,1386.51498711023,1871.30543163067,977.392423942525,1310.4200865395,4097.90731805333,4095.06991350656,2931.20318327957,1748.75525821855,2042.32447752684,2173.19614917694,1677.4048277983,2446.689393358,2571.59089185565,3603.76595994923,4496.8550781454,4013.71891140835,2358.1181162445,1579.8406464928,2278.13447355229,3542.15863593822,3587.78847204127,6761.51954417644,2666.77819200645,2309.28661969808,3909.55615117225,2914.39148423153,3154.86862507912,2199.67623801054,3376.59262959602,2361.82430259236,4179.08549059537,2632.85190320913,3065.93146180349,2207.77199356861,2415.1970178317,2973.15195992127,2255.3795590083,2549.53918994352,3467.66776555303,3193.96663633853
"7563","hsa_piR_018780|gb|DQ595807|Homo_sapiens:17:72068837:72068864:Plus",9388.65674037362,1.90422397152355,0.510984195805464,8.52972806458804e-62,7.5562946087273e-61,1530.97977884222,2163.90649281285,3287.85503674342,2862.1045545148,2124.71945170531,3269.15512427015,1480.19752497402,2260.68202336484,1791.49348548709,3396.62082588361,4677.19178763469,6394.22377414958,6380.99801690887,5772.26493085387,5826.90513743588,5258.24315172629,2884.57498426048,3390.41619982577,4676.12144759053,3895.40035256239,2757.42653422725,2497.11822073614,2364.24125563831,2827.56074612468,2931.19064518392,7397.77781196287,6672.59791873595,6399.58336105269,7872.11421959425,7271.52222272188,4682.87491885636,3175.09764210283,5085.49254386986,10926.3541591156,8870.18309224565,23307.8770038068,7750.44695853295,9077.23379528898,17990.0909324922,10614.1869697566,10423.0859882946,7859.38789928836,16551.5800794993,10315.3691355386,34732.2775834237,12776.6296993357,13891.6625464256,8759.43899452769,12634.3324553928,20455.701673509,14758.7008676841,28427.0562677275,46420.301366878,45186.9143890577
"7564","hsa_piR_018292|gb|DQ595186|Homo_sapiens:18:45269646:45269676:Minus",3744.98413771802,1.74449606581857,0.4423598174165,6.00439864168132e-55,4.72514387668787e-54,1513.69452327464,2564.59475080627,3063.27477467078,1755.13855509238,1454.02003178697,1870.48875632759,1243.75765567288,1534.8294236108,1495.33311013426,3341.00364276973,4065.13739354968,4058.50489928635,4743.82252398805,4511.78651766418,4358.16070309739,4352.97457376933,2774.53333248201,3329.00786387013,5791.0368973648,4915.34829448298,4137.4175708192,2113.76325800132,2123.24344907399,2526.03980439386,2395.66034396071,5029.69291721215,5304.65540976968,8324.37470388272,9122.85657638761,8165.11618617504,5996.25716081532,3491.46793703053,5336.7501019603,11351.2497740378,10054.9314919511,17698.6483366374,1599.84229712073,1437.37077765682,3314.69035248408,1448.0539871464,1564.59293910632,1066.04421032075,2432.65297998405,1666.88914379117,4158.69970771442,1205.16183754892,1716.1925485502,1241.21320796555,865.093758795227,1556.25051970382,1101.56740141591,2159.77150802769,3338.35595389998,4448.12705973084
"7565","hsa_piR_017791|gb|DQ594556|Homo_sapiens:11:74789084:74789113:Plus",3436.49488475062,1.74415345951477,0.436636646974259,1.05782431380074e-24,3.88346057285712e-24,1479.1240121395,2604.47367695728,2928.5266174272,1468.81537397904,1092.02334337528,1453.26895888326,1063.27988561461,1147.41116484637,1320.26634619906,3060.93139923195,3586.05004030238,3762.67295569854,4874.41166909928,4868.66271036973,5225.99763846018,5026.78751333453,3714.83306481381,4436.61142798736,4009.54433825739,3670.9696587307,3044.92466685057,2558.91851699566,2445.16022718545,2989.54806056518,2800.94360616151,5451.57022619295,4929.52890731089,4493.34422393669,4608.5492793102,4080.36576246079,4960.30057959101,2571.17892233617,4034.95897421614,6183.86541102203,6326.26127362551,11189.5537170227,1235.39945723609,1362.2532923224,3394.41463478249,2488.99515299071,3038.7826092426,1878.63410550761,4218.85792865138,2397.64570253056,6161.60287576805,1733.96547639401,1910.93099872107,1437.19424080222,1488.0646627882,2182.39238352926,1608.96138936713,4188.09195470338,4924.40490907302,6456.49785163244
"7566","hsa_piR_016735|gb|DQ593039|Homo_sapiens:6:4373286:4373316:Plus",860.555689142867,0.0120829484479471,0.526148915417442,3.44194502491613e-26,1.31753042011957e-25,1432.20688988465,1395.76241528516,1266.63267808968,1533.06900123676,1228.77764788636,1759.88350801181,816.347122705425,1908.88843207301,2059.97532108732,681.310493145075,1011.97053217704,1594.20547377875,2214.51697657048,2144.3694486116,1817.90331795383,1388.73383035055,289.322994563632,381.971117228626,757.905289793366,747.048647543072,719.38421629747,741.603555114215,717.71609546163,678.422118894351,269.978085740624,576.101325235575,683.971254483131,888.650653701766,673.65565077521,661.206917020296,679.517282938662,719.876476170243,761.686298148181,924.965069407629,1161.26810865809,1460.59612838009,393.643190692044,444.713946918509,858.569193982925,247.436834503973,276.346356283388,281.87192016406,450.630763578056,376.721722683462,606.477040708353,421.128689758988,542.006031263758,367.37663144651,479.937473753926,417.675640913824,286.903406799642,256.788119850426,540.998395691302,471.381480318298
