"","D00_1","D00_2","D00_3","D00_4","D00_5","D00_6","D00_7","D00_8","D00_9","D05_1","D05_2","D05_3","D05_4","D05_5","D05_6","D05_7","D05_8","D05_9","D09_1","D09_2","D09_3","D09_4","D09_5","D09_6","D09_7","D09_8","D09_9","D16_1","D16_2","D16_3","D16_4","D16_5","D16_6","D16_7","D16_8","D16_9","D26_1","D26_2","D26_3","D26_4","D26_5","D26_6","D26_7","D26_8","D26_9","D36_1","D36_2","D36_3","D36_4","D36_5","D36_6","D36_7","D36_8","D36_9"
"hsa_piR_016658|gb|DQ592931|Homo_sapiens:6:80508363:80508389:Plus",12.4703755198192,13.020437651313,12.973848900429,11.6435250118997,11.9461630046534,11.3911264483243,11.7307936784717,11.0977170845514,11.7917729040924,14.7174571547268,14.1515987092716,14.3490288505947,12.7047262530285,13.0129973550797,12.8909504086701,13.3760311841247,14.3299095715466,14.0348261556544,15.0745937184435,15.385700635264,15.4440515427413,16.0798837498944,15.9647434321892,16.0274297115097,15.4805184612878,14.7127530793292,14.5348080421081,16.1788894478386,16.1958580960888,15.7978391666989,16.9639829843397,16.2417628273084,17.085876968207,15.3721149532115,15.5895186296981,15.603009979571,13.6747283445912,13.5384533690678,15.0030231614711,15.9005325042562,15.7557442242074,14.4892083602707,14.9169211366143,14.2864483847516,14.8972328498932,14.5074468813852,14.4909670600875,14.4619301093106,13.5823149348144,13.9944564910438,14.0258214990587,15.0935203085019,14.5310356832961,14.6941193419401
"hsa_piR_020828|gb|DQ598675|Homo_sapiens:2:149355860:149355890:Minus",12.3953223267557,12.1263823519273,12.5162738201212,12.5462526921722,12.4293089966864,12.1743258608689,12.2430202089899,11.8479491591425,12.4561788580037,12.0301637490765,12.2581462423802,12.5382297224121,12.2766042520887,12.253879752964,12.5318505139185,11.4540915953914,11.6886860008582,11.5391026619972,11.161442172989,11.2265799878415,11.1630133746113,11.3912514652514,11.7417559405721,11.9261248059845,12.1892279163313,11.9694342573287,11.6834719063303,11.4933874910327,11.5520589455986,11.5702987722746,12.8982611561454,11.738628615477,11.9255218404809,11.1251557710863,11.0143464071493,11.5324916440581,12.3850184614126,12.4465295996358,12.3989702043864,12.123766730496,12.560959456591,12.8004678793921,12.2442793165256,12.0927346943525,11.8423714982542,13.2702468720934,13.2719123439928,13.0681855838942,13.2216086848264,13.415273537198,13.519428574263,12.8426520727218,12.5195173511661,12.2197081496189
"hsa_piR_016659|gb|DQ592932|Homo_sapiens:14:22388242:22388267:Plus",11.8041143562943,12.3061866683618,12.3711715344576,10.9252752047404,11.1198953459639,10.746791822835,10.6384138760139,10.1432992016606,10.7342726596712,14.4297616716394,13.7977406829205,14.032031740663,11.937027741718,12.1941288405989,12.0599338459799,12.9086563202041,13.8506298976031,13.5415858763175,14.8866247390824,15.1968384331481,15.2013227626443,15.5828955624012,15.4690233568116,15.6980901054237,15.0169377061771,14.4289056572618,14.2613694279255,15.8820728952079,15.9148673833094,15.4850800574655,16.5506607550916,15.7022077770448,16.5948785948261,15.0732294953507,15.2595364107831,15.2810724793746,13.1391320718908,12.8753106050652,14.4394462490794,15.1524451136155,15.0784755563351,13.8506580960481,14.322419400248,13.6803004425132,14.3136567968474,13.8153408573729,13.7862044339545,13.7670539176517,12.5198592312956,13.1176591317987,13.0961201910996,14.2205701245652,13.7003211800646,14.0329820140276
"hsa_piR_012681|gb|DQ587153|Homo_sapiens:20:2585585:2585613:Plus",11.1823995414611,11.9492700216767,12.119512286606,11.3219894926306,11.0968977807227,11.3614937503529,10.7154620985303,10.8757965171386,11.2492332171684,11.6264235113661,11.9768272000687,11.9283867693298,12.5137972525573,12.4124598792014,12.5641548243821,12.2414561596093,11.7567629914005,11.9991653429111,11.319436569218,11.1782001137808,10.9451713351235,11.2248625028558,11.1533895861621,10.974298065759,11.2812006896318,12.0256005143864,12.0301440031764,11.8108480817139,11.7863166373155,11.7877087312417,11.4359124250829,11.0256631732047,11.5959941997396,12.0883961743827,11.970336562682,12.3821268213443,11.4858087576496,11.7037752727399,12.8506342838073,12.5112150814308,12.8880787712476,12.132088340204,12.8758625705444,12.1023649174183,13.2791297869465,12.226599500841,11.9901425334486,11.9620234405633,11.9982446374794,12.4850399292194,12.2065429017947,13.2221532387552,13.17226900823,13.3175883195062
"hsa_piR_000552|gb|DQ570687|Homo_sapiens:22:38045003:38045030:Minus",11.0143218885964,11.1000369184843,11.1082278633673,11.5304219054591,10.8025526222255,11.4737006611207,11.136693280979,11.3871525347056,11.2908682043034,10.3090019389665,10.7647357506825,11.3008629080187,12.0707349119837,11.4279921680219,11.562678459669,11.8365426497524,10.3726463857822,11.0149989949718,10.8100099470931,10.603602914993,10.1722344969574,10.597551096359,10.7438457522536,10.9650676198261,10.8529318719242,11.6506618650892,11.8395661801225,11.1395498134444,11.1229413387968,11.2171104724162,11.7174444990056,10.3662830978151,10.9004888235915,11.6557049298148,11.3553077858704,12.5290527634313,11.9698425736319,11.803493763755,12.0582541108769,11.5850257384353,11.8788566173879,12.6843997286875,11.961943579014,11.987216943459,12.7867372717548,11.5463437341166,11.8457055688839,11.2830757163222,12.1664163557572,12.2610037900575,12.0806576218635,12.4019411715285,13.1073114277479,13.1746888657541
"hsa_piR_014620|gb|DQ590013|Homo_sapiens:5:93930930:93930956:Minus",10.6487445112144,10.6272308171662,11.1035235466918,10.7188346319359,10.6805748205703,10.72905077669,10.5616990709297,10.849343220129,11.0432744280507,11.3395648856193,11.0138032173472,11.8858991965377,10.6382670644254,10.4235672994197,10.4478693594912,10.8777106662599,9.94782761035205,10.3670487440393,12.0042786484754,12.0032818702333,11.5223162098638,10.7805439102002,11.0032202154991,11.0923930212434,10.7208034293863,11.2626489312859,11.3341869318179,11.8193901476893,12.1379882263051,11.9744063915349,11.2096798424721,10.634891665052,11.1601157990335,11.7945848162024,11.812997883325,12.7253194786766,11.3864192727395,11.1796230295507,11.9365695562358,11.5140469100875,11.6280467938685,11.1097843609133,11.7257282156039,11.2119357140167,12.0325086278403,11.3680189539843,11.5869278040998,11.1150598367881,11.2440372741586,11.5427455244956,11.1456982781334,11.3218118109318,11.7640110897769,11.64575892381
"hsa_piR_018780|gb|DQ595807|Homo_sapiens:17:72068837:72068864:Plus",10.5898640763575,11.0862418319469,11.6874245968316,11.4880209379576,11.060001353792,11.6792213851968,10.541527054645,11.1490708196061,10.8151780322237,11.7342345118044,12.1945878744178,12.64486672073,12.6418843611564,12.4974839186343,12.511052231385,12.3631773533767,11.4992632378585,11.7316046656337,12.1942584091128,11.9313500483599,11.4344623627364,11.2919606165439,11.2134049605061,11.4705654526188,11.5223100602822,12.8548759831204,12.7062496650631,12.6460735346321,12.9444147894438,12.8300761071511,12.1963359607135,11.637238061656,12.315079391253,13.4168788574459,13.116416239418,14.5091651340669,12.9219726201713,13.1496670554225,14.1357376778274,13.3751004374783,13.3489145960671,12.9420836337955,14.015575626643,13.3339423763179,15.0844156779199,13.642378068836,13.7629970899006,13.0983119002886,13.6262332244838,14.3209390839846,13.8502809938768,14.7954978934841,15.5027872339291,15.4639450950203
"hsa_piR_018292|gb|DQ595186|Homo_sapiens:18:45269646:45269676:Minus",10.5735922866012,11.3302722753639,11.5856813079613,10.7857699095421,10.5159627418267,10.8770843347395,10.2923232639057,10.5934631558104,10.5561040196175,11.7104881408292,11.9927244283742,11.9903746009639,12.2149509967252,12.1427597803605,12.0928956703441,12.0911819021719,11.4433521193857,11.7053147622824,12.5021597963091,12.2660860179075,12.0180874813872,11.0525786633109,11.0590036027489,11.30850637907,11.2323694565325,12.299194409657,12.3758309641203,13.0249035320742,13.1568918303983,12.9970696745526,12.5523130727401,11.7738501493331,12.3845166442992,13.4718672506735,13.2970873078791,14.1121879268827,10.6529262499015,10.4994645878376,11.6991157147005,10.5100725092521,10.6209904447288,10.0718437734582,11.2543832061888,10.7117858646272,12.0254711769102,10.2472213366796,10.7535862013893,10.2893929218585,9.77368062460082,10.6133276473211,10.1186925717534,11.0834953745511,11.7093478754732,12.122305786838
"hsa_piR_017791|gb|DQ594556|Homo_sapiens:11:74789084:74789113:Plus",10.5404875473485,11.3524453654995,11.5210028351089,10.5304671381657,10.1062543654403,10.5152225348732,10.0681335100892,10.1769873857103,10.3777650654314,11.5845809204697,11.8123006609722,11.8814699021349,12.2540456925843,12.2523467269944,12.3543202959467,12.2983624921349,11.8630598617694,12.118574602516,11.9729089247803,11.845971106033,11.5770420493846,11.3270883427169,11.2617507352305,11.5506525490627,11.4569698699536,12.4151687406926,12.2702335120218,12.1368639875338,12.1733049679728,11.9981052511151,12.2791926984287,11.3339567103871,11.9820014629286,12.5966849979045,12.6294754472848,13.451187427354,10.2826750281302,10.4225892439956,11.7332999613656,11.2872791489135,11.5741387645255,10.8833190992151,12.0461405767674,11.2335594818767,12.5914904105159,10.7683622866184,10.9077785232547,10.4992886383176,10.5491222139838,11.0984566269391,10.6610742910492,12.0356068822375,12.2687362390615,12.6588270291651
"hsa_piR_016735|gb|DQ593039|Homo_sapiens:6:4373286:4373316:Plus",10.494308992805,10.4573895479128,10.3184036360236,10.591818429724,10.2749851060484,10.7896423686883,9.69101068605211,10.9062438485761,11.015573506751,9.43366298795246,9.997475232853,10.6478665543416,11.1194404185657,11.0732190683669,10.8361716351315,10.4501593844596,8.22641128389425,8.61533064618368,9.5852175142537,9.56468040933854,9.51098738972575,9.55426898085735,9.50768500203249,9.42762426508347,8.13004964354408,9.19554732990279,9.43920355936259,9.81199453736315,9.41760339921533,9.39109846047798,9.42991690045015,9.51196047631012,9.59230181115384,9.86913369718403,10.1941540360481,10.5224275315695,8.65764976453362,8.82947162618995,9.7628863419988,8.0089851167555,8.16248795056988,8.19005424686347,8.84811703803889,8.59588556791773,9.2684229193503,8.75265623918897,9.1091074246219,8.56060657320238,8.93707509797191,8.7410585453932,8.21470527913254,8.06044851299093,9.10647232154718,8.91166627390513
