"","Row.names","baseMean","log2FoldChange","lfcSE","pvalue","padj","D00_1","D00_2","D00_3","D00_4","D00_5","D00_6","D00_7","D00_8","D00_9","D05_1","D05_2","D05_3","D05_4","D05_5","D05_6","D05_7","D05_8","D05_9","D09_1","D09_2","D09_3","D09_4","D09_5","D09_6","D09_7","D09_8","D09_9","D16_1","D16_2","D16_3","D16_4","D16_5","D16_6","D16_7","D16_8","D16_9","D26_1","D26_2","D26_3","D26_4","D26_5","D26_6","D26_7","D26_8","D26_9","D36_1","D36_2","D36_3","D36_4","D36_5","D36_6","D36_7","D36_8","D36_9"
"45","RPS8:processed_transcript",5080.29418576484,1.76553879425632,0.385604355687615,2.6551368523667e-10,5.8492783438659e-10,6506.66406007942,9427.56804174584,8805.34291534398,5339.81460210185,4345.97135365373,5782.27437397676,3031.04720024217,2775.75534057272,3356.02294500285,7700.99353330454,6744.77852188206,7616.22239079987,7464.20061004204,7131.29926935469,7637.21804487633,4277.90788023687,4631.64075912549,4462.5268725191,4625.71303629754,3762.11170106141,4727.10818506659,5238.5407376232,4878.00669783113,8370.41380262321,3674.73684853515,4053.60414336741,4670.04290561008,7979.30367760187,5378.77387484248,3994.42640189317,5508.12846661132,3861.46031584429,5226.94857066881,3590.36794609286,3267.78564833827,4441.52252759381,2322.55097960384,2052.59680784978,5183.61150867191,8657.8514063139,6271.72678479584,3820.24776810909,4479.94761896959,3581.54297048826,5060.77060019659,3262.9497534167,5082.38575864671,4031.30877222088,2625.4389273397,3333.60157885935,2745.06346012003,5232.05794195243,4792.45408085563,7513.53511052802
"62","NOP56:processed_transcript",5890.38301221928,1.54661911498111,0.396425436836849,4.19687036058075e-21,1.38306824029828e-20,4489.22780312121,5647.61554157561,6388.8592954424,4787.4588590092,3534.49544379752,5107.44235260708,2681.98360621474,3604.77103988281,3304.12568296673,4978.73105267677,6076.89827095679,6881.47638711773,8434.68415160552,7234.00491783681,6097.62977907966,4059.85700854734,3879.27733095468,3663.09174663794,3198.26543650675,2858.5937669737,2483.34498112635,3620.14547932707,3857.72401310626,4959.05719059417,3490.7470992365,4738.15977680796,4610.10728021723,5735.41439649062,4971.55543309581,4155.78193602014,4923.42754873387,3367.46686804404,4635.40518587321,4783.34409568221,4262.00825783063,6428.16449112927,3702.82910046125,4351.74487124506,9389.06739991327,11040.80220166,10331.6554094499,5631.29405624766,8588.34452479403,6711.13927842282,11072.0283272176,6350.42921943383,9106.66062794134,6253.83202632558,5773.03603976895,8235.34479887203,4655.98183010037,9091.5222432758,11986.4132352678,17878.2139626176
"64","C19orf48:processed_transcript",2326.48829987167,2.26505907637333,0.522266808522766,1.26616878033418e-12,3.08635750318654e-12,4184.26650846473,6507.86094854728,5359.38337410143,2977.08472960756,1154.36721749063,2193.90410266866,984.233420434047,1039.79498185625,806.829433788315,3501.89620820632,2744.60212538286,2535.84048376086,2452.32668293094,2230.47620440974,2756.58408477481,1235.91948994518,1706.88202562006,2600.55852083678,1106.61288791426,1268.08610341056,1516.07348603366,2392.83022079821,2443.40111910834,3109.83567029822,1397.31046718215,2546.18875868366,2227.48988960022,4185.37760908389,2650.41031513977,2215.13086524306,3415.14500081576,2244.75448667984,2778.67118376395,1848.29592491171,834.556630370109,1094.48364237453,1072.55134696406,941.503205755972,1917.98225298685,4339.28635878889,4832.46565039797,2129.78429050392,1255.2388957606,1396.43757425772,2560.96397441972,1021.71562799482,2517.21031156832,1805.97575420455,1375.18888350317,2033.75336541046,900.557915787766,1673.70828116796,3174.73692691042,4433.84277244847
"79","RABGGTB:processed_transcript",4381.02831062663,1.53730940899783,0.406911335519312,1.38898368015338e-14,3.67909467830717e-14,3054.55159101262,3768.55852126994,3375.89049947589,2519.41854247364,2021.14817696529,2525.719847616,1969.86589334917,2041.73875452288,1856.5380539057,4044.16374356668,4518.84935732414,5287.27091333898,4915.65034650283,4467.17699357598,3819.24155664761,2948.15502337611,2639.76321962972,2781.40325332998,3485.29686081034,3152.56636593635,2740.81553100901,4137.72296050053,4795.32861820687,4655.93241406691,3863.15246809184,3848.63545079655,3756.90602462487,4917.26212450215,4653.92504853341,4318.0144023978,4939.23027624407,3814.540992444,4631.44837393478,4659.96094596441,4025.86361643973,7740.38871728605,3075.02155810219,3532.82602805937,8113.47888313864,6612.53609450273,6744.28932713918,2956.19896651626,5372.42247385537,3924.83138656273,8590.05926146158,4106.00472515013,5655.08947663691,3706.78104042683,3294.93877851887,4806.98584596194,2887.62965917788,6007.00780364389,9732.69308931473,10764.638895996
"103","RPL7A:processed_transcript",2782.22059227974,1.02874965507823,0.341463124179912,9.59285676128569e-42,5.54027044031252e-41,1866.80760129793,2024.33025128433,2024.8156428469,1890.40934931915,1723.50645538235,1789.28490313373,1965.66873590595,1535.57160418315,1575.6008754168,1612.89831030263,1573.27414731636,1864.90136987217,2198.02150560907,2040.62636933673,2093.6882332732,1395.88303925841,1266.71541850616,1270.420161284,1380.0043891621,1518.33159535905,1345.49126067715,2581.12799846393,2612.27549451108,2774.63419784215,2095.33343359351,1763.12875357071,1832.61988701202,2780.04802624655,2293.22156766484,2150.237878692,3492.40277975452,2528.95153127591,3257.44542831423,2059.92662542105,1854.27212728536,2736.20910593632,1804.80629798036,1928.62991487457,4898.44388352758,5572.81382932101,5531.03636516639,3441.60238216663,4754.84493714116,2805.4126384938,5654.50652660435,3315.59083963658,3397.85019953315,2955.8716350419,3030.41309729364,4245.87355256348,3489.77261172034,6803.35667532289,6304.61057222693,7536.38997017981
"200","GNB2L1:processed_transcript",1751.28871207828,0.439479001343581,0.389816108335026,8.99201520314263e-67,8.65082881068297e-66,780.305822764743,1014.06412212555,1013.30614247174,528.68335410297,706.899088759503,569.827038791414,838.731962402575,661.282889959972,803.36961631924,780.626891562724,805.92236965754,850.758530579321,812.40194484988,813.345741514995,975.367750968967,833.776488878421,866.114349110359,837.744913449804,520.096196517044,562.130399808504,597.996115856512,1403.05985101687,1307.0173012941,1821.95632875646,1316.38026817794,907.434211770025,989.290381484363,1916.44285025871,1411.30277096776,1111.07316162429,2658.36993893833,1949.83302530655,2753.94110914875,1335.96986614971,1171.33109053554,1975.08051660896,901.841603782344,937.355614541188,2397.86110605231,5233.95944512345,5701.56980435985,3119.02416290531,2841.860860002,2123.01496967099,4074.60835333049,1669.36050694235,2828.02438967356,2322.2698729678,2052.44355921338,2858.3283184245,2495.35123568331,4501.43460094943,3779.07172014607,4530.97592596861
"270","RPL4:processed_transcript",364.971261966738,0.815163162762329,0.423658413705609,1.62988016646923e-37,8.55706800509147e-37,487.691139227964,582.04242215633,533.602702684587,470.066009938035,365.013327481792,478.822720556913,348.364067786891,354.76231358122,289.240740414679,278.085915569418,301.459626937392,521.089599979834,1323.76154465387,734.501001266092,665.425988339399,932.971762474889,293.650475251549,420.280904797279,300.078307226481,296.60676203579,245.970624577732,478.952296011264,591.060313909578,524.453978436059,490.007064283334,532.321604492284,612.753629016331,269.006982853353,253.638915145071,241.156368939763,516.222431999914,325.754159607763,602.424617626288,271.27950798881,207.96829213403,375.747025110973,160.040384232857,173.73798755262,262.170236019786,286.44165570657,285.592145155322,236.557360791636,130.544845159103,128.95703977754,157.989817327386,127.614754472421,158.284947183222,113.79543842129,130.10872268733,156.070969024738,127.512625244285,134.508062778795,179.453126375651,242.832883800335
"360","ANGEL2:processed_transcript",88.7315022576212,0.169419582362787,0.647475451729446,1.11365293160824e-311,1.14012845413327e-309,283.972055752992,563.052457322518,1072.59533165892,293.086720824674,261.442052741779,236.611227409703,235.740343060607,233.044699716533,300.312156315719,122.159170053709,128.90697852205,169.184935058388,81.1027322269762,70.5452939069128,73.3739682959793,91.1524135751328,79.7492869630524,82.2533674268133,19.5703243843357,20.0196393558792,18.5276574357253,4.82814814527484,3.51821615422368,1.60383479644055,22.7616184699355,25.8698349846718,36.6665002403328,15.7693748569207,10.4713313592002,18.415577264491,5.26757583673381,3.35138024287822,6.92442089225619,15.5250320836969,20.796829213403,11.5614469264915,10.1078137410225,6.91265202464003,9.19895564981705,6.09450331290574,8.21847899727547,6.91239041274262,11.2971500618454,6.56725665533769,15.2893371607148,10.3686988008842,7.67442168161074,6.32196880118277,6.89317736091815,7.80354845123692,7.08403473579363,6.11400285358157,13.1950828217391,5.71371491294906
"521","DNAJC18:processed_transcript",54.7996673974749,2.17596487043277,0.63301372444477,7.84691936564924e-129,1.82735555699626e-127,118.527466749075,176.606672954449,359.32841931622,199.52442148449,153.84859257497,158.207507084594,86.7412538264548,94.2569326878973,122.477538405259,97.3300704492964,120.78685389074,144.048887563999,85.2265999673309,61.2084167721744,68.3136946203945,67.0238335111271,55.0208258892377,52.3942682924222,32.0241671743676,28.4489611899336,25.5553895665176,14.4844444358245,24.6275130795657,33.6805307252515,39.2005651426667,38.8047524770077,52.179250342012,21.335036571128,50.0296942717341,37.7080867796721,43.8964653061151,18.7677293601181,22.7516686459846,37.5869197815821,32.2015420078499,44.318879884884,5.05390687051127,5.53012161971203,12.2652741997561,7.31340397548689,10.2730987465943,1.53608675838725,6.27619447880301,6.56725665533769,15.2893371607148,3.19036886181051,2.87790813060403,2.80976391163679,2.58494151034431,7.06035336064293,5.31302605184522,7.64250356697696,10.5560662573913,28.5685745647453
"548","CCAR1:processed_transcript",255.277953424146,1.48374847938524,0.46738558859644,3.30252469723161e-44,2.01003914830945e-43,108.650177853319,120.586276694705,145.528009823069,94.6895559587409,87.4825330328262,99.4047168407627,68.5535715725207,85.3507658197495,67.1204589000571,137.056629816356,153.26735241598,137.281490161663,258.429045062229,229.272205197467,193.555468091118,187.666733831156,117.46019010062,134.647635719235,83.6186587330709,88.5078792575713,81.7772466128563,139.050666583915,142.487754246059,123.495279325922,126.453435944086,211.933648143657,161.473626058389,179.028785140335,208.26314592187,210.463740165612,265.134650448935,156.844595366701,257.192775998087,268.011080181716,218.031274011484,522.192019513199,251.01070790206,290.792228503191,634.727939837376,407.112821302104,448.934415226172,212.748016036634,399.165968851871,287.168222837948,677.827280791688,299.894673010188,426.889706039597,268.332453561313,323.117688793038,445.917054356395,262.994789566339,447.85070902485,873.514482799126,957.047247918968
