"","D00_1","D00_2","D00_3","D00_4","D00_5","D00_6","D00_7","D00_8","D00_9","D05_1","D05_2","D05_3","D05_4","D05_5","D05_6","D05_7","D05_8","D05_9","D09_1","D09_2","D09_3","D09_4","D09_5","D09_6","D09_7","D09_8","D09_9","D16_1","D16_2","D16_3","D16_4","D16_5","D16_6","D16_7","D16_8","D16_9","D26_1","D26_2","D26_3","D26_4","D26_5","D26_6","D26_7","D26_8","D26_9","D36_1","D36_2","D36_3","D36_4","D36_5","D36_6","D36_7","D36_8","D36_9"
"RPS8:processed_transcript",12.669975629095,13.204239472511,13.1058438174425,12.3853432514732,12.0888644368266,12.4999790399103,11.5704739871373,11.443985059448,11.7169394185696,12.9127499398038,12.7217484669507,12.8968023206305,12.8677539965752,12.8020236056379,12.9007685942989,12.0661452100048,12.1804996819585,12.1269579388084,12.1786561756065,11.8812552729599,12.2098698449142,12.3577720447443,12.2551071004322,13.032850805028,11.847446738255,11.9886358492475,12.1923859224554,12.9639012677818,12.3958109079034,11.9674729055259,12.430031301934,11.9187582655632,12.3545822735087,11.8140317969416,11.6786187912837,12.1201670301045,11.1878496650979,11.0104223694461,12.342594523895,13.081502268133,12.617005324709,11.9033191373971,12.1325660858117,11.8104914668191,12.3080631434208,11.6764888950847,12.314199537807,11.9806990571776,11.3639670065072,11.7072980704757,11.4280034687858,12.3559890684866,12.2296339927774,12.8772450892258
"NOP56:processed_transcript",12.1355447186777,12.4660447548589,12.6436577936143,12.2281326872008,11.7914692987105,12.321280419934,11.3945905539402,11.8197913141982,11.6945243940995,12.2845322186171,12.5715532666037,12.750652001351,13.0438724485058,12.8226238156836,12.5764584201778,11.9908539506549,11.9253820948469,11.8428803907436,11.6476931576931,11.4862564970003,11.2840138734885,11.8259139875859,11.9173653549448,12.2788317617461,11.7735531361912,12.2132315277158,12.1737915315573,12.4882605693372,12.2824557076289,12.0244611080324,12.2684504700613,11.7218356629336,12.1816691870413,12.2268948273696,12.0607860500705,12.6524921344228,11.8584033157874,12.0907752454313,13.1983421099896,13.4318977354975,13.3362160989819,12.4618769407038,13.0698871131923,12.7145460751607,13.4359684979687,12.6349675255774,13.1543311974579,12.6128898218273,12.4976762916354,13.0094098763272,12.1880450910523,13.1519336524626,13.5503470803475,14.1267429639325
"C19orf48:processed_transcript",12.0342917284523,12.670240568102,12.3906105221984,11.5446460583529,10.185630412541,11.1060112215585,9.95778650702381,10.0362212394085,9.67430168032627,11.7781401746249,11.4277618911487,11.3140704814893,11.2659553196102,11.1297525999936,11.4340231551476,10.283277210879,10.7457847722649,11.3502835229055,10.1252249785666,10.3200448991393,10.5758426875249,11.2306713799005,11.2607167846026,11.6073728521628,10.4589771400043,11.3199222695305,11.127828566645,12.0346738383411,11.3775712581866,11.1198384537442,11.7420576283486,11.1389165633812,11.445494201896,10.8599590842315,9.72244931821044,10.1094710011134,10.080540135348,9.89442414581605,10.913063945677,12.0866487985676,12.2416033584796,11.0634198560663,10.3054722388555,10.4580821665648,11.3282364977506,10.0111641644352,11.3034752031555,10.8267280334948,10.4361229340498,10.9971831838187,9.83098060094537,10.7176399325081,11.6370746786174,12.1176760885807
"RABGGTB:processed_transcript",11.5815808703644,11.8837186781074,11.7254290978112,11.3047351321447,10.9882586154774,11.3083243690067,10.9513702237086,11.0028084668574,10.8663429329697,11.9852805477713,12.1450113251215,12.3711043303449,12.2661744853797,12.1284570561026,11.902940114438,11.5306067238772,11.3717864696038,11.4469067981738,11.7713054452627,11.6269970169742,11.4257775133224,12.0181937019877,12.2304972225039,12.1880298126449,11.9193886654113,11.9139714725945,11.8792630491953,12.2666464644491,12.187409040247,12.0795758108981,12.2730640799009,11.9011681705102,12.1804398876371,12.1892748199601,11.9787540173936,12.9201016063292,11.5911846754106,11.7907896941446,12.9879284241904,12.693224897476,12.7216439842448,11.5345241118301,12.3941095737794,11.9421807190751,13.0701747872952,12.0071194806753,12.467949268677,11.8599380020084,11.6905199268337,12.2339926280561,11.5007847965226,12.5548929448155,13.2501437098289,13.3953870227699
"RPL7A:processed_transcript",10.874257772142,10.9905167626994,10.9908609085291,10.8922849588839,10.7596851849846,10.8134084734699,10.9483089477622,10.5941559982071,10.6310397230656,10.6645778142486,10.6289214512863,10.8727918994267,11.1087037011998,11.0020261641885,11.0388781771778,10.4575133156342,10.3184971197865,10.3226767052404,10.4411288396164,10.5779755235361,10.4048611945956,11.3395063207995,11.3567436810657,11.4434043731947,11.0400058749187,10.7922849109956,10.8477388712593,11.4462062609563,11.1695961623209,11.0771431413593,11.7742352497597,11.3101616845505,11.6740607663843,11.0155395712251,10.8645906985296,11.4233598147268,10.8257987848332,10.9210086166848,12.2611262478851,12.4468439316695,12.4360078171515,11.753158036751,12.2182920400691,11.459261544355,12.4678008112747,11.6995063842292,11.7347550163351,11.5343649093517,11.5701731571724,12.055327224612,11.7731515122886,12.7342052613234,12.6245375862188,12.8816208893447
"GNB2L1:processed_transcript",9.62668966980029,10.0004270727037,9.99935906294233,9.07387174752307,9.48608507748882,9.18002448662713,9.72956246148889,9.39126170249199,9.66817942965874,9.62727551167226,9.67269911448002,9.74985720271384,9.68410810407497,9.68576240236949,9.94486692519746,9.72111636256485,9.77536181457107,9.72788407654803,9.05069566068108,9.16075167835259,9.24844369398266,10.4648581277248,10.3633266861573,10.8393665702336,10.3735450991907,9.8418320668135,9.9651043202617,10.9119117036915,10.4732481224263,10.1309751788818,11.3818807856777,10.9367000282847,11.4326443821754,10.3946931934736,10.206493739265,10.9551645809943,9.83301259232485,9.88812309809006,11.233688535893,12.3565122711199,12.4797373160817,11.6116152742668,11.4778171426892,11.0588490931173,11.9960732752233,10.7139102168649,11.4708011422283,11.1876758067409,11.0103151872674,11.4861230008829,11.2909435638536,12.1394533565769,11.8877268930205,12.1488689461365
"RPL4:processed_transcript",8.95972090524785,9.21009345435534,9.08698283428188,8.90771970128528,8.55154635814105,8.93378985344089,8.486052116311,8.51157439870573,8.2260148935661,8.17122335710906,8.2837360071784,9.05339590739301,10.3815500527564,9.54057443735797,9.40013606410039,9.88143306699129,8.24711360897677,8.74981742474296,8.27732540833889,8.26108727414926,8.00074679479546,8.93417210463216,9.23189621635424,9.06250351626727,8.96641654448529,9.08357990110129,9.28303303827984,8.12503833285813,8.04332170552084,7.97336056880982,9.04011752691497,8.39206199484007,9.25891080160033,8.13673834681621,7.76892725597189,8.59224600411065,7.41066622288449,7.52245980615406,8.08925597762432,8.21246048017767,8.20832144010664,7.94670373037395,7.13568151552916,7.11927675175833,7.39315774306273,7.10526122662405,7.39569082040936,6.9524211045485,7.13119421906499,7.37657884553764,7.10418922985659,7.17583047097884,7.56665495452879,7.98295669719484
"ANGEL2:processed_transcript",8.20039484651763,9.1630741839043,10.0805987400019,8.24443343213944,8.085391927954,7.94701882324445,7.94191611944585,7.92600627988665,8.27841269008746,7.04684812486184,7.11875647889784,7.4862541513985,6.50903519569703,6.33060805220912,6.38063593787426,6.66044921103856,6.48736513093063,6.52720389336972,4.85421488538818,4.87715915565511,4.79942284301139,3.70916680868091,3.52237544997606,3.15596332306186,5.0093717508457,5.145281778815,5.53490558548419,4.6426801407793,4.27624812177061,4.79339845538167,3.76497532926312,3.49584366156528,3.95312386321029,4.62786363328039,4.91595346056028,4.3606468687932,4.24679618219493,3.95189176245679,4.16995243140185,3.86281906413692,4.08126120171779,3.95186435899312,4.34069556813919,3.91513241747566,4.61341261102163,4.26800294245483,4.02907284060412,3.88829119976241,3.94985004292568,4.04166795246996,3.96970601445857,3.86502537317715,4.47751068989583,3.81883754401781
"DNAJC18:processed_transcript",7.00660528014227,7.54481281311088,8.52951606797296,7.71193228165608,7.35713581588735,7.39502658894866,6.5959468821641,6.70416748129171,7.05032286163085,6.74617110783133,7.03177356167618,7.26812337536254,6.57311265761809,6.15183275465636,6.28986758930431,6.26577943000694,6.01969279646284,5.95967245299335,5.38047282018391,5.24872140983093,5.13212555907569,4.56283410652977,5.09255697952817,5.43754333260453,5.61255749296619,5.60070679906445,5.95464509789116,4.94218506969563,5.90338470910775,5.56734261089113,5.74605567122749,4.81223699781941,5.00891438765561,5.56360739894263,5.38669668310275,5.75746913490464,3.73820196982995,3.79699222534301,4.41230385320406,3.99312876613493,4.26027355942335,3.13936889567978,3.88321124826607,3.91513241747566,4.61341261102163,3.46951410919794,3.41618189657375,3.40412323414784,3.36313561870856,3.96726069046302,3.77058574090246,4.02593876732697,4.28301481959317,5.25333668661542
"CCAR1:processed_transcript",6.89109125338808,7.02955697555959,7.2819162545742,6.71015540782441,6.60699097525749,6.77384824853368,6.29430289431509,6.57499826317318,6.26759803562623,7.20106900400648,7.35200707660359,7.20327469923127,8.0692926257233,7.90344177026716,7.67023782996714,7.62788642756043,6.99456149688324,7.17722418211812,6.54846757250408,6.62212851297948,6.51971378104463,7.22051193840329,7.25342094528917,7.06137471924596,7.09302412113761,7.79493438905815,7.4227785848978,7.5634197207872,7.77087731509272,7.78534852639797,8.10488038464261,7.38328597849555,8.06263453808742,8.11988088848172,7.83403233505507,9.05638657353614,8.02887088961209,8.23347336151241,9.33304768189214,8.70499112883157,8.84279600856136,7.80021789009166,8.67724884857434,8.21599110483753,9.42637749200545,8.27647102566147,8.77180045479025,8.12154718999494,8.38069233470113,8.83328249993635,8.09361894191465,8.83938638251396,9.78749359264745,9.9177968937295
