"","Row.names","baseMean","log2FoldChange","lfcSE","pvalue","padj","D00_1","D00_2","D00_3","D00_4","D00_5","D00_6","D00_7","D00_8","D00_9","D05_1","D05_2","D05_3","D05_4","D05_5","D05_6","D05_7","D05_8","D05_9","D09_1","D09_2","D09_3","D09_4","D09_5","D09_6","D09_7","D09_8","D09_9","D16_1","D16_2","D16_3","D16_4","D16_5","D16_6","D16_7","D16_8","D16_9","D26_1","D26_2","D26_3","D26_4","D26_5","D26_6","D26_7","D26_8","D26_9","D36_1","D36_2","D36_3","D36_4","D36_5","D36_6","D36_7","D36_8","D36_9"
"20","RPL17:protein_coding",10050.9413591337,1.58842821829919,0.401263834479123,9.63292711901905e-12,2.25391386579549e-11,16043.1864889321,21234.5786771683,19254.6133490597,14201.178880574,10944.3665463136,12956.2147837242,7722.07016927608,7956.91791611769,8460.63763887627,12830.6855115761,11003.7838910043,12551.5886392174,14154.4887074775,12601.6718395187,11433.6883699838,6244.83398101008,6260.62813236303,6549.84691578172,6410.17079606924,6115.9998232211,4876.60721403072,9212.10666118439,10371.7012226514,11231.6550794731,6951.77764102614,6812.72154384798,6886.95592014097,10912.4074009891,8074.55995920546,6968.10366398312,11441.1747173858,8888.53068016163,9738.70338346602,7497.77338947385,6525.50831479908,9596.00094898794,4770.3265405548,4515.34430249487,11848.2548769644,19072.1386674072,16160.6116382675,7033.74126665522,9051.5276773297,7006.06880458071,11495.0333219974,7187.10345344363,10711.5740621082,7977.62218611475,6852.67994392275,10115.2567805295,5402.46199038462,10522.1989110139,13216.1949542538,18895.2552171225
"56","C6orf48:protein_coding",4171.74002319667,0.760360838623169,0.397649095068616,1.38580296979502e-09,2.95746977939341e-09,5180.63802582415,5424.48345477832,5167.14266976725,3911.58046639084,4373.12110528461,3465.16442508293,2769.42438628173,2100.37101973818,2628.07734950945,4410.64125372781,3465.26318641164,4468.41582765639,4944.51742068531,5051.25052989351,4422.6791924611,2214.46745920764,3316.70484152539,2695.20623130051,2175.27120732556,2321.22450005273,2236.09658707029,6658.98192196305,7986.35067008774,8535.60878665659,5395.13584455444,2385.99478050934,2661.84689244724,3414.53346166618,2840.05776086751,2239.68496826238,8844.25982987607,5764.37401775055,7211.28975779251,2502.7985932823,2463.41796360052,3468.43407794745,1394.31675105328,1691.29552869526,3662.71750790216,10226.5765590558,8704.39656798938,4054.50099876315,3625.12993095662,2627.49968546738,3939.55254174417,2860.96327682858,2655.34990183732,2596.22185435239,3805.89555039693,5378.87446817402,4328.34522356991,4941.64280640731,4378.12848025302,5288.04315193436
"60","MT-CO1:protein_coding",2740.06350737671,-0.320061388970856,0.326678122886918,6.36986941051087e-36,3.18993183400387e-35,4576.88874207105,4762.68318031998,5336.02702684587,3375.00631595798,3544.55090736451,3465.16442508293,4104.12045322428,3459.30364770307,3471.58084846996,2396.50469381788,2804.48804453877,3563.51811785838,1780.13624125312,2074.86158549744,2221.46014358172,1496.86561508184,975.537789361989,1009.01219905084,2081.57086633389,1963.50515472005,2091.70863601947,1076.67703639629,1264.79870744341,1037.68111329703,1459.27265079476,1339.26145728339,1537.17251007549,2455.38442625112,2278.0963112571,2643.9507358305,1427.51305175486,1272.18394019657,1362.13250980525,2086.89115482958,1933.43425138799,1894.15038812352,5448.67315161898,4960.51909288169,3000.39270111533,1912.45513958982,2425.47861407092,4554.4972386182,3512.15843033816,3294.37474765031,2408.07060281258,3866.72706051434,4592.18207373383,3683.60048815583,4087.65417502446,2485.61598049161,3520.76526368944,2916.37936115841,3531.00416309737,2139.78623489942
"61","MT-ND4:protein_coding",1950.58986769704,-0.0701526438807275,0.311858619129832,3.40958462475751e-78,3.93625663275197e-77,4502.80907535287,4983.91627063389,5452.80876312364,2441.63783579325,2937.20090791822,2773.53160650072,3369.61790066155,2647.35810155693,2661.29159721257,1438.10144908756,1848.34336920199,2296.08126150669,1080.45334797294,1176.44651897705,1291.63485569302,754.24153977855,506.933452013201,555.491919745465,1150.4978577458,1016.78694623281,1167.24241845069,514.680592286297,636.797123914485,445.866073410472,909.20020443798,731.320335143606,890.572880837314,1640.01498511975,1503.21779067629,1946.78959653191,930.60506448964,809.023190630803,883.358265254968,1382.5449624008,1306.17504769341,1267.9053462719,3329.40153725126,3413.92841323556,2193.95092248137,1338.3529275141,1480.35352938424,2429.32120838944,2533.07209164489,2358.83918593084,1722.59865344053,3026.06486542727,3548.46072503477,2869.47139475907,2460.00267067766,1720.49663472509,2396.1747493822,2404.33162217095,2770.9673925652,1485.56587736676
"72","RPL3:protein_coding",5054.01003723145,1.0334554054667,0.351797113348893,2.72659355572625e-28,1.10365510133313e-27,3566.93595247997,4043.91301136021,4223.90556906217,3377.26082919509,2598.33178571061,3015.74309964793,2679.18550125259,2723.06051993618,3178.88029058621,3397.61398986779,3422.63253209726,5266.96872113198,4928.02194972389,4291.85118960145,4101.35181406147,3446.8123446989,3172.66155577042,3305.90931548315,2691.80916304545,2552.5040178746,2058.48662958299,3472.40414608166,4081.13073889946,4647.9132400847,3321.29949507143,3626.75186612033,3828.82877509629,5581.43108906422,4619.0206106694,3943.56433135315,6129.70241534591,4427.17330084214,5607.7917197429,5139.60272665546,4378.06798215059,6697.93158608074,4078.50284450259,4108.41951997773,8788.06896412522,9901.13008214667,9034.16303775506,5731.13969554283,7167.41409479303,5271.11900090696,8679.24706156575,6208.45780508326,5225.32186246671,5352.60025166808,5127.66230935299,7737.03249062876,4676.34842996577,8675.77004923225,10777.7436487965,14829.9470565593
"76","ZMYM2:protein_coding",1393.12550247183,2.37129459723656,0.535608873071918,2.65929263124281e-138,6.85478471122256e-137,3136.0392244026,4425.61130451982,7937.56478269531,3926.23480243208,3318.3029771072,4862.43072659111,1971.96447207077,2688.92021360828,2664.75141468165,2542.49979949182,3339.40125462633,3856.44974827376,3294.97032454342,2991.9504062873,2574.41423245376,2455.7532598477,1556.65662459663,1989.85543665414,663.018868535981,535.788769077083,486.83017124216,225.957333198862,328.953210419914,311.143950509466,439.4256899057,1315.38160960523,1321.40425866122,497.199113135852,582.904112328809,525.282418163339,307.275257142806,204.434194815572,325.447781936041,828.546449098353,651.410360200463,1732.29013115264,101.63968261806,146.087379454059,348.027155418078,149.924781497481,119.167945460494,157.448892734693,360.253563083293,217.913516290751,616.669932148829,116.448463456084,162.122158024027,115.200320377108,100.812718903428,191.372735827953,141.680694715873,295.000637685311,469.744948453911,602.796923316126
"83","MT-CO2:protein_coding",1314.65434871772,-0.14398447493095,0.365227683486121,3.12336303451414e-55,2.47587550405752e-54,2961.9520076149,2912.11110726503,3408.23005721435,2553.23624103034,2579.22640493332,2391.31346991581,2532.28499074005,2059.55108825917,2082.1181528894,819.360286945608,1045.46604628119,1464.6581520769,786.284115827633,897.377635727641,1024.70541930592,638.06689502593,365.363012365612,342.534571202072,826.104905072112,737.038827865132,770.494995430505,462.536592317329,642.074448145821,487.565778117926,596.860217656087,548.24150294439,605.702378970113,851.546242273717,838.869989998146,1032.14925906219,705.855162122331,527.507250229033,580.662151964912,865.316261928162,840.594419496581,822.789639601978,2582.54641083126,2198.68418730384,1298.58590589917,761.812914113218,1108.46735475753,2024.5623475544,1462.3533135611,1257.92816116332,955.583572544673,1855.19949314281,2038.51825917785,1696.39496165071,1866.32777046859,1130.77133033876,1523.95297253761,1337.43812422097,1337.98139812434,948.476675549544
"85","WDR74:protein_coding",9133.2697103574,0.944371595400294,0.522111989978773,6.67721619002421e-09,1.37445277113321e-08,2665.63334074221,3162.77864307134,5244.39827992024,6833.42962168914,6556.16224567847,7358.74917908519,4922.56615465131,9184.48458277739,7809.49999119633,7497.39491654835,8428.68936730001,7883.05120266339,22914.9584105711,25051.878783296,23004.0041292084,17542.3713576457,4683.5705273805,5458.58134930407,9990.35407813697,7108.02563656638,6969.59361952851,7653.58043988967,10408.6424922707,9071.28960866773,6194.32155972107,7505.23712651458,8835.21630791096,7078.59409018598,9279.92654677561,8620.24402428317,11888.9186635082,4661.09964179504,13153.4320863329,11593.9305387145,11739.4746582368,18199.6443701187,5315.02539215435,5701.09454645479,12556.5744620003,10366.7501352527,8555.43663616376,5335.59735525811,10049.4425994594,6544.56976871016,15309.7229435957,7219.80473427719,8584.79995359181,5944.75799604553,4224.65607507271,6641.56292709321,4153.90086820099,6872.13920742569,11376.8004089034,12290.2007777534
"93","MT-ND1:protein_coding",933.784878688712,0.158093395450113,0.26081952137724,2.12563298539774e-77,2.42559086830034e-76,2221.15534043318,2658.59507673364,3580.70769848614,1407.94351657699,1451.00339271688,1391.66603577068,1578.83072488958,1266.16005642168,1421.98497978987,940.52629301514,1277.90461385245,1382.4826121914,673.565064257938,772.885940597795,810.908856512461,494.189065755377,405.546761610561,429.294972460491,613.796537508712,592.686691456951,665.717898207783,485.711703414648,547.082611981781,436.243064631829,555.762850974259,460.682061457809,564.100003697427,794.962014845943,764.407189221612,841.854960662446,553.095462857051,448.414676497106,585.608166887952,648.782919708178,580.298621599795,626.245041851622,972.596299969502,920.304406213743,766.579637484754,582.634516713789,680.079137024545,1037.62660529059,886.198660406984,777.324378659062,774.659749476215,910.850310046902,1052.35507309087,867.514607717858,927.132355043491,697.860190067759,861.595724740901,962.955449439098,1058.24564230347,757.067225965751
"95","MT-ND5:protein_coding",1280.75104276325,-0.139807586503202,0.308920001289536,5.44871053199174e-56,4.41923816839868e-55,2024.84422363003,2128.7750578703,2779.40532341096,1206.16458185539,1393.68725038502,1328.66304622372,1536.15962421689,1125.145747676,1329.26187161866,924.635669268316,1133.77240164669,1350.57916729467,702.432138440421,773.923371390544,901.993782672987,487.039856847524,361.65374320454,369.013394962758,857.536032113621,781.292767493918,864.411052087458,482.814814527484,533.009747364887,412.185542685221,671.467744863098,573.116344275805,581.02300380835,1214.24186398289,1193.73177494882,1416.24558486443,781.357082448849,628.718933563955,727.0641936869,940.490101491326,921.098274516206,978.869173109613,2516.28407630678,2380.25651381772,1576.08773466865,1104.32400029852,1290.30120257225,2274.17644579232,1841.4354600808,1725.99445368921,1360.75100730361,2143.13028292121,2439.50679204201,2037.78127691458,2036.93391015131,1316.19850544196,1882.58223103716,1770.00382611187,1894.81389320173,1154.17041241571
"98","MT-CO3:protein_coding",695.358686439287,-0.519466873027626,0.326825002252545,1.64258294028028e-70,1.68163302527562e-69,1968.04981247943,1825.885118771,1900.84733818281,1249.00033336053,1456.03112450037,1248.85925946423,1649.48287518371,1189.71545747007,1347.25292245785,594.90522652172,588.709035769991,885.562288648475,518.232712704576,532.201996680092,602.172567394589,383.376327683647,217.610457449569,249.013619196243,404.453370609605,417.778263400322,424.858351543355,321.554666475304,367.653588116374,280.671089377096,418.560872974926,277.603229258593,345.511252264674,448.963378279389,390.929704076806,481.435805628836,393.312329142791,371.332930910907,348.199450582025,446.140395668344,428.012162521005,435.481167564513,920.372595640885,875.602589787737,548.871020439084,466.83895376858,579.40276930792,928.564445445093,679.084242606485,589.262028983482,456.131891961324,767.283711265429,888.314309646443,737.563026804657,821.149753119374,542.904013678911,770.388777517558,603.75778179118,601.695776671301,362.820896972265
"105","MT-CYB:protein_coding",954.094049469195,0.15370142862432,0.33814096739322,6.45625107228055e-49,4.46547078625803e-48,1817.42115681915,1983.50182689164,2518.8922194067,1347.07165917495,1440.94792914988,1345.46384343624,1215.0770798109,980.420536068601,1036.5613137349,689.255805018487,880.018506918246,1178.49391906385,552.598277207532,602.747290587005,600.907498975693,433.420790038622,302.92364815423,267.605133751619,625.064300033026,580.569541320497,601.829424291489,393.976888654427,409.872181967058,341.616811641836,464.084109914797,375.112607277741,447.049252930211,719.825581704144,669.001725726677,805.023806133464,586.456776489698,510.080072966066,462.946996796556,619.367069444331,617.196221817123,637.806488778114,1795.26002944717,1635.07262556152,1039.48198842933,726.464794898365,772.537025743894,1569.11262369258,1237.66555121995,1134.94135470881,823.075983818478,1503.4613261282,1646.1634507055,1441.40888666967,1484.61807410775,933.453033786054,1402.63887768714,1241.14257927706,1311.59123248086,762.7809408787
"106","MT-ATP6:protein_coding",699.159776675079,0.180850645682323,0.321175793138573,2.33616407227862e-85,3.04346368695889e-84,1813.71717348324,2257.90681874022,2804.5583127631,1268.16369587599,1282.07160479142,1320.26264761745,1357.78043288023,1257.25388955353,1204.70844273195,690.248969002663,849.568039550832,1004.47512871808,449.501583698664,442.982948503703,526.268462260817,359.247747619641,254.703149060291,259.717824546308,527.805718244206,411.456272024781,468.941398545598,203.747851730598,216.370293484756,160.383479644055,289.578368311958,347.252784986556,390.639252560469,526.882642278291,470.046429901874,625.252694742004,302.007681306072,235.266893050051,283.901256582504,450.225930427212,394.468889596161,499.069125660216,863.656529649592,842.882703537775,582.600524488413,312.038569620774,405.787400490476,672.806000173615,709.20997610474,558.813839036007,555.51258350597,801.580176529892,897.907336748456,700.333654975469,705.689032323995,445.173859265801,572.035804915336,649.612803193042,815.456118383474,457.097193035925
"134","MTRNR2L8:protein_coding",1494.7908569272,0.414392746823979,0.188855037282458,1.75396581017841e-24,6.39584575673929e-24,1414.92163431708,1155.53936013744,1433.72039307172,1637.90386676251,1640.04610777632,1575.07473867406,1324.20317333451,1114.01303909082,1280.13246355779,1279.19521161932,995.730282914416,1475.29263370914,1043.33853830974,1192.00798086828,1165.1280138034,857.905068942427,746.181312902358,756.054925251941,1451.762245238,1465.64833389621,1438.76843259494,1477.4133324541,1840.02704865898,1295.89851552396,1439.0401010437,1212.8972633198,1360.18613391542,1614.04189712012,1692.86523640403,1641.61717329177,1643.48366106095,1694.45785079923,1923.010602078,1577.0164169229,1851.58866545137,1691.82506690992,1655.43527269636,1577.00634855455,1681.87572464155,1907.5795369395,1853.26701388562,1966.95909411487,1915.49455493068,1540.91722067514,1995.25849947328,1479.53355966463,1641.3669371545,1397.8575460393,1674.18045153299,1562.93927551917,1567.34268529434,1649.25226975363,1654.66338584608,1599.84017562574
"141","MT-ND2:protein_coding",600.606281075845,0.214737678059927,0.31683803649869,2.54525870602552e-63,2.305604964757e-62,1327.26069536724,1563.8236040644,2075.12162155117,954.786355917304,959.29122429099,957.645441113827,971.641948104401,826.046977020706,828.280302096581,490.623008183188,619.159503137405,814.98800145269,412.386774035472,464.768995151426,442.773946613668,302.054076356813,200.300534697899,206.760177024935,422.244574595365,355.085182259542,392.275229846045,199.885333214378,214.611185407644,165.194984033376,254.171406247613,246.758426007638,288.39612689031,534.303524563901,516.585680387208,585.790743460952,279.181519346892,237.277721195778,313.577346120744,388.125802092424,370.98859854877,464.384784880742,888.364518794314,869.611624699716,604.064754337986,364.451298111763,398.59623136786,705.063822099748,656.489942482794,580.306678998931,578.446589247042,744.951129232755,879.680585254631,722.811766268564,728.091858746979,458.551370896493,657.044221744859,680.18281746095,818.095134947822,451.383478122976
"147","MT-ND6:protein_coding",683.612055442237,0.496665880197902,0.245372798717769,1.40429580235464e-98,2.24770177686615e-97,1312.44476202361,1351.1359979257,1665.48722353068,1353.83519888628,1297.15480014191,1467.26962322703,1166.11024297339,1151.86424828045,1048.32469312976,755.797791958312,972.384924599399,992.873876028366,819.275057750471,985.559253111282,826.089677539216,616.619268302369,504.46060590582,498.590617621437,340.998076393729,331.904547215892,310.497983233189,280.03259242594,297.289265031901,237.367549873201,359.760025260925,566.151388703009,561.984628683562,545.434847992315,521.239605435741,529.667079416789,326.589701877496,291.570081130406,383.810758027914,558.084048061317,525.287654003051,605.049055819721,578.953109277457,546.560353414872,545.804701889145,430.271933891145,419.142428861049,606.754269562964,617.577536714216,499.708529137968,744.081075154785,547.945852015956,621.62815621047,467.123250309616,641.065494565388,558.139513036088,627.822578459711,696.996325308299,807.539068690431,599.940065859651
