"","D00_1","D00_2","D00_3","D00_4","D00_5","D00_6","D00_7","D00_8","D00_9","D05_1","D05_2","D05_3","D05_4","D05_5","D05_6","D05_7","D05_8","D05_9","D09_1","D09_2","D09_3","D09_4","D09_5","D09_6","D09_7","D09_8","D09_9","D16_1","D16_2","D16_3","D16_4","D16_5","D16_6","D16_7","D16_8","D16_9","D26_1","D26_2","D26_3","D26_4","D26_5","D26_6","D26_7","D26_8","D26_9","D36_1","D36_2","D36_3","D36_4","D36_5","D36_6","D36_7","D36_8","D36_9"
"RNA5SP298:rRNA",7.24866372435056,7.18846448450841,7.63502642354776,8.44446059336905,8.63420778669619,8.47576255256296,7.15977585447056,7.8066792883546,8.16817344245694,6.83689061789231,7.35200707660359,7.17456227550109,8.13428083819306,8.42727497136484,8.19123150391459,6.72295882737664,5.27198508061172,5.65261364689122,4.33845766854388,4.28146769341674,4.25613515560306,6.56929040341705,6.15916412790278,6.11324507669575,4.60630856761304,4.76587685666211,4.62711448203343,4.32801558343299,3.95901727672568,4.05025667059512,4.5344979805131,5.40899464020649,5.00891438765561,4.57707334845168,4.34885312179111,4.20737744744993,3.29744509928357,3.54845448180044,4.16995243140185,4.49198484326306,4.08126120171779,4.02966224782621,3.56043830081859,3.62092107552435,2.35962910757546,3.89478006458865,4.11961793419438,3.88829119976241,4.19406844677392,4.11168372755587,3.96970601445857,3.86502537317715,4.05262964842882,4.54994849905226
"RNA5SP30:rRNA",7.20097823213964,7.13091117536929,7.56826157942562,8.37756175885597,8.62321090571288,8.4413050200058,7.13841731504782,7.76295918237047,8.14366504838982,6.88626932007908,7.35200707660359,7.07449257786188,8.11294195437286,8.43594641200092,8.21600230761268,6.73514067545022,5.42747592782378,5.70076595044965,4.2446520182172,4.19448482860548,4.0283072446635,6.44647301127255,6.22882929281585,6.11324507669575,4.52549926289181,4.87108113462878,4.62711448203343,4.17666440221118,3.95901727672568,3.86779392669792,4.64468979680392,5.36202297934321,4.86517770806797,4.52424233113691,4.2970945232904,3.82670423728172,3.29744509928357,3.2117993100218,4.02822673120045,4.31556506101992,3.74863644070827,3.86845013020024,3.34912475532427,3.62092107552435,2.35962910757546,4.05827590302419,4.02907284060412,3.88829119976241,3.85566410546988,4.11168372755587,3.96970601445857,4.02593876732697,4.05262964842882,4.54994849905226
"RNA5SP283:rRNA",5.62172819413467,5.48569522593597,5.26016505292903,5.44216694588477,5.27596656560312,5.84318449733788,5.28425173225311,5.76316160031271,5.68000888945316,5.29979309957063,4.72939135882033,4.68222927901925,7.07853013738711,6.72053323662596,6.62281725661621,6.00827749239897,5.36294251150526,5.07504617718876,3.61695479109839,3.3722742060748,3.47018633350987,4.43284936055936,4.84283026512555,4.91856028664413,4.56652535530689,4.65172586266535,4.5833763979729,3.80125504950264,3.95901727672568,4.28039350454771,5.09058749985904,4.57948863565905,5.05365546656294,3.91183982901227,4.3985852263416,4.03232493805951,3.17527069557558,3.309069300485,3.6789212427069,3.71533617836992,3.61094485038406,3.57161164688809,3.56043830081859,3.70236996766289,2.35962910757546,3.59340422805515,3.57116324600961,3.96353931864477,4.11804831020504,4.14522319024287,3.77058574090246,3.4471282936698,3.76626876081656,4.11386252138204
"RNA5SP199:rRNA",5.29370488409034,5.21295898450517,5.26016505292903,5.97330263416416,6.41569440734042,5.91240584955936,5.23051846376169,5.70218958607903,6.20099374982693,4.81766519903037,4.89129728273204,4.68222927901925,5.09755298587358,6.01886476142153,5.41065633389674,4.66162006728661,3.87269828972357,4.42155488959322,4.29242949312397,4.47584996695541,4.65484967517953,5.88425389513493,5.88444867968615,4.9951458808708,4.19457210659259,3.84862431620406,4.33954236971628,4.7500979893607,4.07428505805547,4.13188420387704,4.64468979680392,5.36202297934321,5.29535874625997,4.57707334845168,4.66251448689852,4.03232493805951,3.66444676376503,3.2117993100218,3.6789212427069,3.99312876613493,3.98070490641664,3.86845013020024,4.01496739623507,3.84865544621865,3.35625516334432,4.05827590302419,3.93101301303349,3.96353931864477,3.85566410546988,3.60783354833721,3.65558587363328,4.02593876732697,3.37317015003562,3.81883754401781
"RNA5SP85:rRNA",5.19809157142353,5.21295898450517,5.03643638176632,5.47959810566674,5.70019175121949,6.04149512802427,4.5759401464341,5.821618130473,5.8292147544895,3.95602147028982,4.33061410458363,4.79086806445623,5.7108100539498,5.55619783630801,5.68651588951947,4.60740249372737,3.2143248597005,3.9358486445217,3.97304813146844,4.10088948367714,3.823099906727,4.28824910980831,4.64644945572149,3.70699447339728,3.65535919473307,3.84862431620406,3.81023712584762,3.90710287786342,3.68620229034286,3.86779392669792,3.52135557267264,4.18597891151188,4.64616531798531,4.46918336071355,4.58030861680284,3.23034007889918,3.73820196982995,3.74015045200434,5.15333137772397,3.71533617836992,3.25786136071775,3.77834880353996,4.13344476508647,3.84865544621865,3.74358560823328,4.60505841975145,4.73007958523128,4.57981673119133,3.94985004292568,3.80224838101083,3.96970601445857,4.1675115068423,5.36789818753063,3.81883754401781
"RNA5SP284:rRNA",5.19809157142353,5.17478489291346,5.39152041401524,5.44216694588477,5.48773892351539,5.94579222148311,5.05556859143654,5.59433755864933,5.32385667219456,4.70823616272177,4.9412333047888,4.6244019121709,6.80414553622315,6.57072068702093,6.40245637163487,6.06750254301039,5.22417874156943,4.9457224718845,3.77357780636245,3.69780741601784,3.66169870350011,4.84087631217834,4.53619862801298,4.65880099403593,4.52549926289181,4.52681908601042,4.53813469628264,4.00394492756671,3.95901727672568,4.34850581726573,5.23492415558295,4.62121963454304,5.00891438765561,3.71883542749301,4.2970945232904,4.03232493805951,3.17527069557558,3.10024651272672,4.02822673120045,3.71533617836992,3.74863644070827,3.57161164688809,3.88321124826607,3.53234996042872,2.35962910757546,3.59340422805515,3.93101301303349,3.80768460081698,4.03693109621035,4.07718710744974,3.65558587363328,3.67704410410418,3.37317015003562,4.11386252138204
"RNA5SP323:rRNA",5.19809157142353,5.17478489291346,5.1895309006724,5.97330263416416,6.41569440734042,5.94579222148311,5.23051846376169,5.66003143903301,6.20099374982693,4.81766519903037,4.89129728273204,4.68222927901925,5.09755298587358,5.99544571478966,5.41065633389674,4.66162006728661,3.80104457981548,4.33844410574173,4.2446520182172,4.40160424491358,4.49257123456605,5.83591036021544,5.69978949092887,4.83740933752093,4.19457210659259,3.84862431620406,4.33954236971628,4.32801558343299,3.68620229034286,3.86779392669792,4.64468979680392,5.21081067826899,5.13899815916024,4.41168004070598,4.44645884382524,3.82670423728172,3.49872445538387,3.10024651272672,3.6789212427069,3.86281906413692,3.74863644070827,3.68009912840646,3.56043830081859,3.62092107552435,3.35625516334432,3.80334606930247,3.57116324600961,3.88829119976241,3.85566410546988,3.60783354833721,3.52610138366215,3.67704410410418,3.37317015003562,4.11386252138204
"RNA5SP242:rRNA",4.86367079617188,4.82399162320497,5.56800119602256,5.86504929257579,5.58273369762679,5.48145494883388,4.81856928295743,5.32323434196847,5.8983172044045,4.86921861290968,5.36068638436201,5.11438335188194,6.19253434100172,6.43847472402337,6.24222819667459,5.58930316567801,4.92685243281453,4.67653302860943,4.65723544080606,4.90357702976729,4.44864616045176,5.11311904529876,5.74825780359567,5.13657316543695,4.19457210659259,5.01502390709363,4.96724102170909,5.73792682298933,5.18186436899022,5.12688789889384,5.9662272708093,5.70003605475433,5.70865094696716,5.9186231342293,6.20240358482123,6.08071765053686,4.91498579921052,5.06354306234225,6.02355663361514,5.71215062642159,5.4790599882439,5.44136613524453,5.90774540525592,5.72112916005599,6.09780645950187,5.56051457650592,5.46609711065278,5.36582597154172,5.34468067485245,5.60709611292358,4.80306126536732,5.58278717858985,6.34329747175533,5.79441240688357
"5_8S_rRNA.1:rRNA",4.86367079617188,3.92366927685734,3.20122808430398,3.8096769023689,2.35962910757546,3.62390322745333,2.88926920161178,3.12643370575384,3.51317186745664,3.59116868290984,3.60386913742489,3.57561034356985,3.0981705759105,3.4564746907467,3.35284590502582,2.35962910757546,2.85785640891324,3.02956817504087,4.65723544080606,4.43926131613397,4.65484967517953,4.62328487836336,4.74823212106892,4.20640127356476,3.73873859522648,2.35962910757546,3.40603387188633,4.0934025391182,3.83098721045119,4.20836852218614,3.96343817274702,3.77662435154785,3.95312386321029,3.48237087481338,3.49631879522785,4.20737744744993,3.29744509928357,3.54845448180044,3.6789212427069,3.54385610373108,3.61094485038406,3.68009912840646,3.56043830081859,3.43483298834185,4.02615161507381,3.80334606930247,3.41618189657375,3.72070012373488,3.63908288099939,3.84582194584102,3.3763923633107,3.13748655370631,2.35962910757546,3.41247407199288
"RNA5SP450:rRNA",4.58390028658036,4.60739648266208,4.4344984794026,4.70967396961004,5.07100077627622,5.11715474975688,4.09765261770921,4.80086242791281,5.21862189566758,3.95602147028982,4.25026265788566,4.03491722397988,4.76368712077793,5.4561474688563,5.17398921567019,4.36483563965486,3.45289635457541,3.40539296810868,3.32247475532199,2.35962910757546,2.86603521763892,4.43284936055936,3.96478538307589,4.06240706654475,2.86343218341987,2.98982814305381,2.89136092521324,3.5520654542721,3.04020282716747,3.3716522504655,3.19188036657864,3.49584366156528,2.98802018332981,3.3378288358703,3.49631879522785,2.35962910757546,2.35962910757546,2.35962910757546,2.35962910757546,3.05592233826875,3.74863644070827,2.91430117829236,3.06602551815994,3.19995774519835,2.35962910757546,2.92473849128125,3.7050340461683,3.10608026323554,3.63908288099939,3.21507529782585,2.95465582649513,3.13748655370631,3.37317015003562,3.41247407199288
