"","Row.names","baseMean","log2FoldChange","lfcSE","pvalue","padj","D00_1","D00_2","D00_3","D00_4","D00_5","D00_6","D00_7","D00_8","D00_9","D05_1","D05_2","D05_3","D05_4","D05_5","D05_6","D05_7","D05_8","D05_9","D09_1","D09_2","D09_3","D09_4","D09_5","D09_6","D09_7","D09_8","D09_9","D16_1","D16_2","D16_3","D16_4","D16_5","D16_6","D16_7","D16_8","D16_9","D26_1","D26_2","D26_3","D26_4","D26_5","D26_6","D26_7","D26_8","D26_9","D36_1","D36_2","D36_3","D36_4","D36_5","D36_6","D36_7","D36_8","D36_9"
"3","SNORD30:snoRNA",71760.4485826636,1.50828837414686,0.427691578791062,2.68909276768149e-06,4.8378704766047e-06,85569.4230261602,99141.8589061226,96547.9529860753,66191.3813850156,61780.7681555959,78293.1150767928,43396.5093841272,48120.7617691748,44200.5520944221,72314.2560158589,87229.4238362712,121948.501190086,140585.400513853,110349.438563096,98188.2853326282,59770.0674229962,51961.29704288,57024.1187959396,44906.1849403234,40316.392667053,41622.7018717264,65626.1208498337,69001.0143247118,96124.2346898677,54371.1838528788,60172.2411806933,62398.6270339956,67668.2427316181,62317.2198811244,44434.1571424647,89424.1232630055,61273.2849805426,74999.3918870114,53216.5415551061,51772.0291631206,115550.881306819,37666.7679059205,38434.8061004669,96250.2061233108,92758.3404224254,101944.068101954,48449.7124462923,72728.5416203692,51965.5078670226,91412.3986610535,55582.6063104628,87150.7326163716,57277.0373387159,47690.4475715122,69904.1870261803,44544.4104186704,74139.9271032435,97358.5990919195,131998.241918949
"4","SNORD101:snoRNA",41931.6461285281,1.6648326506939,0.401364246553993,1.1304535868149e-12,2.76174748404217e-12,56167.2033057178,85401.6698506181,91820.9876299704,56421.4482719869,43344.0757055169,47924.2740487226,26805.1460110961,29401.4833734728,30442.9339103919,43401.2661085128,55906.043070992,70634.2270013481,72804.1357108023,65791.7860145382,73160.1717331859,33937.2946855808,30866.6833238623,33840.5001453863,32945.7515408299,24325.4423152371,20271.1738889009,40537.1318277275,45337.4924714034,56629.8028275193,24833.5580178794,35839.671390303,39836.7422611123,43519.7641639583,31034.699186145,25495.9282565625,35447.2736639941,25216.4552234643,31917.6235013626,30768.162269032,28782.8116313498,37913.8382876078,20746.2877034488,22529.2546352385,54393.4247573682,41094.0169382608,59230.5781333643,31433.7113802575,41946.318179632,29127.5743364196,50508.3253104212,33490.8971268559,37356.2068379505,29897.9953427491,27974.2370249461,39426.8711535566,21337.9981285524,44584.8373090302,53152.4326225293,67353.2713938435
"9","SNORD63:snoRNA",26581.0279666901,1.42689374870306,0.430214856873591,2.29401417857124e-13,5.76131494234091e-13,31766.595749864,40937.6166904896,41637.180588267,24290.1256166542,19336.6564393247,21191.4055507294,17197.1530973352,13353.3128576429,16761.4317106813,21730.4279737817,20356.1374351158,31402.6574889517,26868.3729509911,24784.2216387669,27419.0929111561,18123.2445814088,17907.7332981298,17520.5306411402,14036.0738644987,11862.6899835877,10781.1799733746,23540.119097102,24977.575586911,42395.7690091094,14396.0914150545,15344.7921205234,15806.7872286065,30433.9658635712,20043.2917027712,15572.5629077539,41580.4877965645,19480.9030758025,26017.0276981757,18539.3396287895,16759.5608841689,29156.0422407905,17995.839275475,16834.1510538717,42782.8095680241,46388.9214165134,51469.2520303123,25600.4219152819,37643.3592449647,24692.2880007374,41370.398134034,29715.8931711186,39200.9459496677,26780.5622827881,22354.5741814575,30902.4234644435,18163.4650625749,38505.9899718567,42580.532265752,59085.5259148062
"11","SNORD69:snoRNA",30313.2176873809,1.6689805124118,0.411457234108803,1.00690174386595e-13,2.57709851991352e-13,29793.6072929367,35848.3061150281,36895.8420953895,24382.5606593758,19417.1001478606,25332.8020636163,14389.9542940645,14947.5167270414,16425.829416181,30215.0278906015,30407.836713099,40295.0176756206,41296.4115519122,36078.7306794222,36733.7916794888,23517.3227023843,19218.9599465688,21008.9748268034,18350.4408310455,16824.399548158,15338.3448178239,22997.4352455731,27426.2540302507,38719.7796556677,16560.3419712375,23714.678731718,24597.5806612263,33164.8505446756,26701.8949659604,22031.1689340861,34462.2369825249,21233.0046667793,29335.8037115356,23611.9395853995,19809.3152584957,34900.1544554356,17369.7163687394,17338.3138082021,44774.3834662095,49649.4806889179,45813.9111703121,26866.157404193,39216.1735813527,23823.6190522359,58759.470931487,27547.2399373029,32099.2279860471,25510.5489947283,27546.8600285691,37763.6005408072,25559.1973267434,48939.5358414937,64793.1346878675,77557.9662283706
"13","SNORD26:snoRNA",24055.9242210077,1.68346142428384,0.446374316105788,5.8749168346054e-09,1.21460463877191e-08,21423.8396148953,28351.0679986392,27344.8927099644,18656.0970371091,15207.883098718,18549.4801890601,14298.3163565543,12778.122914075,15703.4195286381,21800.9426166582,26685.7745852221,26523.3639618678,35529.8698283161,30786.796205611,29266.0928027446,23993.63874587,21513.7611342188,23189.8158220718,12769.9331808455,11205.7297131461,10993.9285915159,15443.3146574761,21797.1081834928,29581.1289855494,16826.5264538998,20372.495050429,21487.9793908443,27777.2900053229,14868.1270488021,16332.8631691021,24940.2157283224,16710.6521670394,21884.1376284834,24981.4108365719,22499.4857470681,40842.7381756523,12753.8147603391,13562.6232723437,32371.1249317062,30698.0131871062,33816.9864540392,17363.1566734303,30607.7452342265,20765.6655441778,43103.1896789151,18850.2944200074,24265.562054543,17437.3948356179,19604.1964144512,25416.5289032239,15861.1537734419,28268.0921935344,48721.5238109893,82634.6019285258
"14","SNORD43:snoRNA",20467.914263865,1.5735443927606,0.367265508032825,1.69176559143625e-09,3.59699063445654e-09,20669.4616754819,25337.3605795133,26482.5045036054,20593.8511644076,15319.4987443116,17834.0462410935,11527.4929177915,12002.5442159738,13808.8234825726,21282.5110169181,21701.0330771766,30275.4024359341,31815.6396168367,28050.0537743398,25639.1416457692,16605.8249907168,15342.1554617215,16312.0821950408,13727.6929954122,13023.3022336141,10438.0988684441,17587.9780636072,21390.7542176799,25350.2127925393,14971.4545486001,17246.2249918968,18948.8242492012,22860.0278808208,19015.9377483075,16244.2930117825,22906.9314553431,16280.3349438538,20415.1711963405,19265.7477089161,16162.4906261067,24571.9285344366,12430.3647206264,12223.4121534368,28461.568780534,30137.3188823189,28865.3528581808,16787.1241390351,22777.5650024719,16588.2932880507,28807.6594336467,18070.2492332948,16653.4950490953,15975.6151605889,15003.0005260383,22389.8668967799,13611.9727448275,26135.8336983478,33106.4627997433,46235.3810755838
"15","SNORD104:snoRNA",29668.4981317672,1.20868472804321,0.412917707875244,2.61499811214326e-43,1.56094386760059e-42,18849.5711964388,25492.1287929089,26931.6650277507,16953.9395430888,13348.6278851812,16554.3855200729,11514.2019192213,11822.1943368938,12676.7712066912,21019.3225611113,20725.6031058404,24282.3886506373,26964.5965315994,22954.1937203581,23370.8739706883,14711.2846301357,16088.9549861507,18185.3181313021,10925.5783676551,12208.8190113986,12234.6427549703,21275.7176169681,22075.0472596765,21133.7311126971,16547.0643604634,19490.9306736437,20184.2032572986,34649.0270017975,28558.8110603252,24200.6993222933,26608.2814099547,18177.2161613229,25625.3033162709,22667.3639491493,12824.2641046262,18124.4949650965,20060.0794594749,18656.7869710351,40826.498333163,61743.4130630481,64986.5953610811,39289.2590626499,36769.7129735153,31214.1708828201,82534.3902163984,23741.9274773784,41157.9234784784,35982.5390933986,43024.6281453407,64513.4214365568,34791.4655961665,50614.772623375,97113.1705514352,105120.926968437
"17","SNORD48:snoRNA",17250.7722184123,0.859460802949957,0.392402864746109,5.81499352707309e-16,1.62180184414796e-15,18366.8187016587,23666.2436741379,30253.6562643292,20774.2122233766,16229.5181971243,19411.9211126363,8874.88941367929,8104.61185001448,8969.92277032412,20850.4846838013,25856.5068572496,27816.9036367714,35953.2535829926,32609.5621084705,36611.0800428559,14704.1354212278,10602.327685398,11736.8794767315,12225.5223388813,10544.0279491728,9573.68781635665,11380.9108080418,12470.3171586458,15112.9352868593,7868.56505162077,13129.9362483742,13144.9403361593,13016.2275289595,11658.0822465762,8935.0627022809,19490.0305959151,12138.0289636564,18395.2187017709,8941.60137325767,7471.42861127967,15251.4754038634,7407.90438175385,7859.22450854741,18141.8737007142,25760.24660299,28166.7821434123,20524.4232221912,13094.6521605746,10152.3817658198,18242.7274555928,12960.8735011052,18849.3389527462,11918.3160721853,22590.665506069,33545.596804141,23619.9428178199,19835.353757732,21135.8836638616,25594.5859525553
"18","SNORD50A:snoRNA",13997.175029842,1.557905090872,0.500281649473573,0.000160650346110969,0.000256492210680628,16679.0369615964,23791.577442041,24711.0153963765,17313.5344044084,11108.2706024555,17414.0263107804,7027.44061242391,7668.20967347523,8917.33354479418,12295.370124105,14909.5638386645,21723.345661497,22167.1637269867,15549.0127217178,17435.1729492274,10325.2449651675,6112.25736592015,7562.23939020626,10745.294167266,10160.4938057233,8215.41886089624,10341.8933271787,12000.635302057,20253.2258094512,5493.13725741111,11019.5547098169,9830.85281443692,16501.2593723389,14193.3079167648,14226.4719029447,19098.4741253846,9952.25876925118,12711.2583522131,13443.043570578,10081.0952448325,20039.8413392519,7896.44871256994,7176.71533198128,20053.7233166012,12622.9352616904,18578.8990832158,15228.7641226512,13325.6161173945,6818.00645490513,19307.8846111226,10717.246599037,17672.2745273291,9760.41738804829,14406.7406843189,17477.3473479536,10099.1770202158,13985.7815275678,19156.6212406008,30545.5199246257
"22","SNORD18A:snoRNA",11851.6651689,1.99364812154358,0.472709427675857,1.9329918581527e-09,4.1018434971985e-09,15176.4543883295,16458.6025214646,19915.7776406015,12582.438376327,11450.1563637332,14577.4917147327,4130.70245036464,4475.34885124426,4829.90518682885,15334.4519156851,16812.7180491278,21634.4027242091,26006.484593257,20850.2840726637,21687.0679051375,6280.58002554935,4603.2030288906,5755.48220296113,9062.24627021317,8102.6856129848,7481.97918033719,7643.92414359912,8433.16412167415,13637.407274134,4129.33695075414,5966.97693857987,6806.57166961408,17902.8785140335,11091.4668719172,10268.8766555805,10670.3527866105,5903.12115980571,11122.5983589327,6860.4299670905,6702.61679584225,12318.7217001767,7312.44169642197,8444.03486983195,25709.5478819637,15367.8995538231,15855.5006054937,9523.73790200095,9498.39272422047,6994.12833793465,12501.5813517444,14536.9157188396,20499.3396142925,14770.9288834746,9695.25395813137,13122.9673121634,7485.16820270795,9299.39834029757,12142.1152125643,20563.6599717037
