"","D00_1","D00_2","D00_3","D00_4","D00_5","D00_6","D00_7","D00_8","D00_9","D05_1","D05_2","D05_3","D05_4","D05_5","D05_6","D05_7","D05_8","D05_9","D09_1","D09_2","D09_3","D09_4","D09_5","D09_6","D09_7","D09_8","D09_9","D16_1","D16_2","D16_3","D16_4","D16_5","D16_6","D16_7","D16_8","D16_9","D26_1","D26_2","D26_3","D26_4","D26_5","D26_6","D26_7","D26_8","D26_9","D36_1","D36_2","D36_3","D36_4","D36_5","D36_6","D36_7","D36_8","D36_9"
"SNORD30:snoRNA",16.3849807901914,16.5973560486043,16.5591114229296,16.0145794620375,15.9151098599042,16.2567869539202,15.4056325696293,15.5546795565333,15.4321117506394,16.1421972312948,16.412696994948,16.8960339294802,17.1011925877437,16.7518539548727,16.5834140989452,15.8673832828082,15.6654347799383,15.7995442878766,15.4549562592729,15.2994461858822,15.3454387218641,16.0022081672448,16.0745445444928,16.5527666343744,15.730826949291,15.8770565495801,15.9294639636982,16.0464101245993,15.927580860832,15.4397147222863,16.4485420373316,15.9032122348433,16.1947887112225,15.6998653714349,15.6601712427366,16.818296888569,15.2013977000205,15.2305109926086,16.554655856208,16.5013490253209,16.6375635592995,15.5645060898046,16.1504376243662,15.6655516648063,16.4802642247894,15.7626122588487,16.4113950798717,15.8059277649301,15.541723173752,16.093303073108,15.4432891841766,16.178162798443,16.5711728836151,17.0102713727455
"SNORD101:snoRNA",15.7777039709701,16.3821500462002,16.48669759629,15.7842185122842,15.4038887972086,15.5487779150737,14.7107746805401,14.8441048716285,14.8943061093966,15.4057906584765,15.7709814699124,16.1082894483194,16.1519361723216,16.0058449183747,16.1589732377865,15.0510202070272,14.9142425019319,15.0469007806045,15.0082542060453,14.5707870086564,14.3078722802069,15.3073216435262,15.4687435623264,15.7895353548685,14.6005994999835,15.1296828997511,15.2821837208221,15.4097233384963,14.9220715967219,14.6385599039432,15.1138047328432,14.6226649573901,14.9625294775721,14.9096318425762,14.8134342757513,15.2108274127653,14.3412791326561,14.4601690588522,15.7314168615562,15.3270010398828,15.854304536709,14.9404960016677,15.3566095438526,14.8306062242358,15.6245267402187,15.0319234779996,15.1894566934922,14.8682563223237,14.7723403947357,15.2672671364991,14.3818309790047,15.4445976267006,15.6981266726198,16.039680243979
"SNORD63:snoRNA",14.9556889386234,15.3215011692278,15.3459403613948,14.5686918060372,14.2398162778576,14.3718902232648,14.0707428748778,13.706018456879,14.0337408711867,14.4081102100339,14.313903433564,14.9390705001823,14.714172347284,14.5977316593917,14.7434331676295,14.1463704185677,14.1291217188066,14.0976037115879,13.777906308471,13.5353911245492,13.3976000766767,14.5234628866079,14.6089385364781,15.3719819128492,13.8144176755027,13.906426075689,13.9491929610694,14.89388119302,14.2915704044062,13.9276692731061,15.3439751476679,14.2505328140288,14.6677375641642,14.1791006882446,14.0335799343854,14.8320150609312,14.1361983233556,14.0399826410898,15.3850896874414,15.5018118634154,15.6517108772758,14.6444582571388,15.2005010780368,14.5923724552934,15.3366691141477,14.8594453456864,15.2589785432142,14.7094514454302,14.4489446730156,14.9159114592277,14.1495668016055,15.2331797785312,15.3782540869805,15.8507677414157
"SNORD69:snoRNA",14.8632121117543,15.1300303417946,15.17157191082,14.5741691912357,14.2458025091339,14.6293034397668,13.8138029549866,13.8686084234542,14.004579741625,14.8834686464908,14.8926424498118,15.2986812881033,15.3340873378346,15.139271336131,15.165223256391,14.522065704428,14.2310128739253,14.359422771933,14.1643337691783,14.0391471995111,13.9058201875384,14.4898290781554,14.7438097700808,15.2411655103624,14.0163386695134,14.5341169635437,14.5868306631403,15.0178138252548,14.7052089518862,14.4279303694978,15.0731583498445,14.3747181158246,14.8408795724849,14.5278559104417,14.274638675189,15.0913700300322,14.0851387700676,14.0825297163668,15.4507166350259,15.5997892307878,15.4838212982893,14.7140534242052,15.2595387035456,14.5407263758675,15.8427857787674,14.7501575893805,14.9707122171254,14.6393866531514,14.7501377001972,15.20510077176,14.6421341323164,15.579015346902,15.9837818664711,16.2431782734742
"SNORD26:snoRNA",14.3876204326968,14.7916376621509,14.7395251898019,14.1881530348281,13.8935050009619,14.1798891547023,13.8045928117586,13.6425465326038,13.9397337062899,14.4127819339078,14.7043380445659,14.6955343171011,15.11716149456,14.9105050176359,14.8374484065385,14.5509813495152,14.3936602455764,14.5018421257895,13.641622328825,13.4532696220317,13.4257654609284,13.9156532605675,14.4125282842797,14.8528899851626,14.0393294593446,14.3150616931985,14.3919311317036,14.7621512173472,13.8609308039874,13.9963963668608,14.6067799177499,14.0293662071506,14.4182743725122,14.6091599510332,14.4582623714353,15.3181544858872,13.6398016489526,13.7284399034599,14.9828772458641,14.9063399510306,15.0458982958757,14.0845941533709,14.902092857862,14.3426253714694,15.3958505215672,14.2030847231585,14.5672327490144,14.0907457837114,14.2596299852834,14.6340618698463,13.9541433065237,14.7874106306606,15.5725755375773,16.3346375864669
"SNORD43:snoRNA",14.3359293921355,14.6295629173377,14.6933109809472,14.3306448527835,13.9040476589746,14.1231764584208,13.4940749636369,13.5522856555358,13.7543746139415,14.3780763314762,14.4061582680313,14.8863475329359,14.9579138532631,14.7762437178894,14.6466377607209,14.0202931565345,13.906178325252,13.9945607518404,13.7458797322993,13.6699441277885,13.3509890447003,14.1031436411147,14.3853917871504,14.6302942334332,13.8709154086073,14.0748512795372,14.2106019183336,14.4811871335188,14.2156999140747,13.9885565424247,14.4841428572984,13.9917519516514,14.318079160309,14.234518917282,13.981277729684,14.5853259600078,13.6027716208461,13.5785702072517,14.7972477363972,14.8797547114879,14.8175641389117,14.0359492335962,14.4759758405119,14.0187701593426,14.8146787535515,14.1421479552398,14.0244261930608,13.9645103890081,13.8739499994391,14.4512195160717,13.7336758666121,14.6743080068263,15.0152724647427,15.4970299000434
"SNORD104:snoRNA",14.2030294007683,14.6383449806061,14.7175655190108,14.0502060109708,13.7055125913261,14.0158199866922,13.4924120826298,13.5304620439808,13.6310672004813,14.3601328334564,14.3398407218684,14.5682323952771,14.7193278689459,14.4871150720857,14.5130575056251,13.8456417228288,13.9747030029942,14.1513005337182,13.416776515882,13.5768482369738,13.5798940043863,14.3776159702039,14.4307995169684,14.367960343566,14.0151822106263,14.2512748448667,14.3016724285697,15.0809545225875,14.8021667007457,14.5633728438896,14.7001441038059,14.1506579999272,14.6458591899359,14.4689820986262,13.6477424875583,14.1464698952001,14.2927776458511,14.1882063578066,15.317580873245,15.9142374306625,15.9880823966073,15.2622241872391,15.1666329581156,14.9303878374259,16.3328871732748,14.5357729875481,15.3292423162202,15.1354208436775,15.3932192379036,15.9775412316838,15.0868713877424,15.6275634331715,16.5675318270833,16.6818312419837
"SNORD48:snoRNA",14.1656200892628,14.5311686551951,14.8853112551346,14.3432187368464,13.9872445873537,14.2454178576067,13.1171806144467,12.9863528671544,13.1325293873087,14.3485032818574,14.658812328419,14.7642064430118,15.1342465183816,14.9934614690725,15.1603971220383,13.8449409381697,13.3734891642379,13.5200221813928,13.5788190361718,13.3655419398912,13.2264046414727,13.4756287283804,13.6073973392495,13.8844756581548,12.9437650459466,13.6816995053609,13.683345901837,13.6691608107115,13.5103122979024,13.1269181071138,14.2512082557272,13.5684658187727,14.1678479138686,13.1279722740433,12.8691484471619,13.8976316866978,12.8568467587389,12.9420536800391,14.1478517835876,14.65343348758,14.7822327499466,14.3257753161927,13.6778203667843,13.3109881660566,14.1558452506958,13.6630172410615,14.2030116350286,13.5421345262778,14.4640944616011,15.0342771456776,14.5283446145925,14.2765328103764,14.3681072087664,14.6441294696018
"SNORD50A:snoRNA",14.0266358375717,14.5387855517321,14.5934657709202,14.0804676059697,13.4406788284539,14.0888122144601,12.7808886371611,12.9066033450039,13.1240559240377,13.5870312221416,13.8649431713782,14.4076401568165,14.4368043948933,13.9254872914909,14.0905620508082,13.3353215660472,12.5799093552257,12.8865540871574,13.3927945504276,13.3121392970417,13.0059193078681,13.3376435799661,13.5520563835573,14.3065950003736,12.4261067518013,13.4291212460756,13.2646060532583,14.0111855383695,13.7939660537389,13.797330683283,14.2219448443504,13.2822951293522,13.6349835564169,13.7156731629328,13.3008326259582,14.2913221566062,12.9488618227212,12.8111692403063,14.2923206816237,13.6249322660809,14.1821741482282,13.8954831857083,13.7030252893634,12.7373038337763,14.237669172641,13.3890274791021,14.1100377253644,13.2542431763883,13.8154837310688,14.0940455620535,13.3034153460276,13.7727315273313,14.2263282414383,14.899157869701
"SNORD18A:snoRNA",13.8905224474734,14.0074535709314,14.2823674829983,13.6203001445016,13.4843721494346,13.8324702226614,12.0157498502091,12.1310877511556,12.2408403688092,13.9054542270787,14.0381457721406,14.4017239363076,14.6671530405169,14.3484894078535,14.4052299969869,12.6190370930892,12.1716340855129,12.4932906672428,13.1472857299384,12.9860103721491,12.8711814823148,12.9020331443262,13.0436127502334,13.7363670592809,12.0152740361428,12.5452631043416,12.7348858344498,14.1287307754055,13.4384967958372,13.327431786774,13.3827071126473,12.5297676332617,13.4425367426765,12.7462394651551,12.7127156303246,13.5897663341851,12.8381605415441,13.0454689983287,14.6505924558232,13.9085955191665,13.9536293479332,13.2188658960055,13.2150255286593,12.7740435641438,13.6110068112865,13.8284517591586,14.3240119525841,13.8514749842599,13.2445892032355,13.6809341654847,12.8717954255123,13.1845128076483,13.568951008053,14.3285293224426
