"","kMEpurple","kMEsalmon","kMEgreenyellow","kMEturquoise","kMEblue","kMEgreen","kMEblack","kMEyellow","kMEpink","kMEcyan","kMEtan","kMEbrown","kMEmagenta","kMEred","kMEgrey"
"GAS5:retained_intron",-0.357775228077237,0.0841070336819525,0.471242695804282,-0.0601351813178903,0.255490405012535,0.61447516467548,0.256842880623054,0.432810695523765,0.794323244260058,0.79072280626675,0.502060740012567,0.0197152348303821,0.346921615692549,0.110931024641187,-0.0369066295212047
"SNHG1:retained_intron",-0.389231736892081,-0.152009477002452,0.182492461051037,0.152513755842778,0.367920393674836,0.716523295831269,0.15204393021594,0.370422769863276,0.92411510475307,0.641918361885073,0.525932851229186,0.203808707119872,0.487507936916666,0.301043510093577,0.0828306689058854
"SNORD30:snoRNA",-0.412007002958453,-0.0917354392706634,0.242568853116027,0.108990948161512,0.257469487714253,0.614295733178602,0.192373200991522,0.417586227186046,0.907171138481503,0.652080461466005,0.414062341831386,0.220158924878307,0.464018059143862,0.348183847777382,-0.0812529203345404
"SNORD101:snoRNA",-0.518489388846609,0.100446939006918,0.197032910012729,-0.188994295590711,-0.0032951924651182,0.46732140744465,0.435880196896583,0.605502602428202,0.8921814752412,0.698348699042124,0.535589477216304,0.150067130117784,0.350302556333803,0.239320077071082,0.0670619130116364
"RNY1:misc_RNA",-0.130535606247673,-0.648298001239262,0.146809315922049,0.920043111728316,0.55559129658028,0.151015619877622,-0.711302670765979,-0.329740125654988,0.120746152873711,-0.264049907663934,-0.21393515223701,0.661429014173135,0.20655111333184,0.31478935923973,0.0328827939124254
"RPL17:retained_intron",-0.641929473009836,-0.0123351543077643,-0.0126838866856962,-0.126881262309855,-0.16537550800221,0.323087404216147,0.521199261444733,0.696350965092972,0.903101989554206,0.560768338707391,0.43620287687543,0.356194130321796,0.366004388454652,0.466639915625951,-0.0348697088088068
"EIF4A2:retained_intron",0.0449659314128886,-0.22434183899647,0.190779245523344,0.609379950170203,0.74088124468498,0.7722249755649,-0.286275230383383,-0.223490210249715,0.672162706757072,0.35373594061457,0.193283612081395,0.140088739673498,0.553417753419622,0.302792484605152,-0.132580146216763
"RPL4:retained_intron",-0.204601196961263,0.216165116463813,0.457425632328347,0.0551787017545698,0.265137012808041,0.502003845242329,0.132765071610262,0.224475412812123,0.725673319474545,0.651418428623346,0.393888319911798,0.021817658540701,0.320330169524036,0.128851559984891,-0.130108745813221
"SNORD63:snoRNA",0.0144893386541099,0.155213902829157,0.184834649373663,0.254072069601021,0.58749206668375,0.875374999892606,0.0974047421056851,-0.022384576143493,0.774766985399158,0.619699225303478,0.436447615265722,-0.107900028408535,0.436693591296309,0.104752426582108,-0.0815461373134985
"SNHG1:lincRNA",-0.77602254070475,-0.0373317577380566,-0.212994266588864,-0.419233104097474,-0.544103858393028,-0.0102187800051682,0.62496223536544,0.858713986271074,0.704084379004971,0.432456890137906,0.390620810627071,0.387390534671566,0.139909310566317,0.374335235108954,0.171516509802457
