"","D00_1","D00_2","D00_3","D00_4","D00_5","D00_6","D00_7","D00_8","D00_9","D05_1","D05_2","D05_3","D05_4","D05_5","D05_6","D05_7","D05_8","D05_9","D09_1","D09_2","D09_3","D09_4","D09_5","D09_6","D09_7","D09_8","D09_9","D16_1","D16_2","D16_3","D16_4","D16_5","D16_6","D16_7","D16_8","D16_9","D26_1","D26_2","D26_3","D26_4","D26_5","D26_6","D26_7","D26_8","D26_9","D36_1","D36_2","D36_3","D36_4","D36_5","D36_6","D36_7","D36_8","D36_9"
"nm-tRNA-Tyr-GTA-chr1",6.95000807673342,7.17903069931232,7.21362666786533,6.82960586443164,6.23410556052079,6.41887279004783,6.74487844044996,6.94089281003895,6.9160083913267,6.84939526845221,6.72009205234812,7.193767399023,6.53071407093136,6.63253472897968,6.84594742526269,6.69828062451233,6.85488546539997,7.01678325170223,6.72102445671163,6.64515357254557,6.78569339247255,6.20239053149455,6.29525598065093,6.49448536653025,6.7886464196467,7.5715261993122,7.11277519371297,7.0996667944448,7.14518894455503,7.21570626895947,7.11115565378794,6.73521438981441,6.65836380711302,7.21118818149343,6.54178366524457,6.34404908268348,7.4713240619121,7.34555602226277,7.46948310143819,7.5268883351932,7.68176797008691,7.65924887649751,7.14851920369702,7.20944531883244,7.49865015869184,7.23329306877869,8.05690685933609,7.61675041977143,8.29223209142329,8.47783837301008,7.6728576131632,7.16047857524839,8.23107197049177,7.94998664568167
"nm-tRNA-Tyr-GTA-chr14",6.90604838517329,7.17903069931232,7.21362666786533,6.78596770752978,6.19484748876579,6.3949818839887,6.74487844044996,6.94089281003895,6.9160083913267,6.83689061789231,6.70610124996342,7.18419687399874,6.48702344333889,6.60196059888999,6.79744662760883,6.69828062451233,6.84714424530524,7.00415535101505,6.65447027696168,6.62212851297948,6.80234099393087,6.14418910957487,6.29525598065093,6.52000283406529,6.79689119887717,7.56395446347515,7.09052391591795,7.00892562871188,7.07212194631446,7.19856161216388,7.09268951704541,6.71690255134673,6.62975053573048,7.18709231141028,6.49948693379447,6.34404908268348,7.44829546724871,7.31662377060057,7.44428245517704,7.51731413135532,7.68176797008691,7.64269919027831,7.12272825569513,7.1977443078662,7.45737573684491,7.21013871251621,8.02537033623266,7.60116641474762,8.28028315310407,8.46878589712283,7.6539407642291,7.16047857524839,8.20549672199702,7.93321444665398
"nm-tRNA-Tyr-GTA-chr21",6.95000807673342,7.17903069931232,7.21362666786533,6.82960586443164,6.23410556052079,6.41887279004783,6.74487844044996,6.94089281003895,6.9160083913267,6.84939526845221,6.72009205234812,7.193767399023,6.53071407093136,6.63253472897968,6.84594742526269,6.69828062451233,6.85488546539997,7.01678325170223,6.72102445671163,6.64515357254557,6.78569339247255,6.20239053149455,6.29525598065093,6.49448536653025,6.7886464196467,7.5715261993122,7.11277519371297,7.0996667944448,7.14518894455503,7.21570626895947,7.11115565378794,6.73521438981441,6.65836380711302,7.21118818149343,6.54178366524457,6.34404908268348,7.4713240619121,7.34555602226277,7.46948310143819,7.5268883351932,7.68176797008691,7.65924887649751,7.14851920369702,7.20944531883244,7.49865015869184,7.23329306877869,8.05690685933609,7.61675041977143,8.29223209142329,8.47783837301008,7.6728576131632,7.16047857524839,8.23107197049177,7.94998664568167
"nmt-tRNA-Leu-TAA-1",6.59122829000468,6.86272706012923,5.86597952066536,5.62009290132742,5.02608818401068,5.43487564622684,4.95899012534214,4.98637481814694,5.24568577635962,4.81766519903037,5.28633548459864,4.98498682101454,4.60298442450717,4.96378491364487,5.36642522631464,4.49177242068502,4.83315507314039,4.7411757931393,4.03250979389485,4.3628074180865,5.21044227754189,4.03402585978532,4.13424165325511,3.15596332306186,4.08135452553746,5.145281778815,4.93340563424599,5.39593762751643,4.67363421609608,4.97029136133102,4.13278127141025,4.84738330637991,4.81367733133725,4.85628577338568,4.2970945232904,3.23034007889918,5.27746305339204,4.8431022094076,5.08835574845972,4.91223206398537,4.74114844917702,6.17214729314084,4.24138158432811,5.56439585703816,4.61341261102163,4.74577564830632,6.67383668149721,6.29956655673398,6.31701090957142,5.82326111383568,5.31137770044244,4.7894293905152,5.16678101930048,5.25333668661542
"nmt-tRNA-Leu-TAA-4",7.2368896424402,7.45390619224527,7.48383164017493,6.75612128985705,5.78229666316389,6.01030327654612,5.52570382129106,5.45298163377767,5.44514243596833,5.91840047500954,5.46529070720602,5.50639258123746,5.92342934182744,5.34841434669086,6.21779965987218,4.49177242068502,5.42747592782378,5.74733325205163,4.507582736251,4.70679206466099,5.26030073243592,4.49946423018132,4.53619862801298,4.33533504441366,4.68245394744481,5.5395686973761,5.68241060086823,5.48953177728097,5.72287104764415,5.69625763466435,5.69760182463427,4.70093269482902,5.43593428870935,5.4589193684396,3.85637728738051,4.03232493805951,5.83218648516565,5.0222056314468,5.53897379039425,5.41129424620719,5.4790599882439,6.68568975204209,4.59937665762774,5.50802703895957,5.12904650767559,4.83198580521302,6.60422799973273,6.37506148269822,6.7350071401204,6.81972060401061,5.57864494804337,4.70419585628764,5.77204433959174,5.86740577759499
"tRNA-Ala-AGC-1",10.1594433026341,10.4709654769325,11.1623842397709,9.91946775030151,10.2702940430493,9.8633812968536,10.0539624986035,9.62754378620209,10.4228234516992,9.35050059401624,9.52349357396897,9.56149873360794,9.25161732156816,9.20492308369288,9.0468321117898,8.34318059260343,9.36354053511894,9.21266143317635,8.11702479842353,8.18475647147285,8.22992770836467,7.8230454257655,7.99252690596864,7.59219857381177,9.86039317457937,9.33988351035719,9.29279819364048,6.91207098674376,7.12124322904129,6.94456771591034,7.64216462478819,6.99272588671091,7.42912393434546,6.92093551657264,6.51017867785315,6.9954812120351,5.37990685898667,5.33951965175596,6.09039263518827,7.24301547163021,7.15586076157694,6.78973407156016,6.51676569864988,6.32886938861796,6.93275762414322,6.21948295646306,6.57541062321064,6.24692834475847,6.26925267375116,6.78116307430181,6.94715010341477,7.29308422570222,6.5202226266308,6.92440095660562
"tRNA-Ala-AGC-11",7.31735478039823,7.61641789342395,7.98132304070216,6.64648473961554,6.99669863386458,6.5326937154271,6.36976253325862,5.821618130473,6.60260406223954,8.05746217370899,7.7629246143508,7.25903624301125,7.25789138333493,7.56682553923144,7.4889431305195,6.48390310891434,7.43729957951057,6.94591595463498,5.02613353957895,4.87715915565511,4.96074217633454,5.47361233849109,5.36774725075418,5.59127308781081,5.29687046261826,4.65172586266535,5.18327016170966,4.98624533528007,5.39979695937954,4.79339845538167,5.92483797637682,5.15651787745398,5.88948732705457,5.31601856020612,4.2970945232904,4.73429261565552,4.70608579252444,4.8901342581329,5.38651471161971,6.90383185119093,6.40851320135079,5.97362467167028,5.67730806781996,5.36697663327714,6.04277809475813,5.06194742650626,5.49748091245818,5.43877974768269,5.65070287300789,6.20599311755321,5.97674756790822,5.71593827538589,5.54369060660126,6.12684554545451
"tRNA-Ala-AGC-12",5.65783540328274,6.12319563820348,6.22092459893375,5.32347338527883,5.42064465039523,4.7034638297528,4.81856928295743,4.32812202725454,4.91408588195162,4.91888399313011,4.60945478883325,3.82903008575179,4.08400404250014,4.63008321340686,4.60670572806618,3.77658740993687,4.32774535674244,3.9358486445217,2.35962910757546,3.46462999058586,3.22808802586417,3.41951209658655,3.76618112818385,3.70699447339728,3.22370901943034,3.43480962066147,3.62821871437933,3.80125504950264,3.51800954692084,3.76423469688539,4.64468979680392,3.85577286754317,4.58529353979712,2.35962910757546,2.35962910757546,2.35962910757546,3.49872445538387,3.61642876253339,3.6789212427069,4.97109059415358,4.41678787703334,4.51987799442988,4.01496739623507,3.53234996042872,4.02615161507381,3.97939224010063,3.41618189657375,3.88829119976241,4.03693109621035,4.32929086407899,4.48347988702757,3.67704410410418,4.05262964842882,2.35962910757546
"tRNA-Ala-AGC-13",6.92085148136139,7.37350577801603,7.72358625469011,5.83664671840431,6.04826500049065,5.61259610318363,5.7317180288373,4.91517702456166,5.59905830149579,5.1432994361518,5.16679083482445,4.6244019121709,3.79318424985193,4.56536767508567,4.24783967641663,3.97640944534726,4.32774535674244,3.9358486445217,2.35962910757546,3.00784445669813,2.35962910757546,2.35962910757546,2.35962910757546,2.35962910757546,3.06858503371744,2.35962910757546,2.35962910757546,3.21445605810809,3.68620229034286,2.35962910757546,2.35962910757546,2.35962910757546,3.58884915128465,2.35962910757546,2.35962910757546,2.35962910757546,3.02849598033598,2.35962910757546,3.44870991697558,2.35962910757546,3.25786136071775,2.35962910757546,2.35962910757546,2.35962910757546,2.35962910757546,2.35962910757546,3.22851708173251,3.40412323414784,2.35962910757546,2.90536202976852,3.19536636162123,2.35962910757546,2.35962910757546,2.35962910757546
"tRNA-Ala-AGC-15",5.24671966587727,5.25011154137747,5.32738688414743,5.23834239612231,4.66179968126816,4.09821576443047,4.74248568713755,4.71889129788362,4.87955220524774,4.86921861290968,4.78554832898537,4.28924452215533,4.51466730039205,5.14802465340168,4.82325737590395,4.49177242068502,4.54570917435654,4.24949968037834,3.97304813146844,3.88829369941113,3.74543120428582,3.8282303127304,3.96478538307589,4.65880099403593,3.95631275134645,4.38868399161923,4.16712863927988,3.68408479536456,4.45008590426485,4.28039350454771,3.96343817274702,4.18597891151188,4.22897879171116,4.1514243972762,3.59882172665578,2.35962910757546,3.73820196982995,4.0884389911265,3.6789212427069,4.64727512978075,4.55627658828025,4.10265698195754,3.7340130366278,3.53234996042872,3.74358560823328,4.13226143353869,4.42701335022063,4.48781683632853,4.03693109621035,4.51485892815908,4.28857631918364,4.1675115068423,3.37317015003562,4.11386252138204
