	random_trimmed_F1_S1_R1_001.fastq	random_trimmed_F2_S2_R1_001.fastq	random_trimmed_F3_S3_R1_001.fastq	random_trimmed_F4_S4_R1_001.fastq	random_trimmed_M1_S5_R1_001.fastq	random_trimmed_M2_S6_R1_001.fastq	random_trimmed_M4_S7_R1_001.fastq
hsa_piR_016658|gb|DQ592931|Homo_sapiens:6:80508363:80508389:Plus	488.435468754321	573.113314511832	179.781994207174	583.201181295099	578.740029927934	575.439945257946	780.427076202528
hsa_piR_017033|gb|DQ593538|Homo_sapiens:20:17891355:17891384:Minus	87.3870421114162	194.167602072633	155.352662282878	167.557926415589	174.242132780402	163.674614025262	132.604176030351
hsa_piR_016659|gb|DQ592932|Homo_sapiens:14:22388242:22388267:Plus	82.182550683728	47.6560994138123	24.4852342856785	61.1937951542248	59.1015950090412	67.2592143807989	76.2780132624344
hsa_piR_001101|gb|DQ571419|Homo_sapiens:1:45016687:45016714:Plus	71.2894290908921	112.673900472805	79.1018413567011	93.0356598419425	75.8322820758404	105.678014457468	122.448179930254
hsa_piR_019167|gb|DQ596309|Homo_sapiens:14:100434012:100434039:Plus	70.98684237998	147.397303763167	79.8285720546779	111.959159923144	104.003620510557	136.044655066013	208.882189292785
hsa_piR_000586|gb|DQ570728|Homo_sapiens:5:137924634:137924661:Minus	67.9004579286766	99.2097236867467	90.3941183560323	102.878223351669	104.484532846819	130.834434233698	116.469827616012
hsa_piR_018780|gb|DQ595807|Homo_sapiens:17:72068837:72068864:Plus	62.6354491588059	282.39339206549	177.601802113243	139.67066313803	231.394767268803	293.561735380357	190.803075667789
hsa_piR_001152|gb|DQ571500|Homo_sapiens:2:206734890:206734919:Plus	62.211827763529	125.075115933649	58.4738700064377	74.0535730731834	64.1891413031813	83.1530193440237	83.9850457639268
hsa_piR_020813|gb|DQ598646|Homo_sapiens:1:31213600:31213629:Minus	48.8980124833963	107.18193362586	92.4904569078883	84.9506969589525	76.540994992437	89.1000390819191	96.4099346097908
hsa_piR_002158|gb|DQ572892|Homo_sapiens:16:70349813:70349841:Minus	44.4197291618971	126.492397700602	79.9962791388264	122.973457184029	108.787432697584	95.0470588198145	117.478224391908
hsa_piR_020009|gb|DQ597484|Homo_sapiens:7:145325417:145325443:Plus	44.2381771353499	23.7394695964715	21.8578233006856	46.5764166085291	52.5460005305222	42.3133085775918	37.9589357783786
hsa_piR_019420|gb|DQ596670|Homo_sapiens:2:101255914:101255940:Minus	40.8492059731343	3.89752485912219	6.82008808870497	6.913229131832	10.4282043442077	6.84170412324246	8.93151430079496
hsa_piR_020450|gb|DQ598104|Homo_sapiens:9:133350930:133350959:Plus	32.3767780675953	17.7160220869191	14.7582234050665	37.3197199743812	42.5733973469838	33.1559507510981	39.6876159656292
hsa_piR_017458|gb|DQ594126|Homo_sapiens:1:31213602:31213628:Minus	25.719870427529	77.4190165198363	62.4149864839271	53.6068191154769	45.3576266621849	58.4702560070952	57.9468004434641
